galaxy_name,Q,T,Vflat,e_Vflat,L36,MHI,Rdisk,RHI,Reff,SBeff,SBdisk,D,Inc,Ref,Mbar_msun,logMbar,logVflat,btfr_intercept,btfr_slope,btfr_pred_logV,btfr_residual_dex,btfr_abs_residual,btfr_mcgaugh2012_residual_dex,btfr_mcgaugh2012_abs_residual,sparc_current_org_proxy,sparc_current_org_proxy_quartile
D631-7,1.0,10.0,57.7,2.7,0.196,0.29,0.7,0.0,1.22,20.93,115.04,7.72,59.0,"Tr09,dB01",483700000.0,8.684576087388455,1.7611758131557314,-0.5113052299953077,0.2597665671999075,1.7446572878119957,0.0165185253437356,0.0165185253437356,0.0147742923926221,0.0147742923926221,0.7016120252058916,Q3
DDO064,1.0,10.0,46.1,3.9,0.157,0.211,0.69,3.49,1.2,17.41,151.65,6.8,60.0,"dB02,Sw02",359130000.0,8.555251685522226,1.6637009253896482,-0.5113052299953077,0.2597665671999075,1.7110631318840237,-0.0473622064943752,0.0473622064943752,-0.0503694949069035,0.0503694949069035,0.5529195956236261,Q1
DDO161,1.0,10.0,66.3,1.9,0.548,1.378,1.22,10.69,2.04,20.74,169.37,7.5,70.0,Co00,2106740000.0,9.32361094114549,1.8215135284047728,-0.5113052299953077,0.2597665671999075,1.9106571780935555,-0.0891436496887827,0.0891436496887827,-0.0846467057975948,0.0846467057975948,0.4188253581592538,Q1
ESO079-G014,1.0,4.0,175.0,3.5,51.733,3.14,5.08,17.67,7.23,157.34,2295.25,28.7,79.0,Ge04,30042700000.0,10.477738961035453,2.2430380486862944,-0.5113052299953077,0.2597665671999075,2.210461051929597,0.0325769967566969,0.0325769967566969,0.0483458095114359,0.0483458095114359,0.8541528562641895,Q4
ESO116-G012,1.0,7.0,109.1,3.1,4.292,1.083,1.51,9.58,2.75,90.54,1320.78,13.0,74.0,Ge04,3586390000.0,9.554657514907792,2.037824750588342,-0.5113052299953077,0.2597665671999075,1.9706753534230883,0.0671493971652532,0.0671493971652532,0.0739028729453981,0.0739028729453981,0.6824351010857201,Q3
ESO563-G021,1.0,4.0,314.6,11.7,311.177,24.298,5.45,55.71,10.59,429.37,6558.89,60.8,83.0,SG06,187904840000.0,11.273937966679668,2.497758718287268,-0.5113052299953077,0.2597665671999075,2.417286934433775,0.0804717838534929,0.0804717838534929,0.1040167277013557,0.1040167277013557,0.6727199823672467,Q3
F563-1,1.0,9.0,109.9,12.5,1.903,3.2,3.52,23.47,4.61,14.22,41.77,48.9,25.0,"KN08,dB96",5207500000.0,9.716629278619784,2.0409976924234905,-0.5113052299953077,0.2597665671999075,2.012750202465868,0.0282474899576228,0.0282474899576228,0.0365828738525491,0.0365828738525491,0.43950309677349764,Q1
F563-V2,1.0,10.0,116.6,9.4,2.986,2.169,2.43,11.37,4.49,23.6,146.16,59.7,29.0,"dB01,dB96",4377770000.0,9.641252940796385,2.066698550422996,-0.5113052299953077,0.2597665671999075,1.9931699499413824,0.0735286004816133,0.0735286004816133,0.0811278163079043,0.0811278163079043,0.5897523730477182,Q2
F568-V1,1.0,7.0,112.3,15.8,3.825,2.491,2.85,14.38,4.4,31.39,90.54,80.6,40.0,"dB01,dB96",5225530000.0,9.718130345386385,2.050379756261458,-0.5113052299953077,0.2597665671999075,2.013140129426965,0.0372396268344927,0.0372396268344927,0.0455896709988667,0.0455896709988667,0.5632676862854822,Q2
F571-8,1.0,5.0,139.7,4.3,10.164,1.782,3.56,24.55,1.4,825.71,87.26,53.3,85.0,"dB01,dB96",7452060000.0,9.872276342945089,2.1451964061141817,-0.5113052299953077,0.2597665671999075,2.053182106060395,0.0920143000537865,0.0920143000537865,0.1018698214619147,0.1018698214619147,0.5692465306441274,Q2
F574-1,1.0,7.0,97.8,4.1,6.537,3.524,4.46,16.19,5.87,29.98,128.48,96.8,65.0,"dB01,dB96",7955420000.000001,9.90066311281571,1.9903388547876013,-0.5113052299953077,0.2597665671999075,2.06055603982358,-0.0702171850359787,0.0702171850359787,-0.0600844223323213,0.0600844223323213,0.6331980283922262,Q2
F579-V1,1.0,5.0,112.1,13.4,11.848,2.245,3.37,20.96,5.76,56.6,201.76,89.5,26.0,"dB01,dB96",8909850000.0,9.949870392620417,2.049605612594973,-0.5113052299953077,0.2597665671999075,2.073338445979694,-0.023732833384721,0.023732833384721,-0.0131194844761264,0.0131194844761264,0.6223972547572998,Q2
F583-1,1.0,9.0,85.8,3.6,0.986,2.126,2.36,15.65,3.74,11.19,60.93,35.4,63.0,"KN08,dB96",3320580000.0,9.521213947800288,1.9334872878487053,-0.5113052299953077,0.2597665671999075,1.9619878328006528,-0.0285005449519473,0.0285005449519473,-0.0220736980173616,0.0220736980173616,0.4490979153048543,Q1
IC4202,1.0,4.0,242.6,11.0,179.749,12.326,4.78,32.13,8.55,391.59,8888.53,100.4,90.0,SG06,106268080000.0,11.02640283402812,2.384890796530554,-0.5113052299953077,0.2597665671999075,2.352985582763509,0.031905213767045,0.031905213767045,0.0530325891075285,0.0530325891075285,0.802377234291119,Q4
NGC0024,1.0,5.0,106.3,7.9,3.889,0.676,1.34,7.29,2.01,151.65,1182.58,7.3,64.0,"Di08,Ch06",2843580000.0,9.453865451005566,2.0265332645232967,-0.5113052299953077,0.2597665671999075,1.9444929449822137,0.082040319541083,0.082040319541083,0.0878094028559099,0.0878094028559099,0.7252946297604429,Q3
NGC0100,1.0,6.0,88.1,6.4,3.232,1.99,1.66,16.36,2.81,64.99,1193.52,13.5,89.0,"dB02,Rh96",4262700000.0,9.6296847689762,1.944975908412048,-0.5113052299953077,0.2597665671999075,1.990164925658874,-0.0451890172468261,0.0451890172468261,-0.0377027827479976,0.0377027827479976,0.5178922272579213,Q1
NGC0801,1.0,5.0,220.1,6.2,312.57,23.201,8.72,44.99,7.76,818.14,1558.94,80.7,80.0,"Sa96,Br92",187142330000.0,11.27217203232174,2.342620042553348,-0.5113052299953077,0.2597665671999075,2.416828203727716,-0.0742081611743676,0.0742081611743676,-0.050680464443082,0.050680464443082,0.7781474044171939,Q4
NGC0891,1.0,3.0,216.1,5.7,138.34,4.462,2.55,18.16,3.68,1617.45,5067.92,9.91,90.0,Fr11,75104460000.0,10.875665727894663,2.3346547668832414,-0.5113052299953077,0.2597665671999075,2.3138291221535727,0.0208256447296686,0.0208256447296686,0.0404808359935802,0.0404808359935802,0.7820897290146589,Q4
NGC1003,1.0,6.0,109.8,4.2,6.82,5.88,1.61,33.33,2.76,140.87,1345.33,11.4,67.0,"Sa96,Br92",11230400000.0,10.050395225068138,2.040602340114073,-0.5113052299953077,0.2597665671999075,2.0994514366229846,-0.0588490965089114,0.0588490965089114,-0.0472539650689567,0.0472539650689567,0.15594567144310892,Q1
NGC1090,1.0,4.0,164.4,3.7,72.045,8.783,3.53,30.49,6.36,283.68,2055.09,37.0,64.0,Ge04,47703890000.0,10.678553794902832,2.215901813204032,-0.5113052299953077,0.2597665671999075,2.262626031966146,-0.0467242187621148,0.0467242187621148,-0.0289941344376716,0.0289941344376716,0.660100604367505,Q3
NGC2403,1.0,6.0,131.2,4.9,10.041,3.199,1.39,15.11,2.16,341.06,1408.74,3.16,63.0,"Da06,Fr02",9275170000.0,9.967321878328628,2.1179338350396413,-0.5113052299953077,0.2597665671999075,2.077871758514654,0.040062076524987,0.040062076524987,0.050845866541489,0.050845866541489,0.5265436557697061,Q1
NGC2841,1.0,3.0,284.8,8.6,188.121,9.775,3.64,45.12,5.51,983.63,4751.49,14.1,76.0,"Di08,Be91",107061250000.0,11.0296323097081,2.4545399849648186,-0.5113052299953077,0.2597665671999075,2.353824492574753,0.1007154923900657,0.1007154923900657,0.1218744086217982,0.1218744086217982,0.5997643355000152,Q2
NGC2903,1.0,4.0,184.6,5.6,81.863,2.552,2.33,13.76,4.54,632.16,1193.52,6.6,66.0,"Be91,Be87",44325660000.0,10.646655210876997,2.266231696689893,-0.5113052299953077,0.2597665671999075,2.2543398462952173,0.0118918503946758,0.0118918503946758,0.0293103950546491,0.0293103950546491,0.7617171584792731,Q4
NGC2998,1.0,5.0,209.9,8.1,150.902,23.451,6.2,43.58,7.06,479.55,774.16,68.1,58.0,"Sa96,Br92",106640830000.0,11.027923516591636,2.3220124385824006,-0.5113052299953077,0.2597665671999075,2.353380605252834,-0.0313681666704335,0.0313681666704335,-0.0102259394815034,0.0102259394815034,0.6613130256897034,Q3
NGC3109,1.0,9.0,66.2,2.6,0.194,0.477,1.56,6.0,1.64,11.4,140.87,1.33,70.0,"Be91,JC90",731410000.0,8.864160893813251,1.8208579894397,-0.5113052299953077,0.2597665671999075,1.7913074164982246,0.0295505729414753,0.0295505729414753,0.0295602670703918,0.0295602670703918,0.5707171091086531,Q2
NGC3198,1.0,5.0,150.1,3.9,38.279,10.869,3.14,35.66,5.84,178.99,1602.62,13.8,73.0,"Da06,Be91,Be87",33595270000.0,10.526278135797504,2.1763806922432702,-0.5113052299953077,0.2597665671999075,2.223069906732252,-0.0466892144889818,0.0466892144889818,-0.0304463406221007,0.0304463406221007,0.5222485020569593,Q1
NGC3521,1.0,4.0,213.7,15.9,84.836,4.154,2.4,18.85,2.45,2232.7,2112.66,7.7,75.0,"Da06,Sa96",47942820000.0,10.68072357568052,2.329804522164069,-0.5113052299953077,0.2597665671999075,2.2631896684703428,0.0666148536937263,0.0666148536937263,0.0843661293279445,0.0843661293279445,0.7142269260372822,Q3
NGC3741,1.0,10.0,50.1,2.1,0.028,0.182,0.2,4.2,0.32,42.94,143.49,3.21,70.0,"Ge07,Bm05",256060000.0,8.408341741154654,1.6998377258672457,-0.5113052299953077,0.2597665671999075,1.6729008399481304,0.0269368859191152,0.0269368859191152,0.0224947916625868,0.0224947916625868,0.0,Q1
NGC3893,1.0,5.0,174.0,8.9,58.525,5.799,2.38,20.84,2.43,1573.37,2055.09,18.0,49.0,"VS01,SV98",36975170000.0,10.56791017942058,2.2405492482825995,-0.5113052299953077,0.2597665671999075,2.233884519789735,0.0066647284928644,0.0066647284928644,0.0233142045114593,0.0233142045114593,0.6639905320325565,Q3
NGC3917,1.0,6.0,135.9,4.1,21.966,1.888,2.63,14.08,5.56,112.94,1226.96,18.0,79.0,"VS01,SV98",13494040000.0,10.130141993187998,2.1332194567324945,-0.5113052299953077,0.2597665671999075,2.120166980822768,0.0130524759097268,0.0130524759097268,0.0254264595194997,0.0254264595194997,0.7573718697872831,Q4
NGC3953,1.0,4.0,220.8,6.1,141.301,2.832,4.89,17.38,6.17,587.26,1999.08,18.0,62.0,"VS01,SV98",74417060000.0,10.871672508321929,2.343999069057161,-0.5113052299953077,0.2597665671999075,2.312791817213088,0.0312072518440733,0.0312072518440733,0.0508234430606844,0.0508234430606844,0.8647930942651335,Q4
NGC3972,1.0,4.0,132.7,2.9,14.353,1.214,2.18,10.05,3.73,164.75,1587.93,18.0,77.0,"VS01,SV98",8791120000.0,9.944044208274432,2.122870922864436,-0.5113052299953077,0.2597665671999075,2.071824998072264,0.0510459247921719,0.0510459247921719,0.0616023718798319,0.0616023718798319,0.7926791966108141,Q4
NGC3992,1.0,4.0,241.0,5.2,226.932,16.599,4.96,32.75,9.99,360.44,3257.09,23.7,56.0,"VS01,SV98",135542670000.0,11.13207603637886,2.3820170425748683,-0.5113052299953077,0.2597665671999075,2.380435947783182,0.0015810947916863,0.0015810947916863,0.0237405345641579,0.0237405345641579,0.7625753564674842,Q4
NGC4088,1.0,4.0,171.7,6.9,107.286,8.226,2.58,22.25,6.1,457.96,3988.69,18.0,69.0,"VS01,SV98",64583580000.0,10.81012211518025,2.2347702951609163,-0.5113052299953077,0.2597665671999075,2.296803082876869,-0.0620327877159527,0.0620327877159527,-0.0430177325501413,0.0430177325501413,0.7042445526653751,Q3
NGC4100,1.0,4.0,158.2,5.0,59.394,3.102,2.15,18.06,4.93,388.0,8970.78,18.0,73.0,"VS01,SV98",33822660000.0,10.52920775991146,2.1992064791616577,-0.5113052299953077,0.2597665671999075,2.2238309251315203,-0.0246244459698625,0.0246244459698625,-0.0083529597322025,0.0083529597322025,0.755360101512587,Q3
NGC4157,1.0,3.0,184.7,7.2,105.62,8.226,2.32,24.09,4.44,848.85,23813.87,18.0,82.0,"VS01,SV98",63750580000.0,10.804484140316246,2.2664668954402414,-0.5113052299953077,0.2597665671999075,2.295338525500488,-0.0288716300602462,0.0288716300602462,-0.0099116385548154,0.0099116385548154,0.7212759339183779,Q3
NGC4183,1.0,6.0,110.6,5.4,10.838,3.506,2.79,16.07,4.47,86.46,1098.58,18.0,82.0,"VS01,SV98",10081980000.0,10.003545831576814,2.04375512696868,-0.5113052299953077,0.2597665671999075,2.0872815305003454,-0.0435264035316653,0.0435264035316653,-0.0323888298415191,0.0323888298415191,0.6806891252617024,Q3
NGC4217,1.0,3.0,181.3,7.2,85.299,2.562,2.94,16.7,5.28,483.98,4373.51,18.0,86.0,"VS01,SV98",46056960000.0,10.663295268869293,2.258397804095509,-0.5113052299953077,0.2597665671999075,2.2586623770378838,-0.0002645729423744,0.0002645729423744,0.0173164879621907,0.0173164879621907,0.8236458155736903,Q4
NGC4559,1.0,6.0,121.2,5.1,19.377,5.811,2.1,21.16,3.82,211.27,1602.62,9.0,67.0,Ba05,17417130000.0,10.240976593389751,2.083502619830268,-0.5113052299953077,0.2597665671999075,2.148958104444151,-0.0654554846138832,0.0654554846138832,-0.0519990274331658,0.0519990274331658,0.5608010947719376,Q2
NGC5005,1.0,4.0,262.2,20.7,178.72,1.28,9.45,10.41,3.97,1789.91,96.57,16.9,68.0,Ri15,91062400000.0,10.959339092194677,2.4186326873540653,-0.5113052299953077,0.2597665671999075,2.3355646647638544,0.0830680225902109,0.0830680225902109,0.1035404153894012,0.1035404153894012,0.8247263770831587,Q4
NGC5033,1.0,5.0,194.2,3.6,110.509,11.314,5.16,29.53,2.94,2036.24,614.94,15.7,66.0,"Sa96,Be87",70302120000.0,10.846968421611848,2.288249225571986,-0.5113052299953077,0.2597665671999075,2.306374521412601,-0.0181252958406155,0.0181252958406155,0.0012496212530286,0.0012496212530286,0.7106964207555181,Q3
NGC5055,1.0,4.0,179.0,4.9,152.922,11.722,3.2,35.06,4.18,1383.02,3348.34,9.9,55.0,"Ba06,Bl04",92051260000.0,10.96402973751469,2.2528530309798933,-0.5113052299953077,0.2597665671999075,2.336783137596586,-0.0839301066166928,0.0839301066166928,-0.0634119023147743,0.0634119023147743,0.621524972754705,Q2
NGC5371,1.0,4.0,209.5,3.9,340.393,11.18,7.44,30.03,9.8,560.83,1395.82,39.7,53.0,"Sa96,Be87",185065900000.0,11.267326403592811,2.321184027302314,-0.5113052299953077,0.2597665671999075,2.4155694713868767,-0.0943854440845628,0.0943854440845628,-0.0709050725118842,0.0709050725118842,0.8278986454015366,Q4
NGC5585,1.0,7.0,90.3,2.4,2.943,1.683,1.53,10.92,2.27,90.54,297.05,7.06,51.0,"Bl99,Sa96,Co91",3709890000.000001,9.56936103276835,1.9556877503135053,-0.5113052299953077,0.2597665671999075,1.9744948357834888,-0.0188070854699831,0.0188070854699831,-0.0119100067945772,0.0119100067945772,0.5516303539693661,Q1
NGC5907,1.0,5.0,215.0,2.9,175.425,21.025,5.34,0.0,7.88,449.6,8646.29,17.3,88.0,"Sa96,SA87",115675750000.0,11.06324232399044,2.3324384599156054,-0.5113052299953077,0.2597665671999075,2.362555250608416,-0.0301167906928108,0.0301167906928108,-0.0086296199979996,0.0086296199979996,1.0,Q4
NGC5985,1.0,3.0,293.6,8.6,208.728,11.586,7.01,39.5,10.71,288.95,1461.61,39.7,60.0,"Bl04,Br92",119773380000.0,11.078360305501224,2.467756051244033,-0.5113052299953077,0.2597665671999075,2.3664823967684643,0.1012736544755688,0.1012736544755688,0.1229084759527321,0.1229084759527321,0.7678103260719235,Q4
NGC6195,1.0,3.0,251.7,9.3,391.076,20.907,13.94,40.89,9.52,686.8,174.11,127.8,62.0,SG06,223344310000.0,11.348974892706314,2.4008832155483626,-0.5113052299953077,0.2597665671999075,2.43677901912095,-0.035895803572588,0.035895803572588,-0.0116180065442113,0.0116180065442113,0.7674667235075052,Q4
NGC6503,1.0,6.0,116.3,2.4,12.845,1.744,2.16,14.05,1.62,774.16,398.87,6.26,74.0,"Be91,Be87",8742020000.0,9.941611795734016,2.0655797147284485,-0.5113052299953077,0.2597665671999075,2.071193138616626,-0.0056134238881773,0.0056134238881773,0.0049192668789492,0.0049192668789492,0.6564439363308219,Q2
NGC6674,1.0,3.0,241.3,4.9,214.654,32.165,6.04,50.02,7.75,560.83,1370.35,51.2,54.0,"Sa96,Br92",150106450000.0,11.176399354063552,2.3825573219087857,-0.5113052299953077,0.2597665671999075,2.391949663865045,-0.0093923419562593,0.0093923419562593,0.0131999844769024,0.0131999844769024,0.6461805210102443,Q2
NGC6946,1.0,6.0,158.9,10.9,66.173,5.67,2.44,21.25,4.2,571.26,2232.7,5.52,38.0,Bo08,40627600000.0,10.608821167944376,2.2011238972073794,-0.5113052299953077,0.2597665671999075,2.2445118268393163,-0.0433879296319368,0.0433879296319368,-0.0263388936947097,0.0263388936947097,0.6738713244432806,Q3
NGC7331,1.0,3.0,239.0,5.4,250.631,11.067,5.02,27.01,3.99,2470.76,1806.47,14.7,75.0,"Be91,Be87",140034610000.0,11.146235386209623,2.378397900948137,-0.5113052299953077,0.2597665671999075,2.3841140734825017,-0.0057161725343646,0.0057161725343646,0.0165815554797359,0.0165815554797359,0.7898799299675883,Q4
NGC7814,1.0,2.0,218.9,7.0,74.529,1.07,2.54,12.15,2.08,2709.13,2635.3,14.4,90.0,Fr11,38687600000.0,10.587571788933293,2.340245761567932,-0.5113052299953077,0.2597665671999075,2.238991948598477,0.1012538129694546,0.1012538129694546,0.1180953154186132,0.1180953154186132,0.8394875937692249,Q4
UGC00128,1.0,8.0,129.3,2.8,12.02,7.431,5.95,31.27,9.63,20.36,88.89,64.5,57.0,"VB99,VH93",15893230000.000002,10.201212168360524,2.111598524880394,-0.5113052299953077,0.2597665671999075,2.1386286362576308,-0.0270301113772366,0.0270301113772366,-0.0139620161257321,0.0139620161257321,0.558305940209355,Q1
UGC00731,1.0,10.0,73.3,2.3,0.323,1.807,2.3,11.57,1.4,25.63,82.57,12.5,57.0,"Sw09,Sw02",2564810000.0,9.409055198294674,1.865103974641128,-0.5113052299953077,0.2597665671999075,1.932852739460145,-0.0677487648190167,0.0677487648190167,-0.0624173238485357,0.0624173238485357,0.49530954267312366,Q1
UGC01230,1.0,9.0,103.7,6.1,7.62,6.43,4.34,26.29,6.45,28.63,69.32,53.7,22.0,"dB02,VdH93",12361900000.0,10.092085226100666,2.015778756389041,-0.5113052299953077,0.2597665671999075,2.110281105077765,-0.0945023486887239,0.0945023486887239,-0.082500049052121,0.082500049052121,0.5070892643150866,Q1
UGC01281,1.0,8.0,55.2,3.5,0.353,0.294,1.63,5.26,2.01,13.83,135.78,5.27,90.0,"dB02,Sw02",567520000.0,8.753981171127867,1.741939077729199,-0.5113052299953077,0.2597665671999075,1.7626864081612044,-0.0207473304320053,0.0207473304320053,-0.021813713968763,0.021813713968763,0.6272467976894776,Q2
UGC02487,1.0,0.0,332.0,3.5,489.955,17.963,7.89,40.2,9.63,818.14,1150.35,69.1,36.0,"No07,No05",268868290000.0,11.429539585079066,2.521138083704036,-0.5113052299953077,0.2597665671999075,2.457707032696137,0.0634310510078992,0.0634310510078992,0.0884956885182743,0.0884956885182743,0.7837810938944351,Q4
UGC02885,1.0,5.0,289.5,12.0,403.525,40.075,11.4,74.24,12.2,421.53,470.79,80.6,64.0,"Sa96,RA85",255062250000.0,11.406646186442565,2.4616485680634552,-0.5113052299953077,0.2597665671999075,2.451760093120794,0.0098884749426613,0.0098884749426613,0.0347295225368187,0.0347295225368187,0.6751186653531172,Q3
UGC03205,1.0,2.0,219.6,8.6,113.642,9.677,3.19,28.6,5.35,587.26,3915.89,50.0,67.0,"No07,No05",69691410000.0,10.843179251275886,2.3416323357780544,-0.5113052299953077,0.2597665671999075,2.305390221641893,0.0362421141361615,0.0362421141361615,0.0555800240430874,0.0555800240430874,0.6891744962167043,Q3
UGC03546,1.0,1.0,196.9,7.4,101.336,2.675,3.79,18.37,2.58,2403.42,922.21,28.7,55.0,"No07,No05",54225750000.0,10.734205567483995,2.2942457161381182,-0.5113052299953077,0.2597665671999075,2.277082501888145,0.0171632142499733,0.0171632142499733,0.0354368253511236,0.0354368253511236,0.7875561115465458,Q4
UGC04278,1.0,7.0,91.4,4.8,1.307,1.116,2.21,8.9,2.46,34.11,377.42,9.51,90.0,"dB02,Sw02",2137780000.0,9.3299630097118,1.960946195733832,-0.5113052299953077,0.2597665671999075,1.912307233139644,0.0486389625941874,0.0486389625941874,0.053197944389886,0.053197944389886,0.6428114975053785,Q2
UGC04325,1.0,9.0,90.9,2.7,2.026,0.678,1.86,6.61,2.79,41.0,213.22,9.6,41.0,"Sw09,Sw02",1914740000.0,9.28210981003762,1.958563883221968,-0.5113052299953077,0.2597665671999075,1.8998765717307504,0.0586873114912169,0.0586873114912169,0.0627789317965668,0.0627789317965668,0.681966264278988,Q3
UGC04499,1.0,8.0,72.8,2.4,1.552,1.1,1.73,8.67,2.69,33.79,127.3,12.5,50.0,"Sw09,Sw02",2239000000.0,9.35005409357903,1.8621313793130367,-0.5113052299953077,0.2597665671999075,1.91752622502716,-0.0553948457141233,0.0553948457141233,-0.0506396429977158,0.0506396429977158,0.5744232139153396,Q2
UGC05005,1.0,10.0,98.9,7.2,4.1,3.093,3.2,21.61,5.02,25.63,65.59,53.7,41.0,"dB02,VH93",6163690000.0,9.78984078795116,1.99519629159718,-0.5113052299953077,0.2597665671999075,2.031768104924403,-0.0365718133272232,0.0365718133272232,-0.0275214043066058,0.0275214043066058,0.4874880566288986,Q1
UGC05721,1.0,7.0,79.7,6.6,0.531,0.562,0.38,6.74,0.6,233.79,913.76,6.18,61.0,"dB02,Sw02",1012960000.0,9.005592296177396,1.9014583213961125,-0.5113052299953077,0.2597665671999075,1.8280465663846277,0.0734117550114852,0.0734117550114852,0.074802748435768,0.074802748435768,0.2268856200100988,Q1
UGC06399,1.0,9.0,85.0,3.8,2.296,0.674,2.05,8.8,3.45,30.82,311.05,18.0,75.0,"VS01,SV98",2044420000.0,9.310570120887752,1.9294189257142929,-0.5113052299953077,0.2597665671999075,1.907269608981732,0.0221493167325612,0.0221493167325612,0.0265188965763591,0.0265188965763591,0.6807173498090668,Q3
UGC06446,1.0,7.0,82.2,4.3,0.988,1.379,1.49,10.33,2.06,37.05,86.46,12.0,51.0,"VS01,SV98",2328070000.0,9.3669960344644,1.9148718175400503,-0.5113052299953077,0.2597665671999075,1.921927174852656,-0.0070553573126057,0.0070553573126057,-0.0021346899920453,0.0021346899920453,0.46750758253582886,Q1
UGC06614,1.0,1.0,199.8,16.0,124.35,21.888,5.1,60.63,3.68,1461.61,540.54,88.7,36.0,"dB01,VH93",91286040000.0,10.960404367736713,2.300595483889964,-0.5113052299953077,0.2597665671999075,2.335841387734531,-0.0352459038445669,0.0352459038445669,-0.0147631069602098,0.0147631069602098,0.48354034402781426,Q1
UGC06667,1.0,6.0,83.8,3.1,1.397,0.809,5.15,8.59,3.5,18.06,614.94,18.0,89.0,"VS01,SV98",1774470000.0,9.24906866136488,1.9232440186302764,-0.5113052299953077,0.2597665671999075,1.8912935859636917,0.0319504326665849,0.0319504326665849,0.0357193543730613,0.0357193543730613,0.7582069878024463,Q4
UGC06786,1.0,0.0,219.4,7.8,73.407,5.03,3.6,20.31,3.42,992.73,1078.52,29.3,64.0,"No07,No05",43393400000.0,10.6374236797072,2.341236623238692,-0.5113052299953077,0.2597665671999075,2.2519418031332403,0.0892948201054517,0.0892948201054517,0.1066232043958965,0.1066232043958965,0.7494889379486813,Q3
UGC06917,1.0,9.0,108.7,3.5,6.832,2.023,2.76,12.67,4.52,53.07,261.11,18.0,56.0,"VS01,SV98",6106590000.0,9.785798762190888,2.0362295440862948,-0.5113052299953077,0.2597665671999075,2.0307181217681234,0.0055114223181713,0.0055114223181713,0.0145223546225774,0.0145223546225774,0.6633375370350792,Q3
UGC06930,1.0,7.0,107.2,5.1,8.932,3.237,3.94,16.76,4.38,73.93,189.16,18.0,32.0,"VS01,SV98",8771210000.0,9.943059508996027,2.030194785356751,-0.5113052299953077,0.2597665671999075,2.0715692061209885,-0.0413744207642374,0.0413744207642374,-0.0308275908082511,0.0308275908082511,0.6500951189765702,Q2
UGC06983,1.0,6.0,109.0,5.8,5.298,2.967,3.21,16.07,3.95,53.56,121.57,18.0,49.0,"VS01,SV98",6595110000.0,9.819222043551012,2.037426497940624,-0.5113052299953077,0.2597665671999075,2.0394003728315995,-0.0019738748909756,0.0019738748909756,0.0073634881368751,0.0073634881368751,0.5844212184909071,Q2
UGC07125,1.0,9.0,65.2,2.1,2.712,4.629,3.38,23.04,3.92,28.11,103.0,19.8,90.0,"Sw09,Sw02",7512569999.999999,9.875788531662655,1.81424759573192,-0.5113052299953077,0.2597665671999075,2.054094455266916,-0.2398468595349954,0.2398468595349954,-0.2299570360997394,0.2299570360997394,0.47180252352334767,Q1
UGC07151,1.0,6.0,73.5,2.8,2.284,0.616,1.25,6.39,2.17,76.71,965.67,6.87,90.0,"Sw09,Sw02",1961280000.0,9.292539599672017,1.866287339084195,-0.5113052299953077,0.2597665671999075,1.902585882380695,-0.0362985432964999,0.0362985432964999,-0.0321050597498044,0.0321050597498044,0.7058220615938233,Q3
