GASS,AGCnr,SDSS,PLATEID,MJD,FIBERID,RA,DEC,zSDSS,Dlum,lgMstar,expAB_r,model_r,merr_r,ext_r,petrR50_r,petrR90_r,petrR50_z,lgmust,CINDX,INCL,NUVr,lgSFR_tot_median,SFR_best,SFRerr_best,SFRcase_best,HIsrc,HI_FLAG,xGASSDR,zHI,W50cor,lgMHI,lgGF,HIconf_flag,weight,group_id_B,NYU_id,env_code_B,Ngal_B,yang_shred_code,logMh_Mst_B,lvir_ratB,galaxy_id,Vflat,M_star,M_HI,M_bar,logM_bar,logVflat,f_atm_total,B_T,j_bar_total,SFR,lg_M_bar_total,V_rot_HI_am,lg_M_star_total,lg_M_HI,incl,b_a,btfr_offset_dex,Mbar_msun,logMbar,f_atm,logVw50,btfr_residual_dex,btfr_abs_residual
11834,101866,J000047.89+141639.1,750,52235,141,0.19954,14.27755,0.03618,159.2,10.709,0.340868,15.3202,0.003,0.1738,3.55,10.51,3.21,9.18,2.96,73.6,4.04,0.39566937,0.82985944,0.0,9,3,1,2,0.036162,359.0,9.603,-1.106,0.0,0.49,158499,722887,1,1,0,11.9957,-3.651931,11834,187.11287937409767,51168183554.03073,4008667176.273026,56499710898.473854,10.752046225597867,2.2721036819339617,0.1286617511246989,0.4125821281897286,776.0602674837922,0.8298594355583191,10.6238840267482,179.5,10.552615676107438,9.602999687194824,90.0,0.196491819043953,-0.0369821734126762,56499710898.473854,10.752046225597867,0.1286617511246989,2.5550944485783194,-0.0369821734126762,0.0369821734126762
11825,101876,J000210.19+140810.3,750,52235,13,0.54247,14.1362,0.04201,185.7,10.625,0.719428,15.6362,0.003,0.1875,2.16,7.01,2.17,9.32,3.25,45.1,6.16,-1.3193103,0.0620131,0.15414698,2,3,1,2,0.042186,392.0,9.244,-1.381,0.0,0.712,158506,722903,1,1,0,12.0821,-3.8956156,11825,276.7033414774898,42169650342.85822,1753880501.8417602,44502311410.30776,10.648382568434249,2.4420144037252416,0.0454560960825448,0.5299945649332832,777.5429966397134,0.0620131008327007,10.716742093876436,221.7379630481232,10.695876473508664,9.244000434875488,62.11967011990795,0.499927451060779,0.1618372232818896,44502311410.30776,10.648382568434247,0.0454560960825448,2.593286067020457,0.1618372232818896,0.1618372232818896
124012,101904,J000629.29+141056.5,751,52251,211,1.62208,14.18237,0.01776226,77.1,9.744797,0.143843,16.1332,0.0109,0.3417,6.72,16.28,6.03,8.27,2.42,90.0,4.26,-1.620238,0.16162375,0.12874523,1,3,1,4,0.017712,255.0,8.939,-0.806,0.0,2.148,158518,722931,1,1,0,0.0,-99.0,124012,127.5,5556444745.678168,868960429.286302,6712162116.62895,9.826862437318129,2.105510184769974,0.1423851331805841,0.1610197642579308,529.3258472002432,0.1616237461566925,9.915869263548409,127.5,9.811640502800184,8.939000129699707,90.0,0.10312643628283,0.054430250620526,6712162116.62895,9.826862437318129,0.1423851331805841,2.406540180433955,0.054430250620526,0.054430250620526
11910,101905,J000632.57+154004.7,751,52251,484,1.63573,15.66799,0.03701,163.0,10.279,0.554766,15.8447,0.0052,0.1776,3.1,8.53,2.97,8.8,2.75,58.1,3.91,-1.2048572,0.18695776,0.17065322,2,3,1,3,0.037052,300.0,9.418,-0.861,0.0,0.681,105380,353229,1,1,0,11.7938,-3.6742053,11910,176.6843372820754,19010782799.233,2618183008.218981,22492966200.16424,10.352046730643304,2.2471980518640953,0.1612046624442637,0.1723109978438019,698.9434348514,0.186957761645317,10.340956407208342,176.38297539718633,10.259274842074134,9.41800022125244,58.25762115842563,0.552911186155692,0.0496600202920758,22492966200.16424,10.352046730643305,0.1612046624442637,2.4771212547196626,0.0496600202920758,0.0496600202920758
11956,101917,J000820.76+150921.6,752,52251,350,2.08654,15.15601,0.03951,174.3,10.088,0.310181,16.4392,0.0066,0.1583,3.1,6.68,2.99,8.55,2.15,76.0,3.02,-0.20997989,0.4737959,0.19376613,1,3,1,1,0.039654,284.0,9.163,-0.925,0.0,0.655,159217,725499,1,1,0,0.0,-99.0,11956,146.34713536768552,12246161992.650463,1455459080.5819669,14181922569.824482,10.151735109892718,2.1653842258734466,0.187251131681562,0.0,600.3914361027737,0.4737958908081054,10.020909430824377,144.4385821688425,9.90178095557884,9.163000106811523,79.45667384496345,0.268592740237614,0.0237070782608759,14181922569.824482,10.151735109892718,0.187251131681562,2.4533183400470375,0.0237070782608759,0.0237070782608759
12062,102606,J002556.06+153815.0,753,52233,559,6.48359,15.63752,0.03651,160.7,10.087,0.707733,15.5584,0.0034,0.1467,2.83,6.16,2.63,8.73,2.18,46.1,2.37,0.2351394,0.98986626,0.0,9,3,1,3,0.036445,240.0,9.824,-0.263,0.0,0.655,23252,383716,0,2,0,0.0,-0.9114963,12062,166.5391920916743,12217996601.64871,6668067692.136219,21086526632.18988,10.32400504874358,2.2215164534952176,0.4069976417720676,0.0,1097.9268561033389,0.9898662567138672,10.344742243453632,167.7280541194237,10.081600200795997,9.824000358581545,45.67958375179056,0.7131721621350071,0.0317984032740494,21086526632.18988,10.32400504874358,0.4069976417720676,2.380211241711606,0.0317984032740494,0.0317984032740494
3163,102043,J002846.83+150529.3,417,51821,343,7.19513,15.0915,0.0422,186.6,10.631,0.468225,15.2894,0.0028,0.1652,4.23,9.19,3.99,8.79,2.17,64.4,3.83,-0.0018404803,2.6056283,0.3389535,1,3,1,2,0.042253,368.0,9.562,-1.069,0.0,0.712,159264,725638,1,1,0,12.0949,-3.4781096,3163,204.02901271864863,42756288615.158646,3647539469.256073,47607516109.269226,10.677675523037651,2.3096919280519455,0.0980209082540018,0.0612471667339607,1074.1420801072209,2.605628252029419,10.701015330197936,202.18775814922063,10.62811337480687,9.562000274658203,65.5115993989449,0.452708531231355,0.0213458239495527,47607516109.269226,10.677675523037653,0.0980209082540018,2.5658478186735176,0.0213458239495527,0.0213458239495527
3151,102060,J003143.05+142911.2,417,51821,166,7.92941,14.48647,0.03814,168.1,10.4,0.784267,15.6996,0.0032,0.1902,3.4,11.16,2.9,8.92,3.28,39.3,4.9,-1.4276515,0.09108577,0.0,9,3,1,2,0.038243,309.0,8.917,-1.483,0.0,0.887,23190,379852,2,2,0,11.8854,-0.9895935,3151,243.9290586074445,25118864315.09582,826037949.5771784,26217494788.03347,10.418591190339829,2.3872635397198083,0.030142788002885,1.0,2083.590079921724,0.0910857692360878,10.568150199851855,226.56729803836149,10.553356721441537,8.916999816894531,42.99359454369265,0.7440364033922661,0.1711682605586433,26217494788.03347,10.418591190339829,0.030142788002885,2.4899584794248346,0.1711682605586433,0.1711682605586433
27181,102067,J003248.17+144738.1,418,51884,313,8.20069,14.79394,0.04182,184.8,10.596,0.781283,15.2945,0.0027,0.1819,3.67,10.23,3.38,8.91,2.79,39.6,3.13,0.21606667,1.419728,0.264892,1,3,1,2,0.041922,275.0,9.516,-1.08,0.0,0.634,111248,381133,1,1,0,12.004,-3.7196693,27181,215.71199423198777,39445730207.52785,3280952931.1311903,43809397605.93233,10.641567281522889,2.3338742938459176,,,,,,,,,,,0.0555976918606666,43809397605.93233,10.641567281522887,,2.439332693830263,0.0555976918606666,0.0555976918606666
27167,102100,J003921.66+142811.5,418,51884,150,9.84028,14.46986,0.03802,167.6,10.372,0.710511,15.7574,0.0032,0.2656,2.15,5.96,2.02,9.21,2.77,45.9,4.56,-0.88082904,0.15956831,0.12907287,2,3,1,2,0.038093,227.0,9.581,-0.791,0.0,0.887,110963,379902,1,1,0,11.8573,-3.554771,27167,158.05019305591293,23550492838.96009,3810658233.937726,28618668290.097267,10.456649420908091,2.198795030660043,,,,,,,,,,,-0.0279135438931192,28618668290.097267,10.456649420908093,,2.3560258571931225,-0.0279135438931192,0.0279135438931192
3189,102104,J004023.48+143649.4,419,51879,308,10.09787,14.61375,0.0384,169.3,10.046,0.47116,15.9747,0.005,0.3155,5.96,11.68,5.59,7.99,1.96,64.2,2.87,-0.3609615,2.3247159,0.0,9,3,1,2,0.038583,389.0,9.72,-0.326,0.0,0.655,62881,149670,1,1,0,11.7377,-3.5668743,3189,216.03459372181888,11117317272.815895,5248074602.497734,18097256494.13789,10.257612741732938,2.334523300500658,0.3706876274802119,0.0300781247873223,1996.146157199252,2.3247158527374268,10.281325938075105,218.24417917659272,10.033736973737003,9.720000267028809,63.02488358209874,0.487366272116273,0.1633200670625827,18097256494.137886,10.257612741732938,0.3706876274802119,2.5899496013257077,0.1633200670625827,0.1633200670625827
27219,102108,J004125.29+134334.3,419,51868,284,10.35548,13.72639,0.03324,146.0,10.213,0.252566,16.6603,0.0061,0.2303,4.33,9.51,4.34,8.5,2.2,80.9,3.95,-0.035319567,0.9051791,0.22482766,1,3,1,2,0.033323,320.0,9.154,-1.059,0.0,0.681,62407,147641,1,1,0,0.0,-99.0,27219,162.03945995699672,16330519478.943314,1425607593.602188,18226577578.434223,10.260705128428008,2.2096207871029656,0.1412639055514666,0.0,648.1023981649487,0.9051790833473206,10.13430287454949,160.11453714400568,10.027874396201325,9.154000282287598,87.83268859893744,0.203403469182016,0.0375551800607842,18226577578.434223,10.260705128428008,0.1412639055514666,2.505149978319906,0.0375551800607842,0.0375551800607842
124002,102145,J004903.69+152907.9,420,51871,382,12.2654,15.48553,0.018259116,79.3,9.249303,0.479039,15.8849,0.004,0.1674,2.57,6.02,2.6,8.48,2.34,63.6,2.33,-0.45712253,0.20942336,0.10323215,1,3,1,4,0.018269,195.0,8.984,-0.265,0.0,2.775,19397,152252,2,2,0,0.0,-99.0,124002,108.85198155033648,1775427735.1365852,963829023.6239704,3057320336.556466,9.485340945140962,2.0368363393811895,0.4010352942656762,0.0,360.07734823999607,0.2094233632087707,9.511151376493697,107.93398711339344,9.235230754804824,8.984000205993652,64.59928238839662,0.4654409226898829,0.0809964735447046,3057320336.556466,9.485340945140962,0.4010352942656762,2.290034611362518,0.0809964735447046,0.0809964735447046
3233,102159,J005134.04+135452.7,420,51871,254,12.89187,13.91464,0.03922,173.0,10.225,0.70756,15.8764,0.0031,0.2027,2.35,5.82,2.31,8.92,2.48,46.2,3.36,0.5039952,2.7073095,0.3067442,1,3,1,2,0.039274,248.0,9.258,-0.967,0.0,0.681,110710,378817,1,1,0,11.7698,-3.7306645,3233,171.80220684465473,16788040181.22559,1811340092.6195989,19197122504.409657,10.283236136301962,2.235028738158206,0.11851171871065,0.0,552.8506452290862,2.7073094844818115,10.314572846193856,175.22348190225892,10.191994736705643,9.258000373840332,45.04546916791405,0.7205818184627959,0.056679910943274,19197122504.409657,10.283236136301962,0.11851171871065,2.3944516808262164,0.056679910943274,0.056679910943274
3261,102194,J005532.61+154632.9,420,51871,573,13.88588,15.77582,0.03747,165.1,10.078,0.815929,15.7441,0.003,0.2584,3.03,7.7,2.84,8.63,2.54,36.2,2.52,0.15943217,1.4676183,0.0,9,3,1,1,0.037449,157.0,9.958,-0.12,0.0,0.655,63716,153429,1,1,0,11.7406,-3.655175,3261,132.91440347388843,11967405313.072418,9078205301.781862,24041418364.44229,10.38096008602952,2.123572046482856,0.5030186938960929,0.0,1154.7569253680672,1.4676183462142944,10.386749858532154,140.5631765005437,10.038929439060208,9.958000183105469,33.94989809537524,0.837012083716256,-0.0820290499480846,24041418364.442295,10.380960086029521,0.5030186938960929,2.1958996524092336,-0.0820290499480846,0.0820290499480846
3305,102204,J005709.66+143906.6,421,51821,304,14.29028,14.65185,0.0494,219.5,10.711,0.360498,15.5238,0.0034,0.1372,3.83,11.49,3.22,8.93,3.0,72.2,3.16,0.31546772,1.7389007,0.35771158,1,3,1,3,0.049501,378.0,10.13,-0.581,0.0,0.49,111292,381290,1,1,0,12.1278,-3.4215477,3305,198.50243196009188,51404365158.242645,13489628825.91656,69345571496.71167,10.841018731653696,2.297765831907084,0.299846530252719,0.3849630986759278,1923.789086802352,1.738900661468506,10.783434872024388,191.91992706657572,10.607527590173236,10.130000114440918,79.9927266362707,0.26265802351342,-0.0361317783329671,69345571496.71167,10.841018731653696,0.299846530252719,2.577491799837225,-0.0361317783329671,0.0361317783329671
3284,112587,J010253.84+141140.3,421,51821,110,15.72436,14.19455,0.03968,175.1,10.601,0.335497,15.7058,0.0035,0.136,4.82,12.14,4.16,8.77,2.52,74.0,4.78,0.61499995,1.4900889,0.26247853,1,3,1,3,0.039637,271.0,9.182,-1.419,0.0,0.712,111013,380052,1,1,0,11.9386,-3.7009974,3284,140.96057355924708,39902490236.21429,1520547529.732497,41924818450.75851,10.622471190634007,2.1490976581870793,0.0439677117473599,0.4983380235041914,761.1781463236199,1.490088939666748,10.669200074539948,135.5744494499619,10.632506351934609,9.182000160217283,88.10111209477279,0.202618016665465,-0.1238536186212022,41924818450.75851,10.622471190634009,0.0439677117473599,2.432969290874406,-0.1238536186212022,0.1238536186212022
3439,112651,J010905.96+144520.8,422,51811,499,17.27486,14.75578,0.03855,170.0,10.35,0.790436,15.6233,0.0032,0.1419,3.56,10.34,2.96,8.84,2.9,38.7,3.16,-0.82018614,0.51822215,0.15918376,2,3,1,2,0.03854,284.0,9.535,-0.815,0.0,0.887,63272,151215,1,1,0,11.8561,-3.6297204,3439,227.1118238032649,22387211385.683376,3427677865.4645047,26946022946.751167,10.430494675283928,2.356239744870736,0.1835121219896605,0.8012872908383426,669.44169035805,0.5182221531867981,10.401668891428931,152.04001372034617,10.30078838316387,9.53499984741211,69.06151749672436,0.4032388994408879,0.1368249419161751,26946022946.751167,10.430494675283928,0.1835121219896605,2.4533183400470375,0.1368249419161751,0.1368249419161751
