galaxy_name,Q,T,Vflat,Inc,Rdisk,RHI,Mbar_msun,logMbar,proxy,proxy_quartile,btfr_residual_dex,btfr_abs_residual
D631-7,1.0,10.0,57.7,59.0,0.7,0.0,483700000.0,8.684576087388455,0.7016120252058916,Q3,0.0165185253437356,0.0165185253437356
DDO064,1.0,10.0,46.1,60.0,0.69,3.49,359130000.0,8.555251685522226,0.5529195956236261,Q1,-0.0473622064943752,0.0473622064943752
DDO161,1.0,10.0,66.3,70.0,1.22,10.69,2106740000.0,9.32361094114549,0.4188253581592538,Q1,-0.0891436496887827,0.0891436496887827
ESO079-G014,1.0,4.0,175.0,79.0,5.08,17.67,30042700000.0,10.477738961035453,0.8541528562641895,Q4,0.0325769967566969,0.0325769967566969
ESO116-G012,1.0,7.0,109.1,74.0,1.51,9.58,3586390000.0,9.554657514907792,0.6824351010857201,Q3,0.0671493971652532,0.0671493971652532
ESO563-G021,1.0,4.0,314.6,83.0,5.45,55.71,187904840000.0,11.273937966679668,0.6727199823672467,Q3,0.0804717838534929,0.0804717838534929
F563-1,1.0,9.0,109.9,25.0,3.52,23.47,5207500000.0,9.716629278619784,0.4395030967734976,Q1,0.0282474899576228,0.0282474899576228
F563-V2,1.0,10.0,116.6,29.0,2.43,11.37,4377770000.0,9.641252940796385,0.5897523730477182,Q2,0.0735286004816133,0.0735286004816133
F568-V1,1.0,7.0,112.3,40.0,2.85,14.38,5225530000.0,9.718130345386385,0.5632676862854822,Q2,0.0372396268344927,0.0372396268344927
F571-8,1.0,5.0,139.7,85.0,3.56,24.55,7452060000.0,9.872276342945089,0.5692465306441274,Q2,0.0920143000537865,0.0920143000537865
F574-1,1.0,7.0,97.8,65.0,4.46,16.19,7955420000.000001,9.90066311281571,0.6331980283922262,Q2,-0.0702171850359787,0.0702171850359787
F579-V1,1.0,5.0,112.1,26.0,3.37,20.96,8909850000.0,9.949870392620417,0.6223972547572998,Q2,-0.023732833384721,0.023732833384721
F583-1,1.0,9.0,85.8,63.0,2.36,15.65,3320580000.0,9.521213947800288,0.4490979153048543,Q1,-0.0285005449519473,0.0285005449519473
IC4202,1.0,4.0,242.6,90.0,4.78,32.13,106268080000.0,11.02640283402812,0.802377234291119,Q4,0.031905213767045,0.031905213767045
