galaxy_name,T,Vflat,e_Vflat,RHI,SBeff,SBdisk,M_baryon_Msun,M_star_Msun,M_gas_Msun,Rdisk_kpc,f_star,f_gas,Sigma_baryon_Msun_kpc2,log10_Sigma_b,A_gov_star_sigma,A_gov,maturity_class,A_gov_star_sigma_gas,v_newton_km_s,v_bdvr_full_km_s,A_implied,distance_to_half_activation,log10_velocity_error_full_bdvr,claim_boundary,stellar_to_gas_ratio,RHI_over_Rdisk,v_bdvr_full_source_km_s,v_full_normalization,btfr_v2_km2_s2
D631-7,10.0,57.7,2.7,0.0,20.93,115.04,483700000.0,98000000.0,385700000.0,0.7,0.2026049204052098,0.7973950795947902,157108665.25214228,8.196200139001826,0.0335516004490081,0.0026071144354172,juvenile,0.0026071144354172,44.51234813364735,68.96990630877566,1.0,0.5,-0.0343674308677844,diagnostic_governor_hypothesis_not_accepted_model,0.2540834845735027,,53.30996314567532,vN2_plus_sqrt_GMbar_a0_Qeff1,2775.4988398702744
DDO064,10.0,46.1,3.9,3.49,17.41,151.65,359130000.0,78500000.0,280630000.0,0.69,0.2185837997382563,0.7814162002617436,120053170.99893376,8.0793736356896,0.0339010906970708,0.0030496350599037,juvenile,0.0030496350599037,38.63160738634843,62.3213261879251,0.6616530520378597,0.1616530520378597,0.0307763564317417,diagnostic_governor_hypothesis_not_accepted_model,0.279727755407476,5.057971014492754,49.48542241518229,vN2_plus_sqrt_GMbar_a0_Qeff1,2391.546608568789
DDO161,10.0,66.3,1.9,10.69,20.74,169.37,2106740000.0,274000000.0,1832740000.0,1.22,0.1300587637772103,0.8699412362227897,225274176.84051275,8.352711411437879,0.0169268048516964,0.0006633249648438,juvenile,0.0006633249648438,70.36667605242577,103.65263235302743,0.0,0.5,0.0650535673224326,diagnostic_governor_hypothesis_not_accepted_model,0.1495029300391763,8.762295081967213,77.01354161757533,vN2_plus_sqrt_GMbar_a0_Qeff1,5792.399095044836
ESO079-G014,4.0,175.0,3.5,17.67,157.34,2295.25,30042700000.0,25866500000.0,4176200000.000001,5.08,0.8609911892073615,0.1390088107926385,185281333.65470937,8.2678316681095,0.7395151354129029,0.7275761776685452,mature,0.7275761776685452,130.22042417164954,197.0560091303204,1.0,0.5,-0.0679389479865981,diagnostic_governor_hypothesis_not_accepted_model,6.193788611656529,3.478346456692914,149.65771177650524,vN2_plus_sqrt_GMbar_a0_Qeff1,21873.711862924592
ESO116-G012,7.0,109.1,3.1,9.58,90.54,1320.78,3586390000.0,2146000000.0,1440390000.0,1.51,0.5983732945942856,0.4016267054057144,250336255.58323848,8.398523751963339,0.7112971380206047,0.579803731871834,transition,0.579803731871834,82.52428402081705,119.8658426737016,1.0,0.5,-0.0934960114205603,diagnostic_governor_hypothesis_not_accepted_model,1.489874270162942,6.344370860927152,87.9688144735149,vN2_plus_sqrt_GMbar_a0_Qeff1,7557.562786728102
ESO563-G021,4.0,314.6,11.7,55.71,429.37,6558.89,187904840000.0,155588500000.0,32316340000.0,5.45,0.8280175220606345,0.1719824779393654,1006850740.4054111,9.00296509376827,0.9718101743457644,0.9501294620596824,mature,0.9501294620596824,233.88964509869035,330.76990819719776,1.0,0.5,-0.1105551010483615,diagnostic_governor_hypothesis_not_accepted_model,4.814545830375593,10.222018348623854,243.89540442434864,vN2_plus_sqrt_GMbar_a0_Qeff1,54704.366084391324
F563-1,9.0,109.9,12.5,23.47,14.22,41.77,5207500000.0,951500000.0,4256000000.0,3.52,0.1827172347575612,0.8172827652424388,66890444.71131241,7.825364083305407,0.012916222974059,0.0008343350747125,juvenile,0.0008343350747125,65.1305564828556,115.53712873093724,1.0,0.5,-0.0561760123277115,diagnostic_governor_hypothesis_not_accepted_model,0.22356672932330826,6.667613636363636,96.56543030573992,vN2_plus_sqrt_GMbar_a0_Qeff1,9106.83872762272
F563-V2,10.0,116.6,9.4,11.37,23.6,146.16,4377770000.0,1493000000.0,2884770000.0,2.43,0.341041215047844,0.658958784952156,117994163.35914347,8.071860525241643,0.1216472460465088,0.0306181127064098,transition,0.0306181127064098,71.87284146811513,116.25648705250853,1.0,0.5,-0.1007209547830663,diagnostic_governor_hypothesis_not_accepted_model,0.5175455928895545,4.679012345679012,92.46504718896408,vN2_plus_sqrt_GMbar_a0_Qeff1,8349.865441089274
F568-V1,7.0,112.3,15.8,14.38,31.39,90.54,5225530000.0,1912500000.0,3313030000.0000005,2.85,0.3659915836288376,0.6340084163711625,102390757.74392018,8.010260757011247,0.1364186719401666,0.0411325566801155,transition,0.0411325566801155,72.5077158237496,119.91646812046147,1.0,0.5,-0.0651828094740288,diagnostic_governor_hypothesis_not_accepted_model,0.57726612798556,5.045614035087719,96.648906959986,vN2_plus_sqrt_GMbar_a0_Qeff1,9122.590472508022
F571-8,5.0,139.7,4.3,24.55,825.71,87.26,7452060000.0,5082000000.0,2370060000.0,3.56,0.6819590824550527,0.3180409175449473,93582895.56380111,7.971196478641222,0.4437925143894947,0.4040671367153705,transition,0.4040671367153705,77.4737635436703,129.98568972647223,1.0,0.5,-0.1214629599370769,diagnostic_governor_hypothesis_not_accepted_model,2.1442495126705654,6.896067415730337,105.61690728911005,vN2_plus_sqrt_GMbar_a0_Qeff1,10894.095496046173
