r_kpc,a_b_m_s2,a_qv_m_s2,a_total_m_s2,v_newton_km_s,v_cghstc34_km_s
0.5,3.7169986954035748e-09,6.678621440450334e-10,4.3848608394486086e-09,239.47295823160775,260.0987004028085
0.7487437185929648,2.734781237676073e-09,5.728645114869036e-10,3.3076457491629765e-09,251.3640496068537,276.4403051520946
0.9974874371859297,2.096074978094368e-09,5.015266666602327e-10,2.5976016447546003e-09,253.99922807351282,282.75823705898017
1.2462311557788945,1.6575476930845116e-09,4.4598847874148205e-10,2.103536171825994e-09,252.46872772038225,284.41308101647854
1.4949748743718594,1.3435151681408253e-09,4.01524370589008e-10,1.7450395387298332e-09,248.95078864583343,283.7232037761291
1.743718592964824,1.1109532766021388e-09,3.651224358927518e-10,1.4760757124948907e-09,244.49015107275076,281.81739034938283
1.9924623115577889,9.339369283269163e-10,3.347722082240848e-10,1.2687091365510011e-09,239.62333277659732,279.28741345400346
2.241206030150754,7.960890499549863e-10,3.0908038759293405e-10,1.1051694375479203e-09,234.63726564082495,276.45891354731
2.4899497487437188,6.866518262280317e-10,2.870508999243232e-10,9.73702726152355e-10,229.68828949414,273.51664253826965
2.738693467336683,5.983223259327726e-10,2.679527553729066e-10,8.662750813056792e-10,224.86123406675833,270.5670437536565
2.987437185929648,5.260017843585356e-10,2.5123736609633583e-10,7.772391504548714e-10,220.2004857120584,267.67141705262475
3.236180904522613,4.66042936819053e-10,2.3648499406576807e-10,7.025279308848211e-10,215.72706420041976,264.8643246346159
3.4849246231155777,4.1578099099407376e-10,2.2336901960497755e-10,6.391500105990513e-10,211.44834102672516,262.1641887102511
3.7336683417085426,3.73232345472121e-10,2.1163147558114913e-10,5.848638210532701e-10,207.3637214367678,259.5795767232397
3.9824120603015074,3.3689583548668293e-10,2.010659102344352e-10,5.379617457211182e-10,203.46803510215543,257.1130184827369
4.231155778894472,3.05618486443449e-10,1.9150513928668827e-10,4.971236257301373e-10,199.75358870554794,254.76336811141007
4.4798994974874375,2.7850291154634266e-10,1.8281233378949332e-10,4.61315245335836e-10,196.21141874900297,252.52728630516506
4.7286432160804015,2.548422183806734e-10,1.7487442982231796e-10,4.2971664820299133e-10,192.83205724418096,250.40017952336362
4.977386934673366,2.3407346650257377e-10,1.6759718368847626e-10,4.0167065019105e-10,189.60599628381416,248.37679799769805
5.226130653266331,2.1574387100920591e-10,1.6090141242731437e-10,3.766452834365203e-10,186.5239644244708,246.45161629444917
5.474874371859296,1.9948591349645396e-10,1.5472010089052578e-10,3.5420601438697975e-10,183.57708463928586,244.61907370137249
5.723618090452261,1.8499877503151706e-10,1.4899615096968798e-10,3.3399492600120506e-10,180.75695755577672,242.87372348231077
5.972361809045226,1.7203432033504978e-10,1.4368061261076936e-10,3.1571493294581916e-10,178.05569769468315,241.21032256178052
6.221105527638191,1.6038640144598938e-10,1.3873128044359255e-10,2.991176818895819e-10,175.46594044046054,239.62388219163205
6.469849246231155,1.498826118585707e-10,1.3411157080218128e-10,2.8399418266075194e-10,172.98083115644462,238.10969311274025
6.71859296482412,1.403778699270982e-10,1.297896158837516e-10,2.7016748581084976e-10,170.59400381389415,236.6633341646399
6.967336683417085,1.3174938204167287e-10,1.2573752759220592e-10,2.574869096338788e-10,168.29955389060504,235.28067030769915
7.21608040201005,1.23892656625433e-10,1.219307951054694e-10,2.4582345173090237e-10,166.0920085926353,233.95784404445635
7.464824120603015,1.1671832567221672e-10,1.1834778865980558e-10,2.350661143320223e-10,163.9662963378028,232.69126290638317
7.71356783919598,1.1014959212105112e-10,1.149693483260914e-10,2.2511894044714254e-10,161.91771670689994,231.4775847847665
7.9623115577889445,1.0412016609831568e-10,1.1177844126573729e-10,2.1589860736405297e-10,159.94191158660536,230.31370228451
8.21105527638191,9.857258588230836e-11,1.0875987452124521e-10,2.0733246040355358e-10,158.03483791175293,229.1967268726401
8.459798994974875,9.345684375592575e-11,1.0590005311949135e-10,1.993568968754171e-10,156.19274220831085,228.12397331660262
8.708542713567839,8.872925507833719e-11,1.0318677536099509e-10,1.9191603043933226e-10,154.4121370054266,227.09294471934246
8.957286432160803,8.435152259269378e-11,1.0060905879255234e-10,1.8496058138524613e-10,152.68977910084024,226.10131833063227
9.206030150753769,8.02899583796121e-11,9.815699162847979e-11,1.784469500080919e-10,151.02264961257077,225.14693222816234
9.454773869346733,7.651483381667809e-11,9.582160538209204e-11,1.7233643919877012e-10,149.4079357200976,224.22777290455846
9.703517587939698,7.299983402929822e-11,9.359476525701523e-11,1.6659459928631344e-10,147.8430139829219,223.34196375886688
9.952261306532662,6.972159806853655e-11,9.146907547485317e-11,1.6119067354338974e-10,146.3254351184143,222.48775446699554
10.201005025125628,6.665932975907798e-11,8.943779721733623e-11,1.560971269764142e-10,144.85291012087885,221.66351119088165
10.449748743718592,6.379446707154927e-11,8.749477726462256e-11,1.5128924433617184e-10,143.42329760750783,220.86770757781517
10.698492462311558,6.111040017232378e-11,8.563438573773302e-11,1.4674478591005679e-10,142.03459228284865,220.0989164973234
10.947236180904522,5.859223012933833e-11,8.385146161827235e-11,1.4244369174761066e-10,140.6849144205268,219.3558024618926
11.195979899497488,5.622656170946024e-11,8.214126493508137e-11,1.383678266445416e-10,139.37250026860312,218.6371146785566
11.444723618090451,5.4001324871726514e-11,8.049943468501616e-11,1.3450075955674268e-10,138.09569329264423,217.94168068033937
11.693467336683417,5.190562050283124e-11,7.892195170128365e-11,1.308275722041149e-10,136.85293617808765,217.2684004892095
11.942211055276381,4.9929586704023173e-11,7.74051058037051e-11,1.2733469250772828e-10,135.64276352061455,216.61624126526738
12.190954773869347,4.8064282558914925e-11,7.594546666569238e-11,1.240097492246073e-10,134.46379513991732,215.98423240011098
12.43969849246231,4.6301586818323417e-11,7.453985791641148e-11,1.208414447347349e-10,133.31472995841972,215.37146101557173
12.688442211055277,4.463410935367613e-11,7.318533406660882e-11,1.1781944342028495e-10,132.19434039216947,214.77706783217246
12.93718592964824,4.305511357247087e-11,7.18791599053335e-11,1.1493427347780438e-10,131.10146720627975,214.20024337468388
13.185929648241206,4.155844827180848e-11,7.061879206427293e-11,1.121772403360814e-10,130.03501479197772,213.64022448499804
13.43467336683417,4.0138487640293954e-11,6.940186248823063e-11,1.0954035012852458e-10,128.99394682654815,213.0962911151935
13.683417085427136,3.879007831353301e-11,6.822616358570927e-11,1.0701624189924228e-10,127.97728228127586,212.56776337611325
13.9321608040201,3.75084925511891e-11,6.708963486368584e-11,1.0459812741487493e-10,126.98409174592614,212.05399881903284
14.180904522613066,3.628938673986094e-11,6.599035087634641e-11,1.0227973761620735e-10,126.01349404138843,211.55438993005532
14.42964824120603,3.512876454054606e-11,6.492651033950252e-11,1.0005527488004858e-10,125.06465309488321,211.06836181874948
14.678391959798995,3.4022944095940494e-11,6.389642628123156e-11,9.791937037717205e-11,124.13677505462032,210.59537008425673
14.92713567839196,3.296852879436248e-11,6.289851711545748e-11,9.586704590981996e-11,123.22910562303214,210.13489884364282
15.175879396984925,3.196238115618493e-11,6.193129853912472e-11,9.389367969530965e-11,122.34092758970961,209.68645890867649
15.424623115577889,3.1001599467375485e-11,6.099337616565473e-11,9.199497563303021e-11,121.47155854696916,209.2495860984896
15.673366834170855,3.008349683476389e-11,6.00834388177946e-11,9.01669356525585e-11,120.62034877259441,208.82383967672445
15.922110552763819,2.920558238038045e-11,5.920025241200964e-11,8.840583479239009e-11,119.78667926574778,208.40880090281507
16.170854271356784,2.8365544328789282e-11,5.834265437443444e-11,8.670819870322373e-11,118.96995992335165,208.00407168799066
16.41959798994975,2.756123477273517e-11,5.750954853524952e-11,8.507078330798469e-11,118.16962784541133,207.60927334743909
16.668341708542712,2.679065592942932e-11,5.669990045433518e-11,8.34905563837645e-11,117.38514575880713,207.22404544083878
16.917085427135678,2.605194772308331e-11,5.5912733136290134e-11,8.196468085937344e-11,116.61600055003363,206.848044694161
17.165829145728644,2.5343376549418388e-11,5.514712309749446e-11,8.049049964691284e-11,115.86170189821945,206.48094399627487
17.414572864321606,2.466332509529629e-11,5.440219675192864e-11,7.906552184722493e-11,115.12178100053347,206.12243146445627
17.66331658291457,2.4010283101730896e-11,5.367712708601036e-11,7.768741018774126e-11,114.39578938277997,205.7722095734151
17.912060301507537,2.3382838971679153e-11,5.297113059583964e-11,7.635396956751879e-11,113.68329778861458,205.42999434292514
18.160804020100503,2.277967213545356e-11,5.2283464463006156e-11,7.506313659845972e-11,112.9838951413817,205.09551457956
18.409547738693465,2.219954609658622e-11,5.161342394755793e-11,7.381297004414414e-11,112.29718757308888,204.76851116842496
18.65829145728643,2.1641302089705845e-11,5.096033997889635e-11,7.260164206860219e-11,111.62279751549973,204.4487364111195
18.907035175879397,2.1103853289637057e-11,5.032357692728575e-11,7.14274302169228e-11,110.96036284874968,204.13595340648382
19.155778894472363,2.058617951764057e-11,4.9702530540374586e-11,7.028871005801515e-11,110.30953610327138,203.82993547096672
19.404522613065325,2.0087322396610105e-11,4.909662603064708e-11,6.918394842725718e-11,109.66998371116581,203.53046559571567
19.65326633165829,1.9606380912232533e-11,4.8505316301080895e-11,6.811169721331343e-11,109.0413853034697,203.2373359377247
19.902010050251256,1.914250734169504e-11,4.7928080297497885e-11,6.707058763919293e-11,108.4234330500589,202.95034734259337
20.150753768844222,1.8694903515564717e-11,4.7364421477178056e-11,6.605932499274278e-11,107.81583103918857,202.66930889664633
20.399497487437184,1.8262817382040963e-11,4.681386638427674e-11,6.50766837663177e-11,107.21829469390902,202.39403750634239
20.64824120603015,1.7845539845947636e-11,4.627596332345461e-11,6.412150316940225e-11,106.63055022281455,202.12435750306526
20.896984924623116,1.7442401857640776e-11,4.5750281123911065e-11,6.319268298155184e-11,106.05233410278042,201.86010027153887
21.14572864321608,1.7052771729502633e-11,4.523640798671261e-11,6.228917971621523e-11,105.4833925915244,201.60110390024522
21.394472361809044,1.6676052659912756e-11,4.473395040894031e-11,6.141000306885307e-11,104.9234812679954,201.3472128523487
21.64321608040201,1.631168044656359e-11,4.4242532178748885e-11,6.055421262531247e-11,104.37236459874312,201.09827765574465
21.891959798994975,1.5959121372751862e-11,4.3761793435943906e-11,5.972091480869576e-11,103.82981552856131,200.85415461095482
22.14070351758794,1.5617870251851686e-11,4.329138979314711e-11,5.89092600449988e-11,103.29561509382488,200.61470551568797
22.389447236180903,1.5287448616583863e-11,4.283099151303952e-11,5.811844012962338e-11,102.76955205705713,200.37979740497192
22.63819095477387,1.4967403040956744e-11,4.238028273755154e-11,5.7347685778508287e-11,102.2514225613713,200.14930230584517
22.886934673366834,1.465730358388432e-11,4.1938960765213514e-11,5.659626434909783e-11,101.74102980352819,199.92309700566744
23.1356783919598,1.435674234450175e-11,4.150673537319226e-11,5.586347771769401e-11,101.23818372444231,199.7010628331811
23.384422110552762,1.4065332120109882e-11,4.1083328180822765e-11,5.514866030093265e-11,100.74270071605252,199.4830854515132
23.633165829145728,1.3782705158500451e-11,4.066847205170184e-11,5.4451177210202295e-11,100.25440334354921,199.2690546623694
23.881909547738694,1.3508511997151858e-11,4.0261910531645455e-11,5.377042252879731e-11,99.77312008202061,199.05886422072234
24.13065326633166,1.3242420382451126e-11,3.9863397320024484e-11,5.310581770247561e-11,99.29868506664634,198.85241165934588
24.37939698492462,1.2984114262698478e-11,3.947269577218938e-11,5.2456810034887854e-11,98.83093785562583,198.64959812259275
24.628140703517587,1.2733292849193507e-11,3.908957843087107e-11,5.182287128006458e-11,98.36972320508467,198.450328208854
24.876884422110553,1.2489669740192957e-11,3.871382658460869e-11,5.120349632480165e-11,97.9148908552534,198.25450982117718
25.125628140703515,1.2252972102974187e-11,3.834522985140267e-11,5.059820195437686e-11,97.46629532726043,198.06205402555645
25.37437185929648,1.2022939909641187e-11,3.798358578592788e-11,5.000652569556906e-11,97.02379572992415,197.87287491643943
