r_kpc,a_b_m_s2,a_bdvr_m_s2,a_total_m_s2,v_newton_km_s,v_bdvr_km_s
0.2,9.355710215203728e-11,9.53875947245529e-11,1.8894469687659017e-10,24.028610142904196,34.14739859180422
0.3197324414715719,1.2653699209348798e-10,1.109333863440721e-10,2.374703784375601e-10,35.33274490547277,48.40311890502546
0.4394648829431438,1.5263368057673002e-10,1.218368621779187e-10,2.744705427546487e-10,45.494882684986145,61.00778137585775
0.5591973244147157,1.7389658562533309e-10,1.300466126640122e-10,3.039431982893453e-10,54.77764314946526,72.41925112572741
0.6789297658862876,1.9148193279179713e-10,1.3646378674284295e-10,3.279457195346401e-10,63.33614098669482,82.88743126133406
0.7986622073578595,2.0613792945615367e-10,1.4158996416723132e-10,3.4772789362338496e-10,71.27476505667897,92.57135156356412
0.9183946488294314,2.1839042914288164e-10,1.4573716531643752e-10,3.641275944593192e-10,78.66956445405695,101.58199572686556
1.0381270903010034,2.2863003550761403e-10,1.4911459696002355e-10,3.777446324676376e-10,85.5789939387397,110.0017731503698
1.1578595317725753,2.3715859811647527e-10,1.5187033619896036e-10,3.890289343154356e-10,92.04975723484262,117.89466750723425
1.277591973244147,2.4421638148937474e-10,1.541135814534394e-10,3.9832996294281413e-10,98.12027482464985,125.3120537827461
1.3973244147157189,2.499990476759778e-10,1.5592749224553194e-10,4.059265399215097e-10,103.82288037861649,132.2962760877477
1.5170568561872908,2.546688422421898e-10,1.5737705862115435e-10,4.1204590086334415e-10,109.18528407326156,138.8829716385566
1.6367892976588627,2.5836227793068367e-10,1.5851416218141703e-10,4.1687644011210073e-10,114.2315877971085,145.10264757057976
1.7565217391304346,2.6119559744014895e-10,1.5938096181626323e-10,4.205765592564122e-10,118.98301328519013,150.98178967649616
1.8762541806020065,2.6326877064295675e-10,1.600122344466216e-10,4.232810050895783e-10,123.4584390946357,156.5436655968029
1.9959866220735785,2.646684917395322e-10,1.6043703908606483e-10,4.25105530825597e-10,127.67480608729697,161.80892156199423
2.1157190635451504,2.654704742172227e-10,1.6067992854071984e-10,4.2615040275794253e-10,131.64742992375704,166.79603549291312
2.2354515050167225,2.657412404426769e-10,1.6076185028717963e-10,4.2650309072985655e-10,135.39024620834388,171.52166760024858
2.355183946488294,2.6553953962271244e-10,1.6070082861023322e-10,4.2624036823294567e-10,138.91600582790952,176.0009362121807
2.4749163879598663,2.6491748724054604e-10,1.6051248952873706e-10,4.254299767692831e-10,142.23643277538736,180.2476379910473
2.594648829431438,2.6392149219850826e-10,1.6021047060251883e-10,4.241319628010271e-10,145.3623532517355,184.27442607325736
2.71438127090301,2.6259301969127477e-10,1.5980674502626727e-10,4.22399764717542e-10,148.3038024558281,188.09295588062625
2.834113712374582,2.6096922523444945e-10,1.593118809417838e-10,4.2028110617623323e-10,151.0701138126369,191.71400574794325
2.953846153846154,2.5908348638705886e-10,1.587352511211207e-10,4.1781873750817955e-10,153.66999421357488,195.1475776863618
3.0735785953177257,2.569658523302176e-10,1.5808520415848146e-10,4.1505105648869905e-10,156.11158799456175,198.4029822999423
3.193311036789298,2.546434268169861e-10,1.5736920547228657e-10,4.1201263228927264e-10,158.4025317562993,201.48891092868664
3.3130434782608695,2.5214069657277833e-10,1.5659395438370075e-10,4.087346509564791e-10,160.55000167017374,204.41349739715577
3.4327759197324417,2.494798146524379e-10,1.557654820571199e-10,4.052452967095578e-10,162.56075456655333,207.18437123040414
3.5525083612040134,2.466808463094873e-10,1.5488923399662746e-10,4.0157008030611476e-10,164.44116383855143,209.8087038087146
3.6722408026755855,2.4376198343800057e-10,1.5397013997827624e-10,3.977321234162768e-10,166.1972509915698,212.29324863493954
3.791973244147157,2.407397324898338e-10,1.530126736840418e-10,3.9375240617387555e-10,167.8347135114763,214.64437665883435
3.9117056856187293,2.376290798648698e-10,1.5202090383546634e-10,3.8964998370033613e-10,169.35894960084704,216.86810742424305
4.031438127090301,2.34443638058089e-10,1.5099853826517486e-10,3.854421763232638e-10,170.77508023513508,218.970136664844
4.151170568561873,2.3119577527954286e-10,1.4994896208519492e-10,3.8114473736473777e-10,172.08796891286542,220.95586086320367
4.270903010033445,2.2789673080827183e-10,1.4887527089250144e-10,3.7677200170077324e-10,173.30223941151513,222.8303991993589
4.390635451505017,2.2455671797386787e-10,1.4778029977990383e-10,3.723370177537717e-10,174.422291810259,224.59861324401135
4.510367892976588,2.2118501636073642e-10,1.4666664878351052e-10,3.6785166514424696e-10,175.4523169996566,226.26512469384005
4.63010033444816,2.177900545858142e-10,1.4553670528853494e-10,3.6332675987434916e-10,176.3963098647054,227.83433139956122
4.7498327759197325,2.1437948479938647e-10,1.4439266382707796e-10,3.5877214862646443e-10,177.25808129994925,229.310421898945
4.869565217391305,2.10960249892156e-10,1.432365436301414e-10,3.5419679352229743e-10,178.04126919236006,230.69738863534266
4.989297658862876,2.075386442531415e-10,1.4207020423798611e-10,3.496088484911276e-10,178.74934848858072,231.99904001605313
5.109030100334448,2.0412036880700536e-10,1.4089535942531258e-10,3.4501572823231794e-10,179.38564044709824,233.21901144300574
5.22876254180602,2.007105809619429e-10,1.397135896585384e-10,3.404241706204813e-10,179.9533211624605,234.36077542996625
5.348494983277592,1.9731394001687137e-10,1.385263532699892e-10,3.358402932868606e-10,180.45542943726446,235.4276509050927
5.468227424749164,1.9393464850680145e-10,1.3733499650685383e-10,3.312696450136553e-10,180.8948740680044,236.42281178469608
5.587959866220736,1.905764899057124e-10,1.3614076259022666e-10,3.2671725249593906e-10,181.27444060264364,237.3492948930495
5.707692307692308,1.8724286305531897e-10,1.3494479990067428e-10,3.221876629559932e-10,181.5967976207496,238.2100072937214
5.82742474916388,1.8393681364435602e-10,1.337481693908534e-10,3.1768498303520943e-10,181.86450258099475,239.007733089892
5.947157190635451,1.8066106302531077e-10,1.325518513122705e-10,3.1321291433758126e-10,182.08000727563623,239.74513974424866
6.066889632107023,1.7741803462290467e-10,1.3135675133186154e-10,3.087747859547662e-10,182.2456629270949,240.42478396313675
6.1866220735785955,1.742098781603036e-10,1.3016370610435475e-10,3.0437358426465836e-10,182.3637249578519,241.04911718452644
6.306354515050167,1.710384919044186e-10,1.2897348835809268e-10,3.0001198026251126e-10,182.43635746151247,241.62049070494612
6.426086956521739,1.6790554311008899e-10,1.2778681154486033e-10,2.9569235465494935e-10,182.46563739991012,242.14116047666326
6.545819397993311,1.6481248682411759e-10,1.2660433409816384e-10,2.914168209222814e-10,182.4535585485563,242.6132916030556
6.665551839464883,1.6176058319353798e-10,1.2542666333911807e-10,2.87187246532656e-10,182.402035210459,243.0389625571708
6.785284280936454,1.587509134079171e-10,1.2425435906454382e-10,2.830052724724609e-10,182.31290571634597,243.42016914590766
6.9050167224080266,1.5578439439261148e-10,1.2308793684791545e-10,2.7887233124052693e-10,182.1879357275655,243.7588282399888
7.024749163879599,1.5286179235847842e-10,1.2192787108035424e-10,2.7478966343883266e-10,182.02882135637597,244.05678128790063
7.144481605351171,1.4998373530343391e-10,1.2077459777586282e-10,2.7075833307929673e-10,181.83719211696186,244.31579763021807
7.264214046822742,1.4715072455223977e-10,1.1962851716237e-10,2.6677924171460976e-10,181.61461371928354,244.5375776291726
