galaxy_name,ra_deg,dec_deg,distance_mpc,stellar_mass_msun,effective_radius_kpc,lambda_R,V_over_sigma,ellipticity,fast_rotator_flag,fast_slow_class,T_type,KMAG_abs,source_reference,stellar_surface_density_msun_kpc2,S_K_proxy,mixed_support_proxy,flattening_support_proxy,bridge_response_proxy,bridge_response_class,response_label,claim_boundary,fixed_SK_coefficient
IC0560,146.472656,-0.268221,27.2,11352460173.512764,1.6988043442199718,0.691,0.77,0.587,1,F,-0.7,-22.1,ATLAS3D Cappellari et al. fast/slow rotator and parent early-type tables,626070719.4100792,1.1386175828609006,0.6760084745762711,0.6178947368421053,0.7846153846153847,fast/mixed-support bridge proxy,mixed rotation/dispersion bridge proxy,"ATLAS3D mixed-support proxy only; not a disk BDVR activation, not A_gov_inferred, and not a per-galaxy tuned coefficient fit.",0.5
IC0598,153.202423,43.145546,35.3,17992436846.686337,1.7920460449517248,0.736,0.896,0.579,1,F,-0.1,-22.6,ATLAS3D Cappellari et al. fast/slow rotator and parent early-type tables,891685675.7975507,1.1838107956932982,0.7097721518987341,0.6094736842105263,0.8492307692307692,fast/mixed-support bridge proxy,mixed rotation/dispersion bridge proxy,"ATLAS3D mixed-support proxy only; not a disk BDVR activation, not A_gov_inferred, and not a per-galaxy tuned coefficient fit.",0.5
IC0676,168.165909,9.055736,24.6,13276695259.500505,2.66998957694137,0.495,0.508,0.524,1,F,-1.3,-22.27,ATLAS3D Cappellari et al. fast/slow rotator and parent early-type tables,296408727.33448917,1.0625591748227483,0.5485610079575597,0.5515789473684211,0.5257692307692308,intermediate bridge proxy,mixed rotation/dispersion bridge proxy,"ATLAS3D mixed-support proxy only; not a disk BDVR activation, not A_gov_inferred, and not a per-galaxy tuned coefficient fit.",0.5
IC0719,175.077042,9.009861,29.4,19728314697.87477,1.7944104480521912,0.263,0.279,0.714,1,F,-2.0,-22.7,ATLAS3D Cappellari et al. fast/slow rotator and parent early-type tables,975139031.3770908,1.0192744968849166,0.3969417513682565,0.751578947368421,0.47307692307692306,intermediate bridge proxy,mixed rotation/dispersion bridge proxy,"ATLAS3D mixed-support proxy only; not a disk BDVR activation, not A_gov_inferred, and not a per-galaxy tuned coefficient fit.",0.5
IC0782,185.404053,5.765672,36.3,10546053908.45128,3.9398626684134843,0.571,0.677,0.404,1,F,2.7,-22.02,ATLAS3D Cappellari et al. fast/slow rotator and parent early-type tables,108130435.17167953,1.1086769141639055,0.6066091234347049,0.4252631578947369,0.5834615384615385,intermediate bridge proxy,mixed rotation/dispersion bridge proxy,"ATLAS3D mixed-support proxy only; not a disk BDVR activation, not A_gov_inferred, and not a per-galaxy tuned coefficient fit.",0.5
IC1024,217.863419,3.009107,24.2,9017579649.404112,1.3164059144356783,0.724,0.916,0.679,1,F,-2.0,-21.85,ATLAS3D Cappellari et al. fast/slow rotator and parent early-type tables,828190927.9883901,1.1914394655205947,0.7054237995824635,0.7147368421052632,0.86,fast/mixed-support bridge proxy,mixed rotation/dispersion bridge proxy,"ATLAS3D mixed-support proxy only; not a disk BDVR activation, not A_gov_inferred, and not a per-galaxy tuned coefficient fit.",0.5
IC3631,189.950195,12.973927,42.0,10449367105.054768,2.7467791951542644,0.25,0.218,0.56,1,F,-1.3,-22.01,ATLAS3D Cappellari et al. fast/slow rotator and parent early-type tables,220425898.67887858,1.0118112472195593,0.3786945812807882,0.5894736842105264,0.3119230769230769,slow/pressure-dominated bridge proxy,mixed rotation/dispersion bridge proxy,"ATLAS3D mixed-support proxy only; not a disk BDVR activation, not A_gov_inferred, and not a per-galaxy tuned coefficient fit.",0.5
NGC0448,18.818876,-1.626105,29.5,26490489718.607372,1.6047096890848145,0.327,0.38,0.643,1,F,-2.5,-23.02,ATLAS3D Cappellari et al. fast/slow rotator and parent early-type tables,1637258180.0789487,1.0354709073653399,0.4461086956521739,0.6768421052631579,0.59,intermediate bridge proxy,mixed rotation/dispersion bridge proxy,"ATLAS3D mixed-support proxy only; not a disk BDVR activation, not A_gov_inferred, and not a per-galaxy tuned coefficient fit.",0.5
NGC0474,20.027901,3.41527,30.9,60129831521.456604,4.960585486540162,0.213,0.229,0.192,1,F,-2.0,-23.91,ATLAS3D Cappellari et al. fast/slow rotator and parent early-type tables,388905640.5416762,1.0130254192269808,0.3623991049633849,0.20210526315789476,0.2161538461538462,slow/pressure-dominated bridge proxy,mixed rotation/dispersion bridge proxy,"ATLAS3D mixed-support proxy only; not a disk BDVR activation, not A_gov_inferred, and not a per-galaxy tuned coefficient fit.",0.5
NGC0502,20.731415,9.049169,35.9,27232655176.080185,2.044885085803656,0.234,0.213,0.146,1,F,-2.0,-23.05,ATLAS3D Cappellari et al. fast/slow rotator and parent early-type tables,1036507153.470834,1.011278646071398,0.369679307502061,0.15368421052631578,0.2865384615384615,slow/pressure-dominated bridge proxy,mixed rotation/dispersion bridge proxy,"ATLAS3D mixed-support proxy only; not a disk BDVR activation, not A_gov_inferred, and not a per-galaxy tuned coefficient fit.",0.5
NGC0509,20.850327,9.433469,32.3,9355995128.158998,3.6709374219976,0.465,0.451,0.679,1,F,-1.3,-21.89,ATLAS3D Cappellari et al. fast/slow rotator and parent early-type tables,110498442.40778981,1.0496192166685974,0.5257460372157133,0.7147368421052632,0.5215384615384615,intermediate bridge proxy,mixed rotation/dispersion bridge proxy,"ATLAS3D mixed-support proxy only; not a disk BDVR activation, not A_gov_inferred, and not a per-galaxy tuned coefficient fit.",0.5
NGC0516,21.033607,9.551668,34.7,12562902434.668465,2.431666062826155,0.655,0.786,0.699,1,F,-1.5,-22.21,ATLAS3D Cappellari et al. fast/slow rotator and parent early-type tables,338144440.3500239,1.144070802004841,0.659526875699888,0.7357894736842105,0.7588461538461538,fast/mixed-support bridge proxy,mixed rotation/dispersion bridge proxy,"ATLAS3D mixed-support proxy only; not a disk BDVR activation, not A_gov_inferred, and not a per-galaxy tuned coefficient fit.",0.5
NGC0524,21.198778,9.538793,23.3,125629024346.68465,4.930947514699956,0.325,0.344,0.034,1,F,-1.2,-24.71,ATLAS3D Cappellari et al. fast/slow rotator and parent early-type tables,822336105.5342922,1.0291588798625797,0.4392857142857143,0.03578947368421053,0.31346153846153846,slow/pressure-dominated bridge proxy,mixed rotation/dispersion bridge proxy,"ATLAS3D mixed-support proxy only; not a disk BDVR activation, not A_gov_inferred, and not a per-galaxy tuned coefficient fit.",0.5
NGC0525,21.220442,9.70324,30.7,9101018286.587467,1.708884986786624,0.418,0.404,0.28,1,F,-2.0,-21.86,ATLAS3D Cappellari et al. fast/slow rotator and parent early-type tables,496003167.5096254,1.0400038461467342,0.4953247863247863,0.2947368421052632,0.4088461538461539,intermediate bridge proxy,mixed rotation/dispersion bridge proxy,"ATLAS3D mixed-support proxy only; not a disk BDVR activation, not A_gov_inferred, and not a per-galaxy tuned coefficient fit.",0.5
NGC0661,26.060976,28.705988,30.6,30980611593.729446,1.9556714032834492,0.139,0.134,0.306,0,S,-4.4,-23.19,ATLAS3D Cappellari et al. fast/slow rotator and parent early-type tables,1289194214.669385,1.004478969416483,0.10494973544973546,0.32210526315789473,0.3026923076923077,slow/pressure-dominated bridge proxy,mixed rotation/dispersion bridge proxy,"ATLAS3D mixed-support proxy only; not a disk BDVR activation, not A_gov_inferred, and not a per-galaxy tuned coefficient fit.",0.5
NGC0680,27.447035,21.970827,37.5,76399406881.71526,2.6278811918150082,0.406,0.413,0.189,1,F,-4.0,-24.17,ATLAS3D Cappellari et al. fast/slow rotator and parent early-type tables,1760753926.0338676,1.0417698882190827,0.49068577494692145,0.19894736842105265,0.49653846153846154,intermediate bridge proxy,mixed rotation/dispersion bridge proxy,"ATLAS3D mixed-support proxy only; not a disk BDVR activation, not A_gov_inferred, and not a per-galaxy tuned coefficient fit.",0.5
NGC0770,29.80685,18.954695,36.7,17502092991.59649,1.5496746297911985,0.195,0.184,0.276,1,F,-4.2,-22.57,ATLAS3D Cappellari et al. fast/slow rotator and parent early-type tables,1159922765.7186904,1.0084284803594155,0.34412162162162163,0.29052631578947374,0.33115384615384613,intermediate bridge proxy,mixed rotation/dispersion bridge proxy,"ATLAS3D mixed-support proxy only; not a disk BDVR activation, not A_gov_inferred, and not a per-galaxy tuned coefficient fit.",0.5
NGC0821,32.088123,10.99487,23.4,64727671934.27077,4.516378343854671,0.273,0.288,0.392,1,F,-4.8,-23.99,ATLAS3D Cappellari et al. fast/slow rotator and parent early-type tables,505044314.0749695,1.020525354903052,0.4035807453416149,0.41263157894736846,0.336923076923077,intermediate bridge proxy,mixed rotation/dispersion bridge proxy,"ATLAS3D mixed-support proxy only; not a disk BDVR activation, not A_gov_inferred, and not a per-galaxy tuned coefficient fit.",0.5
NGC0936,36.90609,-1.15628,22.4,142919005988.1649,5.69931258797901,0.657,0.677,0.223,1,F,-1.2,-24.85,ATLAS3D Cappellari et al. fast/slow rotator and parent early-type tables,700269424.2278941,1.1086769141639055,0.6496091234347048,0.23473684210526316,0.6465384615384615,intermediate bridge proxy,mixed rotation/dispersion bridge proxy,"ATLAS3D mixed-support proxy only; not a disk BDVR activation, not A_gov_inferred, and not a per-galaxy tuned coefficient fit.",0.5
NGC1023,40.100052,39.063251,11.1,65931049201.040504,2.575712808659387,0.391,0.372,0.363,1,F,-2.7,-24.01,ATLAS3D Cappellari et al. fast/slow rotator and parent early-type tables,1581667691.031399,1.0340174079772544,0.4768411078717201,0.3821052631578947,0.5207692307692308,intermediate bridge proxy,mixed rotation/dispersion bridge proxy,"ATLAS3D mixed-support proxy only; not a disk BDVR activation, not A_gov_inferred, and not a per-galaxy tuned coefficient fit.",0.5
NGC1121,42.663387,-1.73404,35.3,19728314697.87477,1.2686714429458408,0.711,0.828,0.559,1,F,-1.8,-22.7,ATLAS3D Cappellari et al. fast/slow rotator and parent early-type tables,1950795702.1354003,1.1587890230753828,0.6913862144420131,0.5884210526315791,0.9134615384615385,fast/mixed-support bridge proxy,mixed rotation/dispersion bridge proxy,"ATLAS3D mixed-support proxy only; not a disk BDVR activation, not A_gov_inferred, and not a per-galaxy tuned coefficient fit.",0.5
NGC1222,47.236446,-2.955212,33.3,19910858546.259167,2.0324444870795224,0.147,0.153,0.28,0,S,-3.0,-22.71,ATLAS3D Cappellari et al. fast/slow rotator and parent early-type tables,767136653.8643893,1.005835225074167,0.11330919340849956,0.2947368421052632,0.23884615384615385,slow/pressure-dominated bridge proxy,mixed rotation/dispersion bridge proxy,"ATLAS3D mixed-support proxy only; not a disk BDVR activation, not A_gov_inferred, and not a per-galaxy tuned coefficient fit.",0.5
NGC1248,48.202328,-5.224674,30.4,23718651116.194813,2.335866630345325,0.535,0.521,0.227,1,F,-2.0,-22.9,ATLAS3D Cappellari et al. fast/slow rotator and parent early-type tables,691853326.9115224,1.0657018813908514,0.5702613412228796,0.23894736842105266,0.5188461538461537,intermediate bridge proxy,mixed rotation/dispersion bridge proxy,"ATLAS3D mixed-support proxy only; not a disk BDVR activation, not A_gov_inferred, and not a per-galaxy tuned coefficient fit.",0.5
NGC1266,49.00312,-2.42737,29.9,24383159917.023968,2.9596860614073615,0.638,0.775,0.193,1,F,-2.1,-22.93,ATLAS3D Cappellari et al. fast/slow rotator and parent early-type tables,443015400.92568177,1.1403124571800485,0.6499859154929577,0.20315789473684212,0.6188461538461538,intermediate bridge proxy,mixed rotation/dispersion bridge proxy,"ATLAS3D mixed-support proxy only; not a disk BDVR activation, not A_gov_inferred, and not a per-galaxy tuned coefficient fit.",0.5
NGC1289,49.707592,-1.973354,38.4,39727385716.02703,3.387705765429101,0.178,0.172,0.393,0,S,-2.1,-23.46,ATLAS3D Cappellari et al. fast/slow rotator and parent early-type tables,550932956.1826288,1.007368850024657,0.1330273037542662,0.4136842105263158,0.2553846153846154,slow/pressure-dominated bridge proxy,mixed rotation/dispersion bridge proxy,"ATLAS3D mixed-support proxy only; not a disk BDVR activation, not A_gov_inferred, and not a per-galaxy tuned coefficient fit.",0.5
NGC1665,72.071098,-5.427655,37.5,46461153401.705086,5.74917762375169,0.658,0.669,0.491,1,F,-1.8,-23.63,ATLAS3D Cappellari et al. fast/slow rotator and parent early-type tables,223716834.4062901,1.1062461299367334,0.6492516476932295,0.5168421052631579,0.6638461538461539,intermediate bridge proxy,mixed rotation/dispersion bridge proxy,"ATLAS3D mixed-support proxy only; not a disk BDVR activation, not A_gov_inferred, and not a per-galaxy tuned coefficient fit.",0.5
NGC2481,119.307182,23.767693,32.0,36905405964.830475,1.6245176611460397,0.678,0.686,0.684,1,F,0.4,-23.38,ATLAS3D Cappellari et al. fast/slow rotator and parent early-type tables,2225672420.444529,1.1114396069962595,0.6610640569395019,0.7200000000000001,0.9146153846153846,fast/mixed-support bridge proxy,mixed rotation/dispersion bridge proxy,"ATLAS3D mixed-support proxy only; not a disk BDVR activation, not A_gov_inferred, and not a per-galaxy tuned coefficient fit.",0.5
NGC2549,124.743111,57.803108,12.3,15384733831.281294,1.1362648452693354,0.572,0.623,0.587,1,F,-2.0,-22.43,ATLAS3D Cappellari et al. fast/slow rotator and parent early-type tables,1896491838.237354,1.0927325839380833,0.6011571164510165,0.6178947368421053,0.7838461538461539,fast/mixed-support bridge proxy,mixed rotation/dispersion bridge proxy,"ATLAS3D mixed-support proxy only; not a disk BDVR activation, not A_gov_inferred, and not a per-galaxy tuned coefficient fit.",0.5
NGC2577,125.681137,22.55304,30.8,37939358820.81974,2.1092360009880897,0.696,0.874,0.471,1,F,-3.0,-23.41,ATLAS3D Cappellari et al. fast/slow rotator and parent early-type tables,1357249742.3555903,1.1755585906283021,0.68791462113127,0.4957894736842105,0.8592307692307692,fast/mixed-support bridge proxy,mixed rotation/dispersion bridge proxy,"ATLAS3D mixed-support proxy only; not a disk BDVR activation, not A_gov_inferred, and not a per-galaxy tuned coefficient fit.",0.5
NGC2592,126.783669,25.970339,25.0,23285736944.532867,1.4911264281535668,0.549,0.529,0.208,1,F,-4.8,-22.88,ATLAS3D Cappellari et al. fast/slow rotator and parent early-type tables,1666791141.1085212,1.067670595268035,0.5782933289731851,0.21894736842105264,0.6238461538461539,intermediate bridge proxy,mixed rotation/dispersion bridge proxy,"ATLAS3D mixed-support proxy only; not a disk BDVR activation, not A_gov_inferred, and not a per-galaxy tuned coefficient fit.",0.5
NGC2594,126.821609,25.878935,35.1,14424141926.87656,1.1242983552743615,0.404,0.455,0.403,1,F,0.0,-22.36,ATLAS3D Cappellari et al. fast/slow rotator and parent early-type tables,1816130148.539627,1.0504820322118793,0.49581443298969075,0.42421052631578954,0.5823076923076924,intermediate bridge proxy,mixed rotation/dispersion bridge proxy,"ATLAS3D mixed-support proxy only; not a disk BDVR activation, not A_gov_inferred, and not a per-galaxy tuned coefficient fit.",0.5
NGC2679,132.887192,30.865419,31.1,21831822262.464325,3.375474627759212,0.193,0.185,0.368,1,F,-2.0,-22.81,ATLAS3D Cappellari et al. fast/slow rotator and parent early-type tables,304958275.3230926,1.0085199551818498,0.3433354430379747,0.3873684210526316,0.2407692307692308,slow/pressure-dominated bridge proxy,mixed rotation/dispersion bridge proxy,"ATLAS3D mixed-support proxy only; not a disk BDVR activation, not A_gov_inferred, and not a per-galaxy tuned coefficient fit.",0.5
NGC2685,133.894791,58.734409,16.7,21236844495.80438,2.08109032420624,0.691,0.84,0.612,1,F,-1.0,-22.78,ATLAS3D Cappellari et al. fast/slow rotator and parent early-type tables,780419762.7334776,1.163099307883897,0.6824565217391305,0.6442105263157895,0.8296153846153846,fast/mixed-support bridge proxy,mixed rotation/dispersion bridge proxy,"ATLAS3D mixed-support proxy only; not a disk BDVR activation, not A_gov_inferred, and not a per-galaxy tuned coefficient fit.",0.5
