galaxy_name,ra_deg,dec_deg,distance_mpc,stellar_mass_msun,effective_radius_kpc,lambda_R,V_over_sigma,ellipticity,fast_rotator_flag,fast_slow_class,T_type,KMAG_abs,source_reference
IC0560,146.472656,-0.268221,27.2,11352460173.512764,1.6988043442199718,0.691,0.77,0.587,1,F,-0.7,-22.1,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
IC0598,153.202423,43.145546,35.3,17992436846.686337,1.7920460449517248,0.736,0.896,0.579,1,F,-0.1,-22.6,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
IC0676,168.165909,9.055736,24.6,13276695259.500505,2.66998957694137,0.495,0.508,0.524,1,F,-1.3,-22.27,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
IC0719,175.077042,9.009861,29.4,19728314697.87477,1.7944104480521912,0.263,0.279,0.714,1,F,-2.0,-22.7,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
IC0782,185.404053,5.765672,36.3,10546053908.45128,3.9398626684134843,0.571,0.677,0.404,1,F,2.7,-22.02,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
IC1024,217.863419,3.009107,24.2,9017579649.404112,1.3164059144356783,0.724,0.916,0.679,1,F,-2.0,-21.85,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
IC3631,189.950195,12.973927,42.0,10449367105.054768,2.7467791951542644,0.25,0.218,0.56,1,F,-1.3,-22.01,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC0448,18.818876,-1.626105,29.5,26490489718.607372,1.6047096890848145,0.327,0.38,0.643,1,F,-2.5,-23.02,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC0474,20.027901,3.41527,30.9,60129831521.456604,4.960585486540162,0.213,0.229,0.192,1,F,-2.0,-23.91,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC0502,20.731415,9.049169,35.9,27232655176.080185,2.044885085803656,0.234,0.213,0.146,1,F,-2.0,-23.05,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC0509,20.850327,9.433469,32.3,9355995128.158998,3.6709374219976,0.465,0.451,0.679,1,F,-1.3,-21.89,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
