galaxy_name,ra_deg,dec_deg,distance_mpc,stellar_mass_msun,effective_radius_kpc,lambda_R,V_over_sigma,ellipticity,fast_rotator_flag,fast_slow_class,T_type,KMAG_abs,source_reference,stellar_surface_density_msun_kpc2,compactness_proxy,virial_sigma_star_proxy_km_s,pressure_support_proxy,angular_momentum_suppression_proxy,roundness_proxy,slow_rotator_proxy,v_rms_proxy_km_s,pressure_channel_response_proxy,pressure_channel_class,response_label,claim_boundary
IC0560,146.472656,-0.268221,27.2,11352460173.512764,1.6988043442199718,0.691,0.77,0.587,1,F,-0.7,-22.1,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy,626070719.4100792,626070719.4100792,75.81733018675958,0.5649717514124294,0.30900000000000005,0.3821052631578947,0.0,95.68916025854129,0.18557692307692308,rotation-contaminated pressure proxy,pressure-supported spheroid proxy,"ATLAS3D pressure-channel proxy with separate observable mapping; not v_flat, not A_gov_inferred, not direct lensing/X-ray/dynamical-excess validation."
IC0598,153.202423,43.145546,35.3,17992436846.686337,1.7920460449517248,0.736,0.896,0.579,1,F,-0.1,-22.6,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy,891685675.7975507,891685675.7975507,92.93206479230618,0.5274261603375527,0.264,0.3905263157894737,0.0,124.77893898401102,0.23942307692307693,rotation-contaminated pressure proxy,pressure-supported spheroid proxy,"ATLAS3D pressure-channel proxy with separate observable mapping; not v_flat, not A_gov_inferred, not direct lensing/X-ray/dynamical-excess validation."
IC0676,168.165909,9.055736,24.6,13276695259.500505,2.66998957694137,0.495,0.508,0.524,1,F,-1.3,-22.27,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy,296408727.33448917,296408727.33448917,65.40115011291319,0.6631299734748011,0.505,0.44842105263157894,0.0,73.35618771767928,0.2705128205128205,rotation-contaminated pressure proxy,pressure-supported spheroid proxy,"ATLAS3D pressure-channel proxy with separate observable mapping; not v_flat, not A_gov_inferred, not direct lensing/X-ray/dynamical-excess validation."
IC0719,175.077042,9.009861,29.4,19728314697.87477,1.7944104480521912,0.263,0.279,0.714,1,F,-2.0,-22.7,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy,975139031.3770908,975139031.3770908,97.24768553131254,0.7818608287724785,0.737,0.248421052631579,0.0,100.9616928490612,0.4644230769230769,mixed pressure proxy,pressure-supported spheroid proxy,"ATLAS3D pressure-channel proxy with separate observable mapping; not v_flat, not A_gov_inferred, not direct lensing/X-ray/dynamical-excess validation."
IC0782,185.404053,5.765672,36.3,10546053908.45128,3.9398626684134843,0.571,0.677,0.404,1,F,2.7,-22.02,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy,108130435.17167953,108130435.17167953,47.98435116308571,0.5963029218843172,0.42900000000000005,0.5747368421052631,0.0,57.94652312664162,0.216025641025641,rotation-contaminated pressure proxy,pressure-supported spheroid proxy,"ATLAS3D pressure-channel proxy with separate observable mapping; not v_flat, not A_gov_inferred, not direct lensing/X-ray/dynamical-excess validation."
IC1024,217.863419,3.009107,24.2,9017579649.404112,1.3164059144356783,0.724,0.916,0.679,1,F,-2.0,-21.85,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy,828190927.9883901,828190927.9883901,76.76181877443247,0.5219206680584552,0.276,0.2852631578947368,0.0,104.09808330583549,0.1810897435897436,rotation-contaminated pressure proxy,pressure-supported spheroid proxy,"ATLAS3D pressure-channel proxy with separate observable mapping; not v_flat, not A_gov_inferred, not direct lensing/X-ray/dynamical-excess validation."
IC3631,189.950195,12.973927,42.0,10449367105.054768,2.7467791951542644,0.25,0.218,0.56,1,F,-1.3,-22.01,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy,220425898.67887858,220425898.67887858,57.2042497442468,0.8210180623973727,0.75,0.41052631578947363,0.0,58.54776015014403,0.36923076923076925,mixed pressure proxy,pressure-supported spheroid proxy,"ATLAS3D pressure-channel proxy with separate observable mapping; not v_flat, not A_gov_inferred, not direct lensing/X-ray/dynamical-excess validation."
NGC0448,18.818876,-1.626105,29.5,26490489718.607372,1.6047096890848145,0.327,0.38,0.643,1,F,-2.5,-23.02,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy,1637258180.0789487,1637258180.0789487,119.16313799864741,0.7246376811594204,0.673,0.3231578947368421,0.0,127.47671276344695,0.5189102564102565,mixed pressure proxy,pressure-supported spheroid proxy,"ATLAS3D pressure-channel proxy with separate observable mapping; not v_flat, not A_gov_inferred, not direct lensing/X-ray/dynamical-excess validation."
NGC0474,20.027901,3.41527,30.9,60129831521.456604,4.960585486540162,0.213,0.229,0.192,1,F,-2.0,-23.91,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy,388905640.5416762,388905640.5416762,102.11127512499716,0.8136696501220504,0.787,0.7978947368421052,0.0,104.75447359548274,0.5419871794871794,mixed pressure proxy,pressure-supported spheroid proxy,"ATLAS3D pressure-channel proxy with separate observable mapping; not v_flat, not A_gov_inferred, not direct lensing/X-ray/dynamical-excess validation."
NGC0502,20.731415,9.049169,35.9,27232655176.080185,2.044885085803656,0.234,0.213,0.146,1,F,-2.0,-23.05,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy,1036507153.470834,1036507153.470834,107.03004670628405,0.8244023083264632,0.766,0.8463157894736842,0.0,109.43103920898498,0.6448717948717948,mixed pressure proxy,pressure-supported spheroid proxy,"ATLAS3D pressure-channel proxy with separate observable mapping; not v_flat, not A_gov_inferred, not direct lensing/X-ray/dynamical-excess validation."
