galaxy_id,gass_id,sdss_id,stellar_mass_msun,hi_mass_msun,h2_mass_msun,sfr_msun_yr,radius_kpc,velocity_proxy_km_s,inclination_deg,source_xgass,source_xcold,hi_flag,co_flag,molecular_measurement_note
GASS11834,11834,J000047.89+141639.1,35695681352.64261,4008664288.989304,954050822.2052094,0.8298594355583191,1.809332942077424,179.5,90.0,True,False,1,,xGASS_angular_momentum_linear_mass
GASS11825,11825,J000210.19+140810.3,49645109565.384995,1753882258.0695128,75678360.1179887,0.0620131008327007,1.6082833963687306,221.7379630481232,62.11967011990795,True,False,1,,xGASS_angular_momentum_linear_mass
GASS124028,124028,J000602.39+142502.8,1519800653.9375868,2570394879.6691976,170667988.9925406,0.1345794796943664,3.835594429925007,90.32303307973234,73.27037268637137,True,True,0,2.0,xGASS_angular_momentum_linear_mass
GASS124012,124012,J000629.29+141056.5,6480977337.099413,868960688.7966908,584826308.5711942,0.1616237461566925,3.4695159484947604,127.5,90.0,True,True,1,1.0,xGASS_angular_momentum_linear_mass
GASS11910,11910,J000632.57+154004.7,18166649705.20719,2618184342.0593853,224649714.41718453,0.186957761645317,2.0766181609992787,176.38297539718633,58.25762115842563,True,False,1,,xGASS_angular_momentum_linear_mass
GASS11956,11956,J000820.76+150921.6,7975923054.321699,1455459438.541432,552442438.6906154,0.4737958908081054,2.999088771634334,144.4385821688425,79.45667384496345,True,True,1,2.0,xGASS_angular_momentum_linear_mass
GASS12044,12044,J002032.65+152050.4,10648057997.970142,7943275370.132687,4514805209.789866,4.169886112213135,5.236656523078927,108.4701920164012,36.15870048876954,True,False,0,,xGASS_angular_momentum_linear_mass
GASS124007,124007,J002314.86+144834.3,1881504271.7211173,3019948537.2543654,221985774.58333236,0.1819673031568527,0.8595598199477257,81.47673732291402,55.94059276337425,True,False,0,,xGASS_angular_momentum_linear_mass
GASS124000,124000,J002343.86+141824.2,1975974064.1366284,2511884225.153631,271321741.9547646,0.2190095484256744,3.5253697707393328,101.37564049755252,76.32050365259964,True,True,0,2.0,xGASS_angular_momentum_linear_mass
GASS124025,124025,J002536.49+140655.0,984120556.7216321,3019948537.2543654,380989679.66212976,0.3450637757778168,2.200029981942148,61.36151883848681,40.07021620605575,True,False,0,,xGASS_angular_momentum_linear_mass
GASS12062,12062,J002556.06+153815.0,12067024675.118734,6668073197.725401,1048892451.6523528,0.9898662567138672,1.6202751256157857,167.7280541194237,45.67958375179056,True,False,1,,xGASS_angular_momentum_linear_mass
GASS11994,11994,J002558.97+142052.7,14658171676.472755,18197018176.28807,1091956019.6580856,0.9119031429290771,3.809792216252149,154.0789105422235,85.03169976403699,True,True,0,1.0,xGASS_angular_momentum_linear_mass
GASS3163,3163,J002846.83+150529.3,42473042753.62452,3647541776.0478864,2838807949.2998137,2.605628252029419,4.151734976188327,202.18775814922063,65.5115993989449,True,False,1,,xGASS_angular_momentum_linear_mass
GASS124003,124003,J002938.37+002437.3,1755923747.0894969,1096478099.832217,355965333.3687232,0.3049762845039367,2.496589179462956,92.203615500027,48.91770894901689,True,True,0,2.0,xGASS_angular_momentum_linear_mass
GASS3151,3151,J003143.05+142911.2,35756641599.541466,826037601.3064997,123818173.92009956,0.0910857692360878,4.235111026713646,226.56729803836149,42.99359454369265,True,False,1,,xGASS_angular_momentum_linear_mass
GASS3189,3189,J004023.48+143649.4,10807791895.538277,5248077829.311784,1220174561.725847,2.3247158527374268,6.149018967129389,218.24417917659272,63.02488358209874,True,True,1,1.0,xGASS_angular_momentum_linear_mass
GASS27219,27219,J004125.29+134334.3,10662876919.059647,1425608520.2349002,1036496208.4076148,0.9051790833473206,3.15659671265982,160.11453714400568,87.83268859893744,True,False,1,,xGASS_angular_momentum_linear_mass
GASS27207,27207,J004631.55+145905.9,24338230003.99728,9549915794.217653,2837684141.835572,2.6342673301696777,1.3680624814924216,181.8552608806044,47.6972821884235,True,False,0,,xGASS_angular_momentum_linear_mass
GASS27204,27204,J004735.13+140918.4,14981983655.804539,11220189470.737862,2193326775.563735,1.8761969804763796,4.866284044033406,113.28170817688763,66.64485409647517,True,False,0,,xGASS_angular_momentum_linear_mass
GASS124002,124002,J004903.69+152907.9,1718821410.3803709,963829480.7854501,224535677.4358605,0.2094233632087707,1.63573359380097,107.93398711339344,64.59928238839662,True,False,1,,xGASS_angular_momentum_linear_mass
GASS3233,3233,J005134.04+135452.7,15559467746.869133,1811341651.8203323,2628718354.591183,2.7073094844818115,2.029680023327499,175.22348190225892,45.04546916791405,True,False,1,,xGASS_angular_momentum_linear_mass
GASS124027,124027,J005227.91+143105.8,6203984129.760437,5011870135.142811,383613406.0377584,0.5182380676269531,4.376362151291263,137.89366384315326,73.18808225989787,True,True,0,1.0,xGASS_angular_momentum_linear_mass
GASS3261,3261,J005532.61+154632.9,10937786428.098475,9078209129.29857,1170701458.3629384,1.4676183462142944,2.15130461425899,140.5631765005437,33.94989809537524,True,True,1,1.0,xGASS_angular_momentum_linear_mass
GASS3305,3305,J005709.66+143906.6,40506767775.08358,13489632380.568445,2016645514.704987,1.738900661468506,2.2136138828741587,191.91992706657575,79.9927266362707,True,False,1,,xGASS_angular_momentum_linear_mass
GASS3284,3284,J010253.84+141140.3,42904846440.003456,1520548090.6837616,1729855044.3767743,1.490088939666748,4.4496797475647165,135.5744494499619,88.10111209477279,True,False,1,,xGASS_angular_momentum_linear_mass
GASS3439,3439,J010905.96+144520.8,19988876427.67321,3427676661.161743,599335629.0553855,0.5182221531867981,1.4597645119531173,152.04001372034617,69.06151749672436,True,True,1,2.0,xGASS_angular_momentum_linear_mass
GASS3465,3465,J011221.82+150039.0,11976270639.811522,2540971143.2160635,434142567.1736572,0.2153324782848358,1.1307729343901494,158.83305050037154,59.24848883031961,True,True,1,1.0,xGASS_angular_momentum_linear_mass
GASS3645,3645,J011501.75+152448.6,18975204038.407547,3169570414.1292763,178523842.3619564,0.1513175070285797,1.7559281168109846,173.37763364081675,65.68639712030756,True,True,1,2.0,xGASS_angular_momentum_linear_mass
GASS101021,101021,J011653.58+000911.2,1872958604.1941874,1428893079.9465575,172574499.90230468,0.2763046324253082,1.7508583556514854,108.55507495264364,51.53724708869601,True,True,1,1.0,xGASS_angular_momentum_linear_mass
GASS3524,3524,J011716.09+143720.5,43359481372.75601,2630268453.963273,839094663.116887,0.3204153776168823,2.045392199637915,185.5,90.0,True,True,1,1.0,xGASS_angular_momentum_linear_mass
GASS3666,3666,J011803.07+153224.4,18219709700.853394,3715349680.21985,1982329362.0181584,1.85871696472168,2.6415558903091645,174.21603821439567,52.92622609146606,True,False,1,,xGASS_angular_momentum_linear_mass
GASS101028,101028,J011932.95+145219.0,2549347733.160231,1479108648.0080776,424137093.4614327,0.3852737843990326,3.409256856707591,42.87417725683403,57.10489409844845,True,False,0,,xGASS_angular_momentum_linear_mass
GASS101007,101007,J012109.33+154141.1,2706859239.1122155,2570394879.6691976,209535949.75611112,0.5331583619117737,2.95669877373267,112.356265479365,48.77018010080258,True,True,0,1.0,xGASS_angular_momentum_linear_mass
GASS101004,101004,J012130.66+143017.9,6226496788.165196,1479108648.0080776,431944029.0844701,0.6160892844200134,1.572977420038962,138.0041350451948,70.39031894022324,True,True,0,1.0,xGASS_angular_momentum_linear_mass
GASS3777,3777,J012316.81+143932.4,17012891350.600468,3515600576.178526,1239011167.8739572,1.1853338479995728,1.9024094189048977,233.41559805619195,31.511713558629825,True,False,1,,xGASS_angular_momentum_linear_mass
GASS101034,101034,J012454.60+141306.5,1335314986.7194808,2754226042.1949854,284937383.2065093,0.2379713654518127,2.2111627110262475,96.74580637018428,60.858868973066095,True,False,0,,xGASS_angular_momentum_linear_mass
