candidate_name,dataset,analog_tier,analog_score,data_completeness,missing_required_fields,followup_priority,predicted_followup_signature,recommended_next_action,galaxy_id,mangaid,stellar_mass_msun,stellar_surface_density_msun_kpc2,specific_sfr_yr,sersic_n,axis_ratio,kinematic_asymmetry_proxy,A_proxy,A_proxy_class,low_surface_density_score,high_sSFR_score,late_type_disk_score,disturbed_or_low_settling_score,low_compactness_score
12700-12701,MaNGA,medium scalar/IFU proxy analog,0.8361613573346508,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",12700-12701,1-120050,427683700.0,8117436.125596528,6.217270361860276e-10,0.9232096,0.36254698,0.48456505,0.320274914089347,low-proxy,1.0,0.8967998766719365,0.8589301333333333,0.48456505,0.6749060399999999
9091-6103,MaNGA,medium scalar/IFU proxy analog,0.829435769855491,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",9091-6103,1-264682,193211000.0,8350676.649075528,3.455686413485546e-10,0.944011,0.312676,0.59503275,0.2888888888888889,low-proxy,1.0,0.7692671627552974,0.8519963333333332,0.59503275,0.7746479999999999
8611-6104,MaNGA,medium scalar/IFU proxy analog,0.8215069153555147,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",8611-6104,1-23818,230559000.0,17382264.366494633,3.029028970681826e-10,0.694916,0.39432,0.6453107,0.266928489608902,low-proxy,0.9713526065619195,0.7406517135477557,0.935028,0.6453107,0.6113599999999999
8139-3703,MaNGA,medium scalar/IFU proxy analog,0.7849137057171994,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",8139-3703,1-121218,3119330000.0,23450843.227433763,0.000123944865564,0.842171,0.231775,0.0036175572,0.3159548355424644,low-proxy,0.8784582404573317,1.0,0.885943,0.0036175572,0.9364499999999999
8617-12705,MaNGA,medium scalar/IFU proxy analog,0.7814552228148379,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",8617-12705,1-180893,218068000.0,4192440.214739541,1.8133928645922543e-10,0.506918,0.618209,0.7216449,0.3877434135166093,transition-proxy,1.0,0.6292459512593513,0.9976940000000001,0.7216449,0.1635819999999999
8619-12704,MaNGA,medium scalar/IFU proxy analog,0.7778629768594948,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",8619-12704,1-114253,283847000.0,17185473.792591672,1.310214522662321e-10,0.801242,0.298908,0.5706279,0.3262150220913107,low-proxy,0.9748846358134423,0.5586712044618487,0.8995859999999999,0.5706279,0.8021839999999999
9894-9102,MaNGA,medium scalar/IFU proxy analog,0.7772010020133013,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",9894-9102,1-550782,616364000.0,16416712.489812972,5.62817721855166e-10,1.26898,0.484479,0.46561185,0.3585828833251513,transition-proxy,0.9890812911856653,0.8751838819637401,0.7436733333333333,0.46561185,0.4310419999999999
8619-12705,MaNGA,medium scalar/IFU proxy analog,0.7743997080262837,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",8619-12705,1-114147,185357000.0,17098079.908608917,1.3297900814851783e-10,0.654253,0.431389,0.650322,0.3420880379643267,transition-proxy,0.9764661839686882,0.5618915446760422,0.9485823333333334,0.650322,0.5372219999999999
8982-12702,MaNGA,medium scalar/IFU proxy analog,0.7686850508297091,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",8982-12702,1-457843,307721000.0,8478786.14989166,1.8260330202445296e-10,1.10015,0.391208,0.59498715,0.2944362624774996,low-proxy,1.0,0.6307543133188362,0.7999499999999999,0.59498715,0.6175839999999999
8655-12703,MaNGA,medium scalar/IFU proxy analog,0.7686189402967799,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",8655-12703,1-29874,2787160000.0,21346236.37778749,2.7381668432439892e-09,1.29098,0.312622,0.14391367,0.4192112583865161,transition-proxy,0.9076276326559332,1.0,0.7363399999999999,0.14391367,0.7747559999999999
8977-12704,MaNGA,medium scalar/IFU proxy analog,0.7672356122090489,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",8977-12704,1-121413,553137000.0,24529092.24684259,2.786943620384218e-10,1.01231,0.32175,0.5716308,0.2981836033382425,low-proxy,0.8645132310866919,0.7225640915321652,0.8292299999999999,0.5716308,0.7565
11824-12702,MaNGA,medium scalar/IFU proxy analog,0.7646584063108349,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",11824-12702,1-83386,368118850.0,824894.4155092632,9.710568432131123e-11,0.93289405,0.23346666,0.5120384,0.2921289477990509,low-proxy,1.0,0.4936223265766726,0.8557019833333334,0.5120384,0.9330666799999999
10498-12701,MaNGA,medium scalar/IFU proxy analog,0.7615672284689644,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",10498-12701,1-385339,1003130000.0,9268574.499647958,9.850319223334623e-11,0.688674,0.203497,0.33775738,0.3664212076583211,transition-proxy,1.0,0.4967251525425249,0.9371086666666667,0.33775738,0.9930059999999998
11751-12702,MaNGA,medium scalar/IFU proxy analog,0.7541886489988763,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",11751-12702,1-301272,911821800.0,14872233.189805465,5.193507398724092e-10,0.97269493,0.81763476,0.475127,0.2920634920634921,low-proxy,1.0,0.8577303773288385,0.8424350233333334,0.475127,0.0
9001-12704,MaNGA,medium scalar/IFU proxy analog,0.7502663488281293,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",9001-12704,1-149109,385413000.0,8527886.209437475,1.5831940072274143e-10,1.21936,0.432823,0.6323101,0.3003600065455735,low-proxy,1.0,0.5997670686458507,0.7602133333333333,0.6323101,0.5343539999999999
11941-9101,MaNGA,medium scalar/IFU proxy analog,0.7483689842394241,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",11941-9101,1-210358,933858240.0,18161550.62926844,5.217529214215201e-10,1.185932,0.6651693,0.5674944,0.2666666666666666,low-proxy,0.9577479101877712,0.8587324447323716,0.7713559999999999,0.5674944,0.06966139999999998
8553-12703,MaNGA,medium scalar/IFU proxy analog,0.7480727651841692,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",8553-12703,1-593985,412078000.0,11354814.215368977,1.4683858770611792e-10,0.726993,0.35353,0.32037738,0.3617574864997545,transition-proxy,1.0,0.5834200994033436,0.9243356666666666,0.32037738,0.6929399999999999
10838-6103,MaNGA,medium scalar/IFU proxy analog,0.7465648810177116,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",10838-6103,1-301504,558402560.0,22636365.134606395,1.3613638721456535e-10,0.5179306,0.33756173,0.4446579,0.3199476354115529,low-proxy,0.8894237923697521,0.5669871105604773,0.9940231333333333,0.4446579,0.7248765399999999
8598-12704,MaNGA,medium scalar/IFU proxy analog,0.739803855548461,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",8598-12704,1-632479,1172650000.0,21483558.02080459,2.2366197562718883e-10,0.972657,0.335853,0.38729584,0.2539682539682539,low-proxy,0.9056384220740669,0.6747960783716298,0.8424476666666667,0.38729584,0.7282939999999999
11022-12702,MaNGA,medium scalar/IFU proxy analog,0.7397524273442551,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",11022-12702,1-82900,363117380.0,15453727.474081589,1.8844640873607148e-10,0.9499504,0.3234959,0.23366545,0.4045000818196694,transition-proxy,1.0,0.6375939327103533,0.8500165333333333,0.23366545,0.7530081999999999
10506-12704,MaNGA,medium scalar/IFU proxy analog,0.7394918669609887,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",10506-12704,1-232047,493417000.0,27711650.923064284,2.1268855181234127e-10,0.933822,0.321335,0.5247427,0.3282277859597447,low-proxy,0.826669714521709,0.6638720570845704,0.8553926666666666,0.5247427,0.75733
