f_star_c,k_star,log10_sigma_c,k_sigma,f_gas_c,k_gas,RHI_Rd_c,k_HI,omega_c,k_omega,T_c,k_T,drive_power,A0,lambda_seed,lambda_feedback,lambda_reservoir,n_steps,tau_final,mse,rmse,spearman_A_pred_A_inferred,pearson_A_pred_A_inferred,prediction_min,prediction_max,prediction_std,rank_score,UGC07125_A_pred_m18
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.1,2.0,0.0,1.5,80,1.0,0.12493701808987477,0.3534643094993818,0.23400329002456807,0.21138806443365268,0.02217043388842935,0.8345830451855941,0.2268747247136288,0.07813636008496115,0.17142383046169765
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.1,1.0,0.0,0.5,80,1.0,0.11706636482747514,0.34214962345072825,0.1931455727186911,0.1780542422204544,0.060684456913071796,0.6221375276562617,0.15022128026127962,0.07843725028373691,0.16823570533383791
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.1,2.0,0.0,3.0,80,1.0,0.12924926860712035,0.3595125430456083,0.25267536722086564,0.2274741166611882,0.0048082799800830255,0.8236644010743776,0.232498869217982,0.07871419516294723,0.10582760087788995
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.05,2.0,0.0,3.0,80,1.0,0.12992111734001144,0.36044572037965916,0.25018393170053854,0.22293137800400817,0.0024593382252259166,0.8156938904863056,0.2296096783708418,0.07988433099990372,0.1025460281441042
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.1,1.0,1.0,1.5,80,1.0,0.1267366438912171,0.3560009043404484,0.23337358654140844,0.20599111463983663,0.022087677458560082,0.7405260649072359,0.1993926928871662,0.08006192658293543,0.11223552699965227
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.02,2.0,0.0,3.0,80,1.0,0.13037789564787544,0.36107879423731803,0.25063111243495617,0.22013187598739636,0.0010499731723116522,0.8109115841334621,0.2278953833403535,0.0802516731608842,0.10057708450383275
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.05,2.0,0.0,1.5,80,1.0,0.12586707735029043,0.3547775040082029,0.22630083002765936,0.20527702063530298,0.011175572353421304,0.8263178451398712,0.226477542553695,0.08060691134475856,0.16021201645895636
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.1,1.0,0.0,1.5,80,1.0,0.1284509150263368,0.35840049529309637,0.23749860066297565,0.21277146682356432,0.022083979135972404,0.6153600494012023,0.16232617585557518,0.08095119489374167,0.1046204933252945
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.1,1.0,1.0,0.5,80,1.0,0.11961744208717784,0.34585754594511575,0.1922238328375444,0.17221075536496713,0.06069421974072086,0.7479972294542314,0.18706171762759244,0.08117267551966895,0.18199832567325855
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.5,0.1,2.0,0.0,1.5,80,1.0,0.1288662186331429,0.3589794125477712,0.23656773464439193,0.20865895070278806,0.022019282909788183,0.832582429142557,0.2352255486707976,0.08155267170426451,0.1357951977113898
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.5,0.1,1.0,0.0,0.5,80,1.0,0.12190692297213938,0.34915171913100956,0.20047386108067883,0.18076080443575945,0.06057389652116256,0.6197572838342378,0.15554271298586944,0.08181215075600362,0.14185450172193811
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.02,2.0,0.0,1.5,80,1.0,0.1265576346774951,0.3557493987029284,0.22105330100132944,0.20157718142348857,0.004578655432416487,0.8213587251124377,0.22626495024982218,0.08234697447722919,0.15348492805731156
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.5,0.1,1.0,1.0,0.5,80,1.0,0.12324633716416278,0.3510645769145084,0.19759000165055665,0.1749926072342333,0.06057512454513568,0.7452152456111346,0.19306128274168893,0.08372833683405145,0.1509933918567598
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.5,0.1,2.0,0.0,3.0,80,1.0,0.1351268551922462,0.3675960489344876,0.25405341397386705,0.22222193231648094,0.004713264508503878,0.8216590709599949,0.23769853941364597,0.0843161723974728,0.08094643038137812
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.1,2.0,1.0,3.0,80,1.0,0.1350369970153858,0.36747380452950085,0.2518448887140899,0.2244648692221299,0.00480910658373607,0.891085466297348,0.2583029238287143,0.08466801927256781,0.11065264722767283
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.5,0.05,2.0,0.0,1.5,80,1.0,0.13055486019067644,0.36132376089966245,0.2282812018515091,0.2023472930744271,0.011021016715879678,0.8242102749997607,0.23494117263983666,0.08489861982037461,0.12365874230458326
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.5,0.1,1.0,1.0,1.5,80,1.0,0.13256063031377024,0.3640887670799118,0.23816480869588363,0.20359281313015923,0.022008863096155462,0.7377470697091439,0.20314531482463374,0.08492766857459352,0.08991429179843632
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.05,2.0,1.0,3.0,80,1.0,0.13532565896024587,0.3678663601910969,0.2505215987857111,0.21972382982796707,0.002459760969615011,0.8844455688787013,0.2554842185264975,0.08522133920310365,0.10695953776010782
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.05,1.0,0.0,0.5,80,1.0,0.1234788907089884,0.3513956327403464,0.19075452471017204,0.17013931166237573,0.0304107645101856,0.6015829856921505,0.15212650567862362,0.085327985766954,0.139184903168729
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.5,0.05,2.0,0.0,3.0,80,1.0,0.13615652201802056,0.36899393222385185,0.25331419684146234,0.21730489063327174,0.0023635812106220138,0.8135853725266702,0.23476285656103968,0.08549368264972809,0.07738986833726476
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.02,2.0,1.0,3.0,80,1.0,0.1355516426799362,0.36817338670786104,0.24991927371486278,0.2167753280866224,0.0010501471336718158,0.8803191804767376,0.2537503584818862,0.08556778793696362,0.10473422712320704
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.05,1.0,1.0,1.5,80,1.0,0.13081538054521177,0.361684089427793,0.22578064019374494,0.1964896364146357,0.011089073034356448,0.7182674260943592,0.19420059671569304,0.08565925250646278,0.0976577550458438
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.05,1.0,1.0,0.5,80,1.0,0.12371630753580436,0.351733290343414,0.18716795269739347,0.1650464179381075,0.030415860180029092,0.7253242090742134,0.18817094323764127,0.08628271699632567,0.14963838387695974
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.5,0.02,2.0,0.0,3.0,80,1.0,0.13683471760732435,0.3699117700308066,0.2508775181457578,0.214275125372037,0.0009537712318928955,0.8087411534666752,0.23302326699156165,0.08665921397817278,0.07525593111079673
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.5,0.1,1.0,0.0,1.5,80,1.0,0.13455814179046865,0.36682167573695623,0.23936945883758026,0.21050322045881142,0.02200839812115425,0.6129935705131069,0.1659143793903199,0.0866842500229526,0.08501820381089638
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.5,0.02,2.0,0.0,1.5,80,1.0,0.1317202323740419,0.36293282074516475,0.22196591474503893,0.19852957095380894,0.0044220569995345755,0.8191869825140828,0.234798204530488,0.08732704942503411,0.11637686906049932
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.02,4.0,0.0,6.0,80,1.0,0.1395908379699432,0.3736185728385879,0.25967511463511794,0.23848772105498028,0.00015469992516401813,0.9380005263401474,0.2778181658036973,0.08765581504291961,0.10589948158117607
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.05,4.0,0.0,6.0,80,1.0,0.13964396520417102,0.37368966429936357,0.2593830782371309,0.2391255102658903,0.00021333176699435538,0.9387306856833842,0.2783244089388053,0.08776734955674484,0.10601687631815146
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.1,4.0,0.0,6.0,80,1.0,0.13973725434606396,0.37381446513753847,0.2593830782371309,0.24018067373805388,0.0003110515033782509,0.9399476179221125,0.27917126049859203,0.08786063869863778,0.10621253421311046
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.05,1.0,0.0,1.5,80,1.0,0.13376367200924175,0.36573716246676624,0.22875576099823808,0.2026543098982936,0.011087170250123107,0.5952914923566394,0.15834559386959401,0.08801251980959413,0.09166183947698191
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.1,1.0,1.0,3.0,80,1.0,0.14000447863082519,0.374171723451713,0.25733882345122144,0.22083766603901933,0.004754756835819932,0.72948928081456,0.20194713589548471,0.0885367139405809,0.06274427882244701
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.1,2.0,1.0,1.5,80,1.0,0.13543631191633485,0.36801672776700634,0.2329994149064875,0.20827391253731584,0.02217413709870261,0.9013500970474302,0.25180047476652634,0.08883642893503735,0.18133103001917378
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.75,0.1,1.0,0.0,0.5,80,1.0,0.132979793498882,0.3646639459816147,0.22032321000636176,0.18045856564743024,0.060558063226549115,0.6138173272682805,0.16020828359836323,0.08891515149760965,0.1015725837192476
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.75,0.1,1.0,1.0,0.5,80,1.0,0.1326694275952798,0.36423814681507455,0.21551373557701237,0.17451517192013824,0.060558070129790746,0.7382357267813476,0.19758126716923582,0.08956668047987733,0.10504128254438412
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.5,0.1,2.0,1.0,3.0,80,1.0,0.14043578365699175,0.3747476266195581,0.2533233229788994,0.21881471192671256,0.004713368005106402,0.8893560813111314,0.2640555622392477,0.08977111906121185,0.08385579999814526
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.02,1.0,1.0,1.5,80,1.0,0.13372959915860302,0.3656905784383883,0.21824245067070397,0.19038785117743517,0.004489861760405597,0.7041708074813364,0.19090476878012536,0.09008110902446223,0.08885223680054395
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.5,0.1,2.0,0.0,0.5,80,1.0,0.1298453865601647,0.36034065349355837,0.1976630107500534,0.17974844655591304,0.06058981902064246,0.8399905526019752,0.22316621677440737,0.09031278441015402,0.20990280147357557
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.05,2.0,1.0,1.5,80,1.0,0.13564662770508415,0.36830235908161674,0.22487715258747248,0.20205093538198196,0.011177480545882574,0.8945259728490692,0.25176048782209454,0.09067119718758965,0.1688712333279554
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.02,1.0,1.0,0.5,80,1.0,0.12714303146895023,0.3565712151435534,0.18135460314996357,0.1606849549440019,0.01224864396004148,0.7109582180458461,0.1886242168655923,0.09087211083895752,0.13004025938086053
