quantum_family,template_name,bias,drive_scale,eq_scale,eq_reservoir,k_on,k_off,k_coherent,A0,Omega0,Delta0,gamma_phi,gamma_relax,w0,gas_c,gas_k,RHI_Rd_c,RHI_k,n_steps,tau_final,mse,rmse,spearman_A_pred_A_inferred,pearson_A_pred_A_inferred,prediction_min,prediction_max,prediction_std,rank_score
two_channel_master,gas_hi,0.8,1.2,0.8,0.8,1.0,1.0,0.0,0.2,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.09909447853631297,0.3147927548980646,0.3231474005101178,0.3218523814423775,0.07937732415259782,0.7002106586381683,0.14810649409734153,-0.07863659174425185
two_channel_master,gas_hi,0.8,2.5,0.8,0.8,1.0,4.0,0.0,0.2,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.1079909416157579,0.328619752321369,0.3382785363808223,0.3266287014956379,0.0029811247584690596,0.7042507298324777,0.1943456996736312,-0.07806225339369438
two_channel_master,gas_hi,0.8,2.5,0.8,0.8,1.0,1.0,0.0,0.0,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.09875060132164003,0.31424608401957854,0.3214681912216922,0.3171164883362316,6.536828265273516e-05,0.6355868292676972,0.16415619282451455,-0.0780569038502907
two_channel_master,gas_hi,0.8,2.5,0.8,0.8,1.0,1.0,0.0,0.2,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.10447326401447003,0.32322324176096934,0.33095024801883455,0.3265680148009035,0.07270420812964691,0.7079975244677268,0.1666030258602046,-0.07754937239588898
two_channel_master,gas_hi,0.8,2.5,0.8,0.8,1.0,4.0,0.0,0.0,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.10848619556849695,0.3293724268491474,0.3380777613572062,0.32837110604740394,2.528524016583816e-05,0.6326622491572929,0.17528354882330802,-0.07745657317796648
two_channel_master,gas_hi,0.8,1.2,0.8,0.8,1.0,1.0,0.0,0.0,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.09598371599076874,0.3098123883752371,0.312853117481074,0.31137353498414044,0.007621758050335725,0.6258596045211715,0.141233649374316,-0.07608549862382197
two_channel_master,gas_hi,0.4,1.2,0.8,0.8,1.0,1.0,0.0,0.2,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.0972312810120526,0.3118193082733213,0.3129808834051933,0.3188419888458917,0.07683828647876148,0.6954200984476667,0.15459341292573625,-0.07490820486080373
two_channel_master,gas_hi,0.8,1.2,0.8,0.8,1.0,4.0,0.0,0.2,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.11170880727122506,0.33422867511813686,0.33688223735294665,0.3165426920013284,0.005871495773665409,0.6964741504258122,0.18410320330876628,-0.0735764232728956
bloch_lindblad,gas_hi,0.8,1.2,0.8,0.8,1.0,1.0,0.0,0.2,1.0,1.0,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.09710060726895346,0.31160970342554073,0.3043384312522638,0.3020992946920606,0.05113138929288569,0.6581181491231165,0.1424082480803696,-0.07028552991979163
two_channel_master,gas_hi,0.4,1.2,0.8,0.8,1.0,1.0,0.0,0.0,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.09829771909768763,0.31352467063643913,0.30504114383492015,0.30808789848513124,0.004746885591639874,0.6198752827742312,0.1476037021493069,-0.06947491001151847
