feature_name,uses_observed_Vflat,uses_target_j,uses_target_radius_component,role
log_M_baryon,False,False,False,candidate_predictor
log_Rdisk,False,False,True,candidate_predictor
log_v_newton,False,False,False,candidate_predictor
log_Sigma_b,False,False,True,candidate_predictor
f_gas,False,False,False,candidate_predictor
f_star,False,False,False,candidate_predictor
RHI_over_Rdisk,False,False,True,candidate_predictor
log_RHI_over_Rdisk,False,False,True,candidate_predictor
D_maturity,False,False,False,candidate_predictor
R_reservoir,False,False,False,candidate_predictor
DR_interaction,False,False,False,candidate_predictor
fgas_RHI_interaction,False,False,False,candidate_predictor
newton_angular_structure,False,False,True,candidate_predictor
mass_radius_compactness,False,False,True,candidate_predictor
surface_reservoir_interaction,False,False,True,candidate_predictor
gas_drive_interaction,False,False,False,candidate_predictor
