model_name,rmse_logj_median,rmse_logj_p05,rmse_logj_p95,mae_logj_median,spearman_median,pearson_median,n_features,n
structural_baseline,0.05544937125055388,0.05427537325162828,0.057079439601567465,0.04406769222812355,0.9927188889698914,0.9941429868459115,5.0,32
bdvr_angular,0.05794508862131342,0.05614475479697616,0.059740458695162466,0.04660901686865995,0.991853174892469,0.9936089403733518,10.0,32
bdvr_salvaged_interactions,0.05827994376245088,0.05636212094337392,0.06008516927394545,0.046873733391205284,0.9916162426186481,0.9935729675464011,12.0,32
bdvr_angular_sparse,0.05939394953344519,0.05740770630116379,0.06204951783461711,0.04748727649137878,0.9916435809579351,0.9933029297333704,11.0,32
mass_radius,0.06202923630769416,0.061050878751607515,0.06391798513262847,0.04872462248594643,0.989483852154261,0.9926632225394804,2.0,32
newton_radius,0.06787101369595248,0.066036449053363,0.06987524284677943,0.05346368262300076,0.9866406648684114,0.9912097065111798,2.0,32
newton_angular,0.08638124818727373,0.08527621949684325,0.08847495112300888,0.06867899308380948,0.9820660494277174,0.9857215252186902,1.0,32
strict_bdvr_no_radius,0.10475116192779421,0.10090692610897294,0.10812926903009211,0.08280292690712382,0.982056936647955,0.9789970951931524,6.0,32
strict_mass_newton_no_radius,0.11116673766491597,0.10941164134081072,0.11381275094716942,0.086124225189747,0.9792228621418676,0.9765248763564407,4.0,32
mass_only,0.19576875390772436,0.19260481020355796,0.1984693365777602,0.15289264255319263,0.9398829919078514,0.9243052666705543,1.0,32
