feature_name,role,uses_observed_Vflat,uses_A_inferred,uses_target_j,uses_prior_predictions
DR_interaction,residual_candidate,False,False,False,False
D_maturity,residual_candidate,False,False,False,False
RHI_over_Rdisk,base_feature,False,False,False,False
R_reservoir,residual_candidate,False,False,False,False
T,residual_candidate,False,False,False,False
f_gas,base_feature,False,False,False,False
f_star,residual_candidate,False,False,False,False
fgas_RHI_interaction,residual_candidate,False,False,False,False
gas_drive_interaction,residual_candidate,False,False,False,False
log_M_baryon,base_feature,False,False,False,False
log_RHI_over_Rdisk,residual_candidate,False,False,False,False
log_Rdisk,base_feature,False,False,False,False
log_Sigma_b,base_feature,False,False,False,False
log_v_newton,residual_candidate,False,False,False,False
mass_radius_compactness,residual_candidate,False,False,False,False
newton_angular_structure,residual_candidate,False,False,False,False
surface_reservoir_interaction,residual_candidate,False,False,False,False
