variable,spearman_residual_before,spearman_residual_after,delta_abs_spearman
A_inferred,-0.7340517386153467,-0.7084437969668566,0.025607941648490118
log_M_baryon,-0.02097761901290369,-0.02639061019173289,-0.005412991178829197
log_Rdisk,-0.07054267098301747,-0.06567640224449127,0.0048662687385262055
log_v_newton,-0.00893052416709193,-0.018699424072319018,-0.009768899905227089
log_Sigma_b,0.015181891084056279,0.014270613107822407,0.0009112779762338718
f_gas,-0.013742071881606763,-0.025880294525041918,-0.012138222643435155
RHI_over_Rdisk,0.036761623568538584,-0.0015492007949061872,0.035212422773632394
T,0.06017708049853681,0.06216063755449347,-0.00198355705595666
D_maturity,0.041043960049573516,0.037745133775606905,0.003298826273966611
R_reservoir,-0.01776992053656047,-0.05172413793103448,-0.03395421739447401
