model_name,features,n_residual_features,rmse_logj,base_rmse_logj,rmse_improvement_vs_base,mae_logj,spearman_pred_obs,pearson_pred_obs,resid_a_rho,base_resid_a_rho,abs_resid_a_rho_reduction,repeat
base_only,none,0,0.054310220176272225,0.054310220176272225,0.0,0.04323863712640447,0.9932929940949186,0.994379619919036,-0.7340517386153467,-0.7340517386153467,0.0,0
morphology,T,1,0.05422345333426284,0.054310220176272225,8.676684200938783e-05,0.04364228247168563,0.9933841218925419,0.9944154430412029,-0.7428310828298328,-0.7340517386153467,-0.008779344214486118,0
reservoir,D_maturity;R_reservoir;DR_interaction,3,0.055063996494805804,0.054310220176272225,-0.0007537763185335791,0.04372272412122884,0.9932565429758692,0.9942229190883296,-0.7296985710578522,-0.7340517386153467,0.004353167557494486,0
gas_extent,f_star;log_RHI_over_Rdisk;fgas_RHI_interaction,3,0.05440389980366688,0.054310220176272225,-9.367962739465635e-05,0.043450818941118755,0.9930196107020484,0.9943611457076121,-0.7084437969668566,-0.7340517386153467,0.025607941648490118,0
newton_structure,log_v_newton;newton_angular_structure;mass_radius_compactness,3,0.05442897153519621,0.054310220176272225,-0.00011875135892398803,0.04329134127991739,0.993438798571116,0.9943541897683442,-0.7214302905398435,-0.7340517386153467,0.012621448075503139,0
compact_reservoir,D_maturity;R_reservoir;surface_reservoir_interaction;gas_drive_interaction,4,0.05455848935068964,0.054310220176272225,-0.0002482691744174134,0.043539700965559064,0.9932747685353939,0.9943319962971032,-0.726048116083014,-0.7340517386153467,0.008003622532332666,0
all_residual,T;f_star;log_v_newton;log_RHI_over_Rdisk;D_maturity;R_reservoir;DR_interaction;fgas_RHI_interaction;gas_drive_interaction;surface_reservoir_interaction;mass_radius_compactness;newton_angular_structure,12,0.05487742322608723,0.054310220176272225,-0.0005672030498150016,0.04432737021748448,0.9935117008092147,0.9942611915382659,-0.711254647297482,-0.7340517386153467,0.02279709131786467,0
base_only,none,0,0.054306888915245384,0.054306888915245384,0.0,0.04309664338757814,0.9929284829044251,0.9943798109488506,-0.7556989366161375,-0.7556989366161375,0.0,1
morphology,T,1,0.054368731803398906,0.054306888915245384,-6.18428881535224e-05,0.04369834315078122,0.9922905883210613,0.9943870082058246,-0.7689592143122373,-0.7556989366161375,-0.013260277696099831,1
reservoir,D_maturity;R_reservoir;DR_interaction,3,0.05437312223524983,0.054306888915245384,-6.623332000444543e-05,0.04269063452793054,0.9931289640591965,0.9943667923915132,-0.736753075296727,-0.7556989366161375,0.018945861319410562,1
gas_extent,f_star;log_RHI_over_Rdisk;fgas_RHI_interaction,3,0.0542131259267289,0.054306888915245384,9.376298851648118e-05,0.04277929200474195,0.9926733250710796,0.9944003969509525,-0.7250259886900591,-0.7556989366161375,0.030672947926078442,1
newton_structure,log_v_newton;newton_angular_structure;mass_radius_compactness,3,0.05431605749943777,0.054306888915245384,-9.168584192385809e-06,0.04301955670182951,0.9928009039877523,0.9943777941535441,-0.7421101179723022,-0.7556989366161375,0.013588818643835321,1
compact_reservoir,D_maturity;R_reservoir;surface_reservoir_interaction;gas_drive_interaction,4,0.05416270135086351,0.054306888915245384,0.00014418756438187158,0.04270249288898717,0.9928373551068016,0.9944143398003856,-0.7307389507256811,-0.7556989366161375,0.02495998589045645,1
all_residual,T;f_star;log_v_newton;log_RHI_over_Rdisk;D_maturity;R_reservoir;DR_interaction;fgas_RHI_interaction;gas_drive_interaction;surface_reservoir_interaction;mass_radius_compactness;newton_angular_structure,12,0.055041869939441046,0.054306888915245384,-0.000734981024195662,0.04427279545439531,0.9924363927972587,0.994228459009146,-0.715261021632367,-0.7556989366161375,0.04043791498377047,1
base_only,none,0,0.05463960435687568,0.05463960435687568,0.0,0.043218846981346946,0.9923817161186848,0.9943138220028997,-0.7349917307713677,-0.7349917307713677,0.0,2
morphology,T,1,0.05417034328169723,0.05463960435687568,0.00046926107517845234,0.04342186119875807,0.9927826784282276,0.9944279136267452,-0.7520941123284847,-0.7349917307713677,-0.017102381557116964,2
reservoir,D_maturity;R_reservoir;DR_interaction,3,0.055277922894088456,0.05463960435687568,-0.0006383185372127731,0.043703335439103805,0.9926186483925057,0.9941810812983484,-0.7191122516308212,-0.7349917307713677,0.01587947914054655,2
gas_extent,f_star;log_RHI_over_Rdisk;fgas_RHI_interaction,3,0.05458550736207247,0.05463960435687568,5.4096994803215503e-05,0.04318209606096362,0.992527520594882,0.9943320889155556,-0.7107162051886933,-0.7349917307713677,0.02427552558267443,2
newton_structure,log_v_newton;newton_angular_structure;mass_radius_compactness,3,0.05462030623389455,0.05463960435687568,1.9298122981133148e-05,0.04304458633871068,0.9926915506306043,0.9943165339628187,-0.7218592189993871,-0.7349917307713677,0.013132511771980604,2
compact_reservoir,D_maturity;R_reservoir;surface_reservoir_interaction;gas_drive_interaction,4,0.055190821384793504,0.05463960435687568,-0.0005512170279178205,0.04351642455477967,0.992819129547277,0.9941976257851807,-0.7120029905673237,-0.7349917307713677,0.022988740204043956,2
