topic,query,rank,title,year,authors,venue,citationCount,doi,url,abstract,error
hubble_morphology,Extra-galactic nebulae Hubble 1926,1,History of dark matter,2018,Gianfranco Bertone; Dan Hooper,Reviews of Modern Physics,1188,https://doi.org/10.1103/revmodphys.90.045002,https://openalex.org/W2403089519,"The standard model of modern cosmology is unthinkable without dark matter, although direct detections are still missing. A broad perspective of how dark matter was postulated and became accepted is presented, from prehistory, over observations of galaxy clusters, galaxy rotation curves, the search for baryonic dark matter, possible alternative explanations via modified gravity, up to the hunt for dark matter particles. The interplay is described between observational discoveries and theoretical arguments which led finally to the adoption of this paradigm.",
hubble_morphology,Extra-galactic nebulae Hubble 1926,2,THE NEXT GENERATION VIRGO CLUSTER SURVEY (NGVS). I. INTRODUCTION TO THE SURVEY*,2012,Laura Ferrarese; Patrick Côté; Jean‐Charles Cuillandre; Stephen Gwyn; Eric W. Peng; Lauren A. MacArthur,The Astrophysical Journal Supplement Series,452,https://doi.org/10.1088/0067-0049/200/1/4,https://openalex.org/W2109896455,"ABSTRACT The Next Generation Virgo Cluster Survey (NGVS) is a program that uses the 1 deg 2 MegaCam instrument on the Canada–France–Hawaii Telescope to carry out a comprehensive optical imaging survey of the Virgo cluster, from its core to its virial radius—covering a total area of 104 deg 2 —in the u * griz bandpasses. Thanks to a dedicated data acquisition strategy and processing pipeline, the NGVS reaches a point-source depth of g ≈ 25.9 mag (10σ) and a surface brightness limit of μ g ∼ 29 mag arcsec −2 (2σ above the mean sky level), thus superseding all previous optical studies of this benchmark galaxy cluster. In this paper, we give an overview of the technical aspects of the survey, such as areal coverage, field placement, choice of filters, limiting magnitudes, observing strategies, data processing and calibration pipelines, survey timeline, and data products. We also describe the primary scientific topics of the NGVS, which include: the galaxy luminosity and mass functions; the",
hubble_morphology,Extra-galactic nebulae Hubble 1926,3,EMU: Evolutionary Map of the Universe,2011,Ray P. Norris; A. M. Hopkins; J. Afonso; S. Brown; J. J. Condon; L. Dunne,Publications of the Astronomical Society of Australia,401,https://doi.org/10.1071/as11021,https://openalex.org/W2152334290,"Abstract EMU is a wide-field radio continuum survey planned for the new Australian Square Kilometre Array Pathfinder (ASKAP) telescope. The primary goal of EMU is to make a deep (rms ∼ 10 μJy/beam) radio continuum survey of the entire Southern sky at 1.3 GHz, extending as far North as +30° declination, with a resolution of 10 arcsec. EMU is expected to detect and catalogue about 70 million galaxies, including typical star-forming galaxies up to z ∼ 1, powerful starbursts to even greater redshifts, and active galactic nuclei to the edge of the visible Universe. It will undoubtedly discover new classes of object. This paper defines the science goals and parameters of the survey, and describes the development of techniques necessary to maximise the science return from EMU.",
hubble_morphology,Classification and Morphology of External Galaxies de Vaucouleurs 1959,1,The SAURON project--V. Integral-field emission-line kinematics of 48 elliptical and lenticular galaxies,2006,M. Sarzi; J. Falcón‐Barroso; Roger L. Davies; Roland Bacon; Martin Bureau; Michele Cappellari,Monthly Notices of the Royal Astronomical Society,828,https://doi.org/10.1111/j.1365-2966.2005.09839.x,https://openalex.org/W4211245634,"We present the emission-line fluxes and kinematics of 48 representative elliptical and lenticular galaxies obtained with our custom-built integral-field spectrograph, SAURON, operating on the William Herschel Telescope. Hβ, [O III] λλ.4959,5007 and [N I] λλ5198,5200 emission lines were measured using a new procedure that simultaneously fits both the stellar spectrum and the emission lines. Using this technique we can detect emission lines down to an equivalent width of 0.1 Å set by the current limitations in describing galaxy spectra with synthetic and real stellar templates, rather than by the quality of our spectra. Gas velocities and velocity dispersions are typically accurate to within 14 and 20 km s -1, respectively, and at worse to within 25 and 40 km s~L. The errors on the flux of the [O III] and Hβ lines are on average 10 and 20 per cent, respectively, and never exceed 30 per cent. Emission is clearly detected in 75 per cent of our sample galaxies, and comes in a variety of res",
hubble_morphology,Classification and Morphology of External Galaxies de Vaucouleurs 1959,2,THE NEXT GENERATION VIRGO CLUSTER SURVEY (NGVS). I. INTRODUCTION TO THE SURVEY*,2012,Laura Ferrarese; Patrick Côté; Jean‐Charles Cuillandre; Stephen Gwyn; Eric W. Peng; Lauren A. MacArthur,The Astrophysical Journal Supplement Series,452,https://doi.org/10.1088/0067-0049/200/1/4,https://openalex.org/W2109896455,"ABSTRACT The Next Generation Virgo Cluster Survey (NGVS) is a program that uses the 1 deg 2 MegaCam instrument on the Canada–France–Hawaii Telescope to carry out a comprehensive optical imaging survey of the Virgo cluster, from its core to its virial radius—covering a total area of 104 deg 2 —in the u * griz bandpasses. Thanks to a dedicated data acquisition strategy and processing pipeline, the NGVS reaches a point-source depth of g ≈ 25.9 mag (10σ) and a surface brightness limit of μ g ∼ 29 mag arcsec −2 (2σ above the mean sky level), thus superseding all previous optical studies of this benchmark galaxy cluster. In this paper, we give an overview of the technical aspects of the survey, such as areal coverage, field placement, choice of filters, limiting magnitudes, observing strategies, data processing and calibration pipelines, survey timeline, and data products. We also describe the primary scientific topics of the NGVS, which include: the galaxy luminosity and mass functions; the",
hubble_morphology,Classification and Morphology of External Galaxies de Vaucouleurs 1959,3,The structure of galactic disks,2006,M. Pohlen; Ignacio Trujillo,Astronomy and Astrophysics,351,https://doi.org/10.1051/0004-6361:20064883,https://openalex.org/W4298409585,"Using imaging data from the SDSS survey, we present the and radial stellar light distribution of a complete sample of ~90 face-on to intermediate inclined, nearby, late-type (Sb–Sdm) spiral galaxies. The surface brightness profiles are reliable ( uncertainty less than 0.2 mag) down to mag . Only ~10% of all galaxies have a normal/standard purely exponential disk down to our noise limit. The surface brightness distribution of the rest of the galaxies is better described as a broken exponential. About 60% of the galaxies have a break in the exponential profile between ∼1.5–4.5 times the scalelength followed by a downbending, steeper outer region. Another ~30% shows also a clear break between ∼4.0–6.0 times the scalelength but followed by an upbending, shallower outer region. A few galaxies have even a more complex surface brightness distribution. The shape of the profiles correlates with Hubble type. Downbending breaks are more frequent in later Hubble types while the fraction of upbendi",
hubble_morphology,Physical parameters along the Hubble sequence Roberts Haynes 1994,1,SciPy 1.0: fundamental algorithms for scientific computing in Python,2020,Pauli Virtanen; Ralf Gommers; Travis E. Oliphant; Matt Haberland; Tyler Reddy; David Cournapeau,Nature Methods,37330,https://doi.org/10.1038/s41592-019-0686-2,https://openalex.org/W3003257820,"SciPy is an open-source scientific computing library for the Python programming language. Since its initial release in 2001, SciPy has become a de facto standard for leveraging scientific algorithms in Python, with over 600 unique code contributors, thousands of dependent packages, over 100,000 dependent repositories and millions of downloads per year. In this work, we provide an overview of the capabilities and development practices of SciPy 1.0 and highlight some recent technical developments.",
hubble_morphology,Physical parameters along the Hubble sequence Roberts Haynes 1994,2,SciPy 1.0: fundamental algorithms for scientific computing in Python,2019,Pauli Virtanen; Ralf Gommers; Travis E. Oliphant; Matt Haberland; Tyler Reddy; David Cournapeau,Monash University Research Portal (Monash University),11586,https://doi.org/10.17863/cam.64134,https://openalex.org/W3103145119,"Abstract: SciPy is an open-source scientific computing library for the Python programming language. Since its initial release in 2001, SciPy has become a de facto standard for leveraging scientific algorithms in Python, with over 600 unique code contributors, thousands of dependent packages, over 100,000 dependent repositories and millions of downloads per year. In this work, we provide an overview of the capabilities and development practices of SciPy 1.0 and highlight some recent technical developments.",
hubble_morphology,Physical parameters along the Hubble sequence Roberts Haynes 1994,3,Galaxy Zoo 2: detailed morphological classifications for 304 122 galaxies from the Sloan Digital Sky Survey,2013,Kyle Willett; Chris Lintott; S. P. Bamford; Karen L. Masters; Brooke Simmons; Kevin Casteels,Monthly Notices of the Royal Astronomical Society,643,https://doi.org/10.1093/mnras/stt1458,https://openalex.org/W2023037133,"We present the data release for Galaxy Zoo 2 (GZ2), a citizen science project with more than 16 million morphological classifications of 304 122 galaxies drawn from the Sloan Digital Sky Survey (SDSS). Morphology is a powerful probe for quantifying a galaxy's dynamical history; however, automatic classifications of morphology (either by computer analysis of images or by using other physical parameters as proxies) still have drawbacks when compared to visual inspection. The large number of images available in current surveys makes visual inspection of each galaxy impractical for individual astronomers. GZ2 uses classifications from volunteer citizen scientists to measure morphologies for all galaxies in the DR7 Legacy survey with mr &gt; 17, in addition to deeper images from SDSS Stripe 82. While the original GZ2 project identified galaxies as early-types, late-types or mergers, GZ2 measures finer morphological features. These include bars, bulges and the shapes of edge-on disks, as wel",
morphology_density,Galaxy Morphology and Density Dressler 1980,1,"Profiles of dark haloes: evolution, scatter and environment",2001,James S. Bullock; Tsafrir Kolatt; Yair Sigad; Rachel S. Somerville; Andrey V. Kravtsov; A. A. Klypin,Monthly Notices of the Royal Astronomical Society,2327,https://doi.org/10.1046/j.1365-8711.2001.04068.x,https://openalex.org/W2023344562,"We study dark matter halo density profiles in a high-resolution N-body simulation of a LCDM cosmology. Our statistical sample contains ,5000 haloes in the range 10 11 10 14 h 21 M ( Y and the resolution allows a study of subhaloes inside host haloes. The profiles are parametrized by an NFW form with two parameters, an inner radius r s and a virial radius R vir , and we define the halo concentration c vir ; R vir ar s X First, we find that, for a given halo mass, the redshift dependence of the median concentration is c vir G 1 1 z 21 X This corresponds to r s z , constantY and is contrary to earlier suspicions that c vir does not vary much with redshift. The implications are that high-redshift galaxies are predicted to be more extended and dimmer than expected before. Secondly, we find that the scatter in halo profiles is large, with a 1s Dlog c vir 0X18 at a given mass, corresponding to a scatter in maximum rotation velocities of DV max aV max 0X12X We discuss implications for modellin",
morphology_density,Galaxy Morphology and Density Dressler 1980,2,The formation of galactic discs,1998,H. J. Mo; Shude Mao; S. D. M. White,Monthly Notices of the Royal Astronomical Society,2164,https://doi.org/10.1046/j.1365-8711.1998.01227.x,https://openalex.org/W2170924363,"We study the population of galactic discs expected in current hierarchical clustering models for structure formation. A rotationally supported disc with exponential surface density profile is assumed to form with a mass and angular momentum which are fixed fractions of those of its surrounding dark halo. We assume that haloes respond adiabatically to disc formation, and that only stable discs can correspond to real systems. With these assumptions the predicted population can match both present-day discs and the damped Lyα absorbers in QSO spectra. Good agreement is found provided that: (i) the masses of discs are a few per cent of those of their haloes; (ii) the specific angular momenta of discs are similar to those of their haloes; (iii) present-day discs were assembled recently (at z ≤ 1). In particular, the observed scatter in the size—rotation velocity plane is reproduced, as are the slope and scatter of the Tully—Fisher (TF) relation. The zero-point of the TF relation is matched f",
morphology_density,Galaxy Morphology and Density Dressler 1980,3,The reversal of the star formation-density relation in the distant universe,2007,D. Elbaz; E. Daddi; D. Le Borgne; Mark Dickinson; D. M. Alexander; Ranga‐Ram Chary,Astronomy and Astrophysics,1598,https://doi.org/10.1051/0004-6361:20077525,https://openalex.org/W1985952407,"Aims.We study the relationship between the local environment of galaxies and their star formation rate (SFR) in the Great Observatories Origins Deep Survey, GOODS, at .",
