sample,f_star_c,log10_sigma_c,f_gas_c,RHI_Rd_c,k_star,k_sigma,k_gas,k_HI,activation_mse,spearman_A_pred_A_inferred,rank_score
reference_87,0.25,7.8,0.7,8.0,14.0,6.0,12.0,0.75,0.2945075359420791,0.11424202423534331,0.29108027521501884
reference_87,0.25,7.8,0.7,8.0,14.0,6.0,12.0,1.5,0.303732342388864,0.12644113897907708,0.29993910821949166
reference_87,0.25,7.8,0.7,8.0,8.0,6.0,12.0,0.75,0.3054433867395512,0.09611598110196529,0.30255990730649224
reference_87,0.25,7.8,0.7,8.0,14.0,6.0,6.0,0.75,0.30797408895788353,0.0903329101975066,0.30526410165195833
reference_87,0.25,7.8,0.7,8.0,14.0,3.0,12.0,0.75,0.30988683500092545,0.08962321327059125,0.3071981386028077
reference_87,0.25,7.8,0.7,8.0,8.0,6.0,12.0,1.5,0.3131605656072932,0.11832757681461264,0.30961073830285485
reference_87,0.25,7.8,0.7,8.0,14.0,6.0,6.0,1.5,0.31322390692156715,0.11812617633535288,0.30968012163150654
reference_87,0.25,7.8,0.7,8.0,14.0,3.0,12.0,1.5,0.3152052013953769,0.12263371087116645,0.31152619006924187
reference_87,0.25,7.8,0.7,8.0,8.0,6.0,6.0,0.75,0.3178575921316538,0.09079325415010032,0.3151337945071508
reference_87,0.25,7.8,0.7,8.0,8.0,6.0,6.0,1.5,0.3219481798831823,0.11241982942299313,0.3185755850004925
reference_87,0.25,7.8,0.7,8.0,8.0,3.0,12.0,0.75,0.3213021411268731,0.083955228354281,0.3187834842762447
reference_87,0.35,7.8,0.7,8.0,14.0,6.0,12.0,0.75,0.3238580026372992,0.09504184521257995,0.32100674728092177
reference_87,0.25,7.8,0.7,8.0,8.0,3.0,12.0,1.5,0.3255805802572337,0.11788641386004364,0.3220439878414324
reference_87,0.25,7.8,0.7,8.0,14.0,3.0,6.0,0.75,0.32493765328950397,0.08172064208439896,0.322486034026972
reference_87,0.25,7.8,0.7,8.0,14.0,3.0,6.0,1.5,0.3272559083426784,0.12070602056968024,0.32363472772558805
reference_87,0.35,7.8,0.7,8.0,8.0,6.0,12.0,0.75,0.3296998670924629,0.09026577670442,0.3269918937913303
reference_87,0.35,7.8,0.7,8.0,14.0,6.0,12.0,1.5,0.33318593482618614,0.11136487453163252,0.32984498859023714
reference_87,0.25,7.8,0.7,8.0,8.0,3.0,6.0,0.75,0.3349619024912473,0.08047387721279094,0.3325476861748636
reference_87,0.25,7.8,0.7,8.0,8.0,3.0,6.0,1.5,0.33646689271581054,0.12038953410227206,0.3328552066927424
reference_87,0.35,7.8,0.7,8.0,8.0,6.0,12.0,1.5,0.33654921598678067,0.1079602473822414,0.3333104085653134
clean_86_quarantine_UGC07125,0.25,7.8,0.7,8.0,14.0,6.0,12.0,0.75,0.2976215170897784,0.09308243900621808,0.29482904391959186
clean_86_quarantine_UGC07125,0.25,7.8,0.7,8.0,14.0,6.0,12.0,1.5,0.3070022201826696,0.1122420817898,0.3036349577289756
clean_86_quarantine_UGC07125,0.25,7.8,0.7,8.0,8.0,6.0,12.0,0.75,0.30871385466757245,0.07688726847056315,0.30640723661345554
clean_86_quarantine_UGC07125,0.25,7.8,0.7,8.0,14.0,6.0,6.0,0.75,0.3113009692840283,0.07096827186815856,0.30917192112798353
clean_86_quarantine_UGC07125,0.25,7.8,0.7,8.0,14.0,3.0,12.0,0.75,0.3131577047843993,0.06502937947885515,0.31120682340003364
clean_86_quarantine_UGC07125,0.25,7.8,0.7,8.0,8.0,6.0,12.0,1.5,0.3165758953583816,0.10406491337437718,0.31345394795715026
clean_86_quarantine_UGC07125,0.25,7.8,0.7,8.0,14.0,6.0,6.0,1.5,0.31667397724444807,0.10511939008001565,0.3135203955420476
clean_86_quarantine_UGC07125,0.25,7.8,0.7,8.0,14.0,3.0,12.0,1.5,0.31858370295657024,0.10558694107213837,0.31541609472440607
clean_86_quarantine_UGC07125,0.25,7.8,0.7,8.0,8.0,6.0,6.0,0.75,0.3213428908729934,0.07223165433623485,0.3191759412429063
clean_86_quarantine_UGC07125,0.25,7.8,0.7,8.0,8.0,6.0,6.0,1.5,0.32554937597970646,0.09877263405928602,0.3225861969579279
clean_86_quarantine_UGC07125,0.25,7.8,0.7,8.0,8.0,3.0,12.0,0.75,0.32473118859708666,0.06166699149295135,0.3228811788522981
clean_86_quarantine_UGC07125,0.35,7.8,0.7,8.0,14.0,6.0,12.0,0.75,0.32724329491684084,0.07316675632048028,0.3250482922272264
clean_86_quarantine_UGC07125,0.25,7.8,0.7,8.0,8.0,3.0,12.0,1.5,0.3291110819122419,0.10222455308623457,0.32604434531965487
clean_86_quarantine_UGC07125,0.25,7.8,0.7,8.0,14.0,3.0,6.0,0.75,0.32843285538110895,0.06063241057421173,0.3266138830638826
clean_86_quarantine_UGC07125,0.25,7.8,0.7,8.0,14.0,3.0,6.0,1.5,0.3308363441014105,0.10643251201533903,0.32764336874095035
