f_star_c,k_star,log10_sigma_c,k_sigma,f_gas_c,k_gas,RHI_Rd_c,k_HI,drive_power,A0,lambda_seed,lambda_feedback,lambda_reservoir,disturbance_weight,failed_weight,n_steps,tau_final,n_primary_fit,n_mature_control,primary_fit_rmse,primary_fit_spearman,primary_cv_rmse,primary_cv_spearman,train_fit_rmse,train_fit_spearman,m37_static_primary_rmse,m37_static_primary_spearman,mature_control_median_A_pred,mature_control_fraction_A_pred_gt_0p5,ugc07125_A_pred,rank_score
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.35,0.1,4.0,4.0,0.5,0.4,0.4,80,1.0,41,46,0.3517568056977246,-0.42508613772804,,,0.3517568056977246,-0.42508613772804,0.5117710280218454,-0.3627661375280108,0.9971340129808922,1.0,0.8427145490592466,0.3645093898295658
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.35,0.1,4.0,10.0,0.5,0.4,0.4,80,1.0,41,46,0.3519066408420171,-0.4337613650286122,,,0.3519066408420171,-0.4337613650286122,0.5117710280218454,-0.3627661375280108,0.9987708940792855,1.0,0.9285715761626003,0.3649194817928755
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.35,0.1,4.0,0.0,0.5,0.4,0.4,80,1.0,41,46,0.35263830929692436,-0.42313863772178906,,,0.35263830929692436,-0.42313863772178906,0.5117710280218454,-0.3627661375280108,0.9763499239801003,1.0,0.7147875808028124,0.365332468428578
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.35,0.1,4.0,10.0,1.25,0.4,0.4,80,1.0,41,46,0.35512851910769083,-0.43747931958600034,,,0.35512851910769083,-0.43747931958600034,0.5117710280218454,-0.3627661375280108,0.99693214412583,1.0,0.8403207516515261,0.36825289869527084
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.35,0.05,4.0,4.0,0.5,0.4,0.4,80,1.0,41,46,0.35696803719103226,-0.42508613772804,,,0.35696803719103226,-0.42508613772804,0.5117710280218454,-0.3627661375280108,0.9970540845741991,1.0,0.8371103657830078,0.3697206213228735
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.35,0.05,4.0,10.0,0.5,0.4,0.4,80,1.0,41,46,0.3570920360292825,-0.4337613650286122,,,0.3570920360292825,-0.4337613650286122,0.5117710280218454,-0.3627661375280108,0.9987704672321167,1.0,0.9269474852309234,0.3701048769801409
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.35,0.05,4.0,0.0,0.5,0.4,0.4,80,1.0,41,46,0.3581279591889837,-0.4188895467990598,,,0.3581279591889837,-0.4188895467990598,0.5117710280218454,-0.3627661375280108,0.9752886107303212,1.0,0.7075852330847453,0.3706946455929555
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.35,0.05,4.0,10.0,1.25,0.4,0.4,80,1.0,41,46,0.3586409380909683,-0.43747931958600034,,,0.3586409380909683,-0.43747931958600034,0.5117710280218454,-0.3627661375280108,0.9969317143785112,1.0,0.8388002154819185,0.3717653176785483
0.25,8.0,8.0,4.0,0.75,8.0,7.0,1.0,0.35,0.1,4.0,10.0,0.5,0.4,0.4,80,1.0,41,46,0.36399681470588297,-0.29194795548252306,,,0.36399681470588297,-0.29194795548252306,0.5117710280218454,-0.3627661375280108,0.9942101813592482,0.9782608695652174,0.885914069360923,0.37275525337035864
0.25,8.0,8.0,4.0,0.75,8.0,7.0,1.0,0.35,0.1,4.0,4.0,0.5,0.4,0.4,80,1.0,41,46,0.3645397020339485,-0.2830956827268371,,,0.3645397020339485,-0.2830956827268371,0.5117710280218454,-0.3627661375280108,0.9874113647071765,0.9782608695652174,0.7680757741781805,0.3730325725157536
