galaxy_name,dataset,A_inferred,A_pred,A_class,f_star,f_gas,log10_Sigma_b,RHI_Rd,alpha_BTFR,BTFR_offset_dex,v_obs,v_newton,v_bdvr_full,analog_score,analog_tier,data_completeness,missing_fields,notes,passes_direct_analog_rule,T,Vflat,e_Vflat,Rdisk,RHI,Inc,D,Ref,M_baryon_Msun,M_star_Msun,M_gas_Msun,Rdisk_kpc,A_implied,A_gov,maturity_class,log10_velocity_error_full_bdvr,log_j_obs_target,base_pred_oof,log_j_pred_oof,residual_before,residual_after,velocity_fractional_error,bdvr_overprediction_dex,angular_residual_abs,gas_rich_flag,low_stellar_flag,diffuse_flag,hi_extended_flag,severe_underrotation_flag,measurement_contamination_flag,failed_stalled_indicator_bundle,taxonomy_stage,boundary_stage,true_falsifier_followup_required,classification_reason,claim_boundary,followup_priority_rank,recommended_followup,Vflat_m36,v_newton_km_s,v_no_governor_km_s,log10_error_no_governor,A_inferred_m36,RHI_over_Rdisk,log10_Sigma_b_m36,quarantine_flag,clean_scalar_sample,A_inferred_m37,RHI_Rd_m37,m37_primary_test_set,m37_primary_fit_set,mature_control_set,class_gas_rich_low_surface_brightness_dwarf,class_hi_dominated_weak_stellar_disk,class_failed_stalled_or_low_efficiency_system,class_systems_with_unsettled_or_extended_hi,class_strong_approach_recede_mismatch,m37_candidate_classes,asymmetry_index,warp_index,approach_recede_mismatch_km_s,S_HI_disturbance,class_disturbed_or_unsettled_hi_system,A_pred_M37,governor_activation_residual,m38_primary_fit_set,m38_mature_control_set,A_target_m38,G_star,G_sigma,G_gas_drive,G_HI_drive,G_settled_HI,D_m38_drive,R_m38_reservoir,seed_term_final,feedback_term_final,reservoir_loss_final,dA_dtau_initial,dA_dtau_final,A_pred_m38_feedback,m38_feedback_residual,A_pred_m38_feedback_cv,D_unsettled_m39,A_flip_m39,D_unsettled_cv_m39,A_flip_cv_m39,target_activation,low_stellar_fraction,low_surface_density,gas_rich_flag_m39,hi_extended_flag_m39,failed_stalled_flag,disturbed_flag,disturbed_or_unsettled_hi_flag,approach_recede_mismatch_norm,hi_disturbance_norm,relative_vflat_error
UGC07125,SPARC,0.185688488795864,0.0435397194440794,low,0.1804974862131068,0.8195025137868931,8.019775262749231,6.816568047337278,0.3886403773950502,-0.2052260404052944,65.2,79.83207120362623,105.83065726999256,0.8314867616137389,strong direct analog,1.0,,passes direct low-activation gas-rich UGC07125 analog rule,True,9.0,65.2,2.1,3.38,23.04,90.0,19.8,"Sw09,Sw02",7512569999.999999,1356000000.0,6156569999.999999,3.38,0.0,0.0012464777138904,juvenile,0.210363897624577,2.644194291673556,2.818465336724585,2.815242419570846,0.1742710450510287,0.1710481278972899,0.0322085889570552,0.210363897624577,0.1710481278972899,True,True,True,True,True,False,True,failed_stalled,True,False,"gas-rich, low-stellar, diffuse/H I-extended, and severely under-rotating; not a juvenile prototype but a failed/stalled boundary-object candidate",boundary-object interpretation; resolved H I and stellar-population follow-up required,2,"high: H I surface-density map, depletion time, stellar age/metallicity, environment/tidal history",65.2,48.95943874317568,111.27246923349932,0.2321401297980161,0.185688488795864,6.816568047337278,8.019775262749231,True,False,0.185688488795864,6.816568047337278,True,True,False,True,True,True,True,False,failed_stalled_or_low_efficiency_system;gas_rich_low_surface_brightness_dwarf;hi_dominated_weak_stellar_disk;systems_with_unsettled_or_extended_hi;ugc07125_quarantine_failed_stalled,,,,,False,0.2549507836184513,0.0692622948225873,True,False,0.185688488795864,0.3644688285491541,0.5197649580843101,0.3644688285491543,0.994422557867074,1.0,0.3916016932932388,0.695865526828381,0.1118859668959714,0.2597353215776717,0.323080474522124,1.7274143434781557,0.0485408139515191,0.9285715761626004,0.7428830873667364,0.9285715761626004,0.9285715761626004,0.07142842383739956,0.9285715761626004,0.07142842383739956,0.185688488795864,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.032208588957055216
DDO161,SPARC,0.5612513207542514,0.0064130968715015,low,0.1300587637772103,0.8699412362227897,8.352711411437879,8.762295081967213,0.7588720887275076,-0.0599157101031501,66.3,70.36667605242577,77.01354161757533,0.8756824571372407,strong direct analog,1.0,,passes direct low-activation gas-rich UGC07125 analog rule,True,10.0,66.3,1.9,1.22,10.69,70.0,7.5,Co00,2106740000.0,274000000.0,1832740000.0,1.22,0.0,0.0006633249648438,juvenile,0.0650535673224326,2.2089033547435024,2.2399573941819453,2.237293608361037,0.0310540394384428,0.0283902536175344,0.028657616892911,0.0650535673224326,0.0283902536175344,True,True,True,True,False,False,True,juvenile_forming,True,False,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,juvenile/forming candidate only; not an age determination,4,medium: check whether gas converts and disk settles in matched analogs,66.3,37.7305709729956,81.96995774448564,0.0921411828030931,0.5612513207542514,8.762295081967213,8.352711411437879,False,True,0.5612513207542514,8.762295081967213,True,True,False,True,True,True,True,False,failed_stalled_or_low_efficiency_system;gas_rich_low_surface_brightness_dwarf;hi_dominated_weak_stellar_disk;systems_with_unsettled_or_extended_hi,,,,,False,0.1289156334829633,-0.432335687271288,True,False,0.5612513207542514,0.2769723286453938,0.8038992899069731,0.2769723286453937,0.9622287842001134,1.0,0.3721118186870691,0.6919175954380379,0.1148848203259685,0.2650437782713706,0.3192561962964329,1.639907304319909,0.0606724023009063,0.9228156601345536,0.3615643393803021,0.9228156601345536,0.9228156601345536,0.07718433986544637,0.9228156601345536,0.07718433986544637,0.5612513207542514,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02865761689291101
NGC3741,SPARC,1.0,7.312383347047777e-09,low,0.0546746856205576,0.9453253143794424,9.008101881468578,21.0,1.2429440357042696,0.0472257873570314,50.1,44.93781360356508,46.87494092727479,0.5999999951250777,control/non-analog,1.0,,does not pass all direct UGC07125 analog criteria,False,10.0,50.1,2.1,0.2,4.2,70.0,3.21,"Ge07,Bm05",256060000.0,14000000.0,242060000.0,0.2,1.0,0.0001596685608424,juvenile,-0.0288969924375985,1.3018977171952082,1.2783763114774476,1.3067669838092717,-0.0235214057177606,0.0048692666140632,0.0419161676646706,-0.0288969924375985,0.0048692666140632,True,True,False,True,False,False,True,juvenile_forming,True,False,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,juvenile/forming candidate only; not an age determination,4,medium: check whether gas converts and disk settles in matched analogs,50.1,22.07515500846917,49.39173079144892,-0.006183480835373,1.0,21.0,9.008101881468578,False,True,1.0,21.0,True,True,False,False,True,True,True,False,failed_stalled_or_low_efficiency_system;hi_dominated_weak_stellar_disk;systems_with_unsettled_or_extended_hi,,,,,False,0.0004826002979339,-0.999517399702066,True,False,1.0,0.1732735201783544,0.9825773421482278,0.1732735201783544,0.0001233945759862,1.0,0.0124851718436174,0.9419368179713452,0.0445755835200497,0.0119718333652084,0.0505959080501343,0.0090864323977114,0.0059515088351238,0.1074295156210222,-0.8925704843789778,0.0983198485722879,0.1074295156210222,0.8925704843789778,0.0983198485722879,0.9016801514277121,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.041916167664670656
NGC1003,SPARC,0.6959850040662326,8.211010760609518e-07,low,0.3036401196751674,0.6963598803248326,8.838563604646323,20.701863354037265,0.9014757763671736,-0.0225229693745119,109.8,115.6445870046507,119.39278955280356,0.5612609372865386,control/non-analog,1.0,,does not pass all direct UGC07125 analog criteria,False,6.0,109.8,4.2,1.61,33.33,67.0,11.4,"Sa96,Br92",11230400000.0,3410000000.0,7820400000.0,1.61,0.0,0.0267371588548037,transition,0.0363757592757086,2.548458211809904,2.552314671017809,2.571826146517468,0.0038564592079048,0.0233679347075637,0.0382513661202185,0.0363757592757087,0.0233679347075637,True,True,False,True,False,False,True,juvenile_forming,True,False,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,juvenile/forming candidate only; not an age determination,4,medium: check whether gas converts and disk settles in matched analogs,109.8,51.73760015693882,127.09452762483886,0.0635245111991767,0.6959850040662326,20.701863354037265,8.838563604646323,False,True,0.6959850040662326,20.701863354037265,True,True,False,False,False,True,True,False,failed_stalled_or_low_efficiency_system;systems_with_unsettled_or_extended_hi,,,,,False,0.0089541099384785,-0.6870308941277541,True,False,0.6959850040662326,0.6056637416521519,0.9662438763039224,0.6056637416521518,0.0001662480486556,1.0,0.0330831810378288,0.7930395469639946,0.1065098532549241,0.0519597515927081,0.077375259854727,0.1092223373220301,0.0810943449929053,0.195135942844071,-0.5008490612221617,0.195135942844071,0.195135942844071,0.804864057155929,0.195135942844071,0.804864057155929,0.6959850040662326,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03825136612021858
F583-1,SPARC,0.8682175583963055,0.0232359213782838,low,0.1484680387161279,0.8515319612838721,7.97721007350196,6.63135593220339,1.0123124902547902,0.0026572976770827,85.8,63.5173621461452,86.29146602759424,0.5410771823579804,control/non-analog,1.0,,does not pass all direct UGC07125 analog criteria,False,9.0,85.8,3.6,2.36,15.65,63.0,35.4,"KN08,dB96",3320580000.0,493000000.0,2827580000.0,2.36,0.9752101366470044,0.0005827180184611,juvenile,0.0024805595421997,2.6074292864827933,2.564239805913379,2.5594826985929324,-0.0431894805694144,-0.0479465878898608,0.0419580419580419,0.0024805595421997,0.0479465878898608,True,True,True,True,False,False,True,juvenile_forming,True,False,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,juvenile/forming candidate only; not an age determination,4,medium: check whether gas converts and disk settles in matched analogs,85.8,38.38134396818512,90.8593865700958,0.0248825125352315,0.8682175583963055,6.63135593220339,7.97721007350196,False,True,0.8682175583963055,6.63135593220339,True,True,False,True,True,True,True,False,failed_stalled_or_low_efficiency_system;gas_rich_low_surface_brightness_dwarf;hi_dominated_weak_stellar_disk;systems_with_unsettled_or_extended_hi,,,,,False,0.1707595201932076,-0.6974580382030979,True,False,0.8682175583963055,0.3074100301830841,0.4772258425966434,0.3074100301830841,0.995361172728118,1.0,0.3374809404576149,0.7219823198643944,0.1272560616461079,0.2881493767032935,0.3269608579248153,1.4825651160660474,0.0884445804245861,0.9057309270017204,0.0375133686054147,0.6667926384177467,0.9057309270017204,0.09426907299827958,0.6667926384177467,0.3332073615822533,0.8682175583963055,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04195804195804196
UGC00731,SPARC,0.695472852986707,0.003772238845685,low,0.0629676272316467,0.9370323727683532,7.887419657901373,5.030434782608697,0.8406734729760171,-0.037686328154091,73.3,56.54642622698138,80.89620714811328,0.5163283381799222,control/non-analog,1.0,,does not pass all direct UGC07125 analog criteria,False,10.0,73.3,2.3,2.3,11.57,57.0,12.5,"Sw09,Sw02",2564810000.0,161500000.0,2403310000.0,2.3,0.6500113464725119,7.572788737090526e-05,juvenile,0.0428241853733737,2.527861806322702,2.5092097096227843,2.5054126334341675,-0.0186520966999177,-0.0224491728885345,0.0313778990450204,0.0428241853733737,0.0224491728885345,True,True,True,True,False,False,True,juvenile_forming,True,False,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,juvenile/forming candidate only; not an age determination,4,medium: check whether gas converts and disk settles in matched analogs,73.3,41.24389948244591,83.55044525791908,0.0568447940412088,0.695472852986707,5.030434782608697,7.887419657901373,False,True,0.695472852986707,5.030434782608697,True,True,False,True,True,True,False,False,failed_stalled_or_low_efficiency_system;gas_rich_low_surface_brightness_dwarf;hi_dominated_weak_stellar_disk,,,,,False,0.0422529289556852,-0.6532199240310218,True,False,0.695472852986707,0.1829841463673163,0.3892843605528792,0.1829841463673165,0.9990608213463265,1.0,0.2188467163280745,0.7777976893519258,0.1871133282716739,0.3677949640900877,0.3057719894856376,0.9459203390087392,0.2491363028761239,0.7862507016198828,0.0907778486331757,0.7862507016198828,0.7862507016198828,0.21374929838011725,0.7862507016198828,0.21374929838011725,0.695472852986707,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03137789904502046
NGC3109,SPARC,1.0,0.010146868549035,low,0.1326205548187747,0.8673794451812253,7.679731828746212,3.846153846153846,1.284051745442076,0.0542912627648367,66.2,36.66567030775728,59.11593785206482,0.49323542096731,control/non-analog,1.0,,does not pass all direct UGC07125 analog criteria,False,9.0,66.2,2.6,1.56,6.0,70.0,1.33,"Be91,JC90",731410000.0,97000000.0,634410000.0,1.56,1.0,0.0001894390324243,juvenile,-0.049153405545554,2.3150125834581425,2.2547797035702453,2.2529755901346267,-0.0602328798878972,-0.0620369933235158,0.039274924471299,-0.049153405545554,0.0620369933235158,True,True,True,False,False,False,True,juvenile_forming,True,False,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,juvenile/forming candidate only; not an age determination,4,medium: check whether gas converts and disk settles in matched analogs,66.2,28.69695893521396,60.60114657567701,-0.0383771483298666,1.0,3.846153846153846,7.679731828746212,False,True,1.0,3.846153846153846,True,True,False,True,True,True,False,False,failed_stalled_or_low_efficiency_system;gas_rich_low_surface_brightness_dwarf;hi_dominated_weak_stellar_disk,,,,,False,0.0983467170151232,-0.9016532829848768,True,False,1.0,0.281095195835566,0.2173676841786667,0.281095195835566,0.9997124557335912,1.0,0.2410859630374277,0.769083414897354,0.173604314884091,0.3558787545353934,0.3153152593128079,1.0464326629235572,0.2141678101066764,0.8199767494788368,-0.1800232505211632,0.8199767494788368,0.8199767494788368,0.1800232505211632,0.8199767494788368,0.1800232505211632,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03927492447129909
F563-1,SPARC,1.0,0.0324358567060734,low,0.1827172347575612,0.8172827652424388,7.825364083305407,6.667613636363636,1.3262571525907416,0.0613138695469941,109.9,65.1305564828556,96.56543030573992,0.4713223078323438,control/non-analog,1.0,,does not pass all direct UGC07125 analog criteria,False,9.0,109.9,12.5,3.52,23.47,25.0,48.9,"KN08,dB96",5207500000.0,951500000.0,4256000000.0,3.52,1.0,0.0008343350747125,juvenile,-0.0561760123277115,2.888570351565603,2.7880828871044847,2.784573445569549,-0.1004874644611182,-0.1039969059960537,0.113739763421292,-0.0561760123277114,0.1039969059960537,True,True,True,True,False,True,True,juvenile_forming,True,False,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,juvenile/forming candidate only; not an age determination,4,medium: check whether gas converts and disk settles in matched analogs,109.9,39.94093214180925,101.53141101041533,-0.0343972706855351,1.0,6.667613636363636,7.825364083305407,False,True,1.0,6.667613636363636,True,True,False,True,True,True,True,False,failed_stalled_or_low_efficiency_system;gas_rich_low_surface_brightness_dwarf;hi_dominated_weak_stellar_disk;systems_with_unsettled_or_extended_hi,,,,,False,0.2253205449743728,-0.7746794550256271,True,False,1.0,0.3685919495214657,0.3321351947044699,0.3685919495214657,0.9951907168948276,1.0,0.3375277752593916,0.7223748592381096,0.1272957042833886,0.2882339590770893,0.3271327446406627,1.482756245705357,0.0883969187198152,0.9057146451239744,-0.0942853548760256,0.6667850918780072,0.9057146451239744,0.09428535487602563,0.6667850918780072,0.33321490812199284,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.11373976342129208
UGCA442,SPARC,1.0,0.0205722859795942,low,0.1667500416875104,0.8332499583124896,7.681088205881671,3.703389830508475,1.230238055437714,0.0449945785487826,56.4,31.938647562480995,51.45438392407321,0.4527850593052497,control/non-analog,1.0,,does not pass all direct UGC07125 analog criteria,False,9.0,56.4,2.1,1.18,4.37,64.0,4.35,Co00,419790000.00000006,70000000.0,349790000.00000006,1.18,1.0,0.0003923017470508,juvenile,-0.0398567213295,2.124191106953449,2.090106477509606,2.0890728139031443,-0.0340846294438428,-0.0351182930503046,0.0372340425531914,-0.0398567213295,0.0351182930503046,True,True,True,False,False,False,True,juvenile_forming,True,False,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,juvenile/forming candidate only; not an age determination,4,medium: check whether gas converts and disk settles in matched analogs,56.4,24.37060796040097,52.88903485530941,-0.0279134621078221,1.0,3.703389830508475,7.681088205881671,False,True,1.0,3.703389830508475,True,True,False,True,True,True,False,False,failed_stalled_or_low_efficiency_system;gas_rich_low_surface_brightness_dwarf;hi_dominated_weak_stellar_disk,,,,,False,0.1543790741188626,-0.8456209258811374,True,False,1.0,0.3393931602782622,0.2182920813508152,0.3393931602782622,0.999750701478758,1.0,0.2754974318834654,0.7485309063302965,0.1536258684332548,0.3305230933755843,0.3220899620235624,1.2023118981590797,0.1620589997852767,0.8605922863028374,-0.1394077136971626,0.8605922863028374,0.8605922863028374,0.13940771369716265,0.8605922863028374,0.13940771369716265,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037234042553191495
UGC06446,SPARC,0.969156290976066,0.0851379254116923,low,0.2121929323430996,0.7878070676569003,8.222443629281738,6.932885906040268,1.1096668479966292,0.0225963057023995,82.2,66.93393602930357,78.96113258769162,0.390499813674686,control/non-analog,1.0,,does not pass all direct UGC07125 analog criteria,False,7.0,82.2,4.3,1.49,10.33,51.0,12.0,"VS01,SV98",2328070000.0,494000000.0,1834070000.0,1.49,1.0,0.0032777883689771,juvenile,-0.0174584484831169,2.389088081616306,2.3521716138700715,2.3477916884979453,-0.0369164677462343,-0.0412963931183605,0.0523114355231143,-0.0174584484831169,0.0412963931183605,True,True,True,True,False,False,True,juvenile_forming,True,False,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,juvenile/forming candidate only; not an age determination,4,medium: check whether gas converts and disk settles in matched analogs,82.2,40.203556426106985,83.18917299910873,0.0051949893670559,0.969156290976066,6.932885906040268,8.222443629281738,False,True,0.969156290976066,6.932885906040268,True,True,False,True,True,True,True,False,failed_stalled_or_low_efficiency_system;gas_rich_low_surface_brightness_dwarf;hi_dominated_weak_stellar_disk;systems_with_unsettled_or_extended_hi,,,,,False,0.3654710854918066,-0.6036852054842594,True,False,0.969156290976066,0.4249570713604118,0.7088436386249122,0.424957071360412,0.9937388719167136,1.0,0.485936471528676,0.6465037612509407,0.0955801566619312,0.2272004422237066,0.3073565593223321,2.154388933816495,0.0154240395633057,0.950826824975057,-0.018329466001009,0.78145280563761,0.950826824975057,0.049173175024943006,0.78145280563761,0.21854719436239,0.969156290976066,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.052311435523114354
