galaxy_name,taxonomy_stage,priority_score,reason,recommended_next_data,A_flip_m39,D_unsettled_m39,target_activation,contamination_flags
F568-V1,juvenile_forming,1.0063252976508268,large inverse-rank residual,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding curve split, outer endpoint reliability",0.032674702349173246,0.9673252976508268,1.0,measurement_contamination
F563-V2,juvenile_forming,1.0035906043242533,gas-rich; large inverse-rank residual,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding curve split, outer endpoint reliability",0.03308349516116704,0.966916504838833,1.0,measurement_contamination
UGC07603,juvenile_forming,0.9818459618383509,extended H I; large inverse-rank residual,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding curve split, outer endpoint reliability",0.02570292323883605,0.974297076761164,1.0,hi_extended
UGC08490,juvenile_forming,0.9765380518837063,gas-rich; extended H I; large inverse-rank residual,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding curve split, outer endpoint reliability",0.035433624087582216,0.9645663759124178,1.0,hi_extended
NGC6946,disturbed_or_measurement_contaminated,0.9745790840699879,resolved H I disorder proxy; extended H I,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding curve split, outer endpoint reliability",0.014962845955079351,0.9850371540449206,0.7301681133883909,hi_disturbed;approach_recede_mismatch;hi_disturbance;hi_extended
UGC07399,juvenile_forming,0.9699433468791153,large inverse-rank residual,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding curve split, outer endpoint reliability",0.03390131331505941,0.9660986866849406,1.0,none_available
UGC04278,juvenile_forming,0.9583282952321411,gas-rich; large inverse-rank residual,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding curve split, outer endpoint reliability",0.04797367413328557,0.9520263258667144,1.0,none_available
D631-7,juvenile_forming,0.9531719477678783,gas-rich; large inverse-rank residual,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding curve split, outer endpoint reliability",0.05244330353194837,0.9475566964680516,1.0,none_available
F563-1,juvenile_forming,0.9449157814876107,gas-rich; extended H I; large inverse-rank residual,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding curve split, outer endpoint reliability",0.09428535487602563,0.9057146451239744,1.0,measurement_contamination;hi_extended
UGC06446,juvenile_forming,0.9267799513011451,gas-rich; extended H I; large inverse-rank residual,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding curve split, outer endpoint reliability",0.049173175024943006,0.950826824975057,0.969156290976066,hi_extended
NGC7331,disturbed_or_measurement_contaminated,0.8971825178330223,resolved H I disorder proxy,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding curve split, outer endpoint reliability",0.008275230933889821,0.9917247690661102,0.6529781202223786,hi_disturbed;approach_recede_mismatch;hi_disturbance
UGC00128,juvenile_forming,0.8938717928564057,non-mature inverse-rank follow-up,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding curve split, outer endpoint reliability",0.037689223962018015,0.962310776037982,0.9289624089297926,none_available
NGC5585,juvenile_forming,0.8841528869349045,extended H I,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding curve split, outer endpoint reliability",0.02336513550686481,0.9766348644931352,0.9035639477886522,hi_extended
UGC08550,juvenile_forming,0.8781460914576978,gas-rich; extended H I,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding curve split, outer endpoint reliability",0.058272026325381976,0.941727973674618,0.925304421239436,hi_extended
UGCA442,juvenile_forming,0.8650603714092203,gas-rich,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding curve split, outer endpoint reliability",0.13940771369716265,0.8605922863028374,1.0,none_available
UGC01281,juvenile_forming,0.8643119152934882,gas-rich,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding curve split, outer endpoint reliability",0.08157071033058039,0.9184292896694196,0.9382739299718946,none_available
NGC3109,juvenile_forming,0.8246897404153927,gas-rich,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding curve split, outer endpoint reliability",0.1800232505211632,0.8199767494788368,1.0,none_available
