galaxy_name,taxonomy_stage,m39_rank_inversion_residual,target_contamination_score,recommended_followup,D_unsettled_m39,A_activation_flip_m39,A_target_m39,quarantine_flag
F563-V2,juvenile_forming,-0.9351116892567132,0.42857142857142855,"resolved H I velocity field, inclination audit, outer-curve endpoint reliability, SFR/SFE/depletion time, and environment/tidal check",0.9351116892567132,0.06488831074328683,1.0,False
F568-V1,juvenile_forming,-0.9358986842280618,0.2857142857142857,"resolved H I velocity field, inclination audit, outer-curve endpoint reliability, SFR/SFE/depletion time, and environment/tidal check",0.9358986842280618,0.06410131577193823,1.0,False
UGC04278,juvenile_forming,-0.8968187255146262,0.14285714285714285,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding velocity split, and outer endpoint reliability",0.8968187255146262,0.10318127448537384,1.0,False
UGC08550,juvenile_forming,-0.801762966556064,0.14285714285714285,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding velocity split, and outer endpoint reliability",0.876458545316628,0.12354145468337197,0.925304421239436,False
UGC07603,juvenile_forming,-0.9523174364504176,0.0,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding velocity split, and outer endpoint reliability",0.9523174364504176,0.047682563549582446,1.0,False
UGC07399,juvenile_forming,-0.9327568134582642,0.0,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding velocity split, and outer endpoint reliability",0.9327568134582642,0.06724318654173578,1.0,False
UGC08490,juvenile_forming,-0.9313168939546372,0.0,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding velocity split, and outer endpoint reliability",0.9313168939546372,0.06868310604536276,1.0,False
D631-7,juvenile_forming,-0.8862798013445741,0.0,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding velocity split, and outer endpoint reliability",0.8862798013445741,0.11372019865542593,1.0,False
UGC06446,juvenile_forming,-0.863687465274621,0.0,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding velocity split, and outer endpoint reliability",0.894531174298555,0.105468825701445,0.969156290976066,False
NGC5585,juvenile_forming,-0.8608118096700716,0.0,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding velocity split, and outer endpoint reliability",0.9572478618814194,0.042752138118580585,0.9035639477886522,False
UGC00128,juvenile_forming,-0.8515731406267186,0.0,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding velocity split, and outer endpoint reliability",0.922610731696926,0.07738926830307402,0.9289624089297926,False
F563-1,juvenile_forming,-0.7982177580273739,0.42857142857142855,"resolved H I velocity field, inclination audit, outer-curve endpoint reliability, SFR/SFE/depletion time, and environment/tidal check",0.7982177580273739,0.20178224197262606,1.0,False
NGC6946,true_falsifier_candidate,-0.6997026094068547,0.42857142857142855,"resolved H I velocity field, inclination audit, outer-curve endpoint reliability, SFR/SFE/depletion time, and environment/tidal check",0.9695344960184638,0.030465503981536246,0.7301681133883909,False
UGC10310,disturbed_or_measurement_contaminated,-0.581951017299195,0.42857142857142855,"resolved H I velocity field, inclination audit, outer-curve endpoint reliability, SFR/SFE/depletion time, and environment/tidal check",0.9386387062464124,0.061361293753587565,0.6433123110527825,False
UGC01230,disturbed_or_measurement_contaminated,-0.5193020783858304,0.42857142857142855,"resolved H I velocity field, inclination audit, outer-curve endpoint reliability, SFR/SFE/depletion time, and environment/tidal check",0.9211053155929432,0.07889468440705683,0.5981967627928872,False
NGC5055,true_falsifier_candidate,-0.34958825819833295,0.42857142857142855,"resolved H I velocity field, inclination audit, outer-curve endpoint reliability, SFR/SFE/depletion time, and environment/tidal check",0.9445893747503736,0.055410625249626366,0.4049988834479593,False
UGC07125,failed_stalled,-0.028403037855110586,0.42857142857142855,"resolved H I velocity field, inclination audit, outer-curve endpoint reliability, SFR/SFE/depletion time, and environment/tidal check",0.8427145490592466,0.1572854509407534,0.185688488795864,True
NGC3198,true_falsifier_candidate,-0.7303205828142418,0.2857142857142857,"resolved H I velocity field, inclination audit, outer-curve endpoint reliability, SFR/SFE/depletion time, and environment/tidal check",0.9651184296667707,0.03488157033322925,0.7652021531474711,False
NGC0100,failed_stalled,-0.7080932486231777,0.2857142857142857,"resolved H I velocity field, inclination audit, outer-curve endpoint reliability, SFR/SFE/depletion time, and environment/tidal check",0.95067273549769,0.04932726450230995,0.7574205131254876,False
NGC7331,disturbed_or_measurement_contaminated,-0.6356259222473154,0.2857142857142857,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding velocity split, and outer endpoint reliability",0.9826478020249368,0.017352197975063155,0.6529781202223786,False
DDO064,juvenile_forming,-0.6154231418510587,0.2857142857142857,"resolved H I velocity field, inclination audit, outer-curve endpoint reliability, SFR/SFE/depletion time, and environment/tidal check",0.8840348362269889,0.11596516377301114,0.7313883056240699,False
UGC05721,juvenile_forming,-0.32942936528549205,0.2857142857142857,"resolved H I velocity field, inclination audit, outer-curve endpoint reliability, SFR/SFE/depletion time, and environment/tidal check",0.3294293652854921,0.670570634714508,1.0,False
UGC01281,juvenile_forming,-0.7573196189322752,0.14285714285714285,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding velocity split, and outer endpoint reliability",0.8190456889603805,0.18095431103961945,0.9382739299718946,False
NGC1090,true_falsifier_candidate,-0.6592946965427349,0.14285714285714285,"resolved H I velocity field, inclination audit, outer-curve endpoint reliability, SFR/SFE/depletion time, and environment/tidal check",0.9981267547347478,0.0018732452652522324,0.6611679418079871,False
UGC06667,juvenile_forming,-0.6441705025157599,0.14285714285714285,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding velocity split, and outer endpoint reliability",0.6441705025157599,0.3558294974842401,1.0,False
