galaxy_name,source_type,dataset,taxonomy_stage,quality_class,measurement_unreliable_flag,velocity_target_reliability_score,contamination_reasons,quarantine_flag,clean_scalar_sample,m40_direct_row,A_target,A_pred_m38_feedback,A_pred_m38_feedback_cv,A_activation_flip_m39,A_activation_flip_cv_m39,f_star,f_gas,RHI_Rd,Inc,Vflat,e_Vflat,recommended_next_label
NGC5055,direct_sparc_m36_m39,SPARC,true_falsifier_candidate,measurement_contaminated_or_unreliable_velocity_target,True,0.2,severe under-rotation/endpoint tension; approach/recede mismatch available; H I asymmetry index available; H I warp index available; H I disturbance score available,False,True,True,0.4049988834479593,0.9445893747503736,0.9762583044497024,0.0554106252496263,0.0237416955502975,0.830635017923709,0.1693649820762909,10.95625,55.0,179.0,4.9,resolved H I asymmetry/warp and approaching-receding split
NGC3198,direct_sparc_m36_m39,SPARC,true_falsifier_candidate,measurement_contaminated_or_unreliable_velocity_target,True,0.2,severe under-rotation/endpoint tension; approach/recede mismatch available; H I asymmetry index available; H I warp index available; H I disturbance score available,False,True,True,0.7652021531474711,0.9651184296667707,0.8940069706335532,0.0348815703332292,0.1059930293664468,0.569708176180754,0.430291823819246,11.35668789808917,73.0,150.1,3.9,resolved H I asymmetry/warp and approaching-receding split
NGC4559,direct_sparc_m36_m39,SPARC,true_falsifier_candidate,measurement_contaminated_or_unreliable_velocity_target,True,0.84,severe under-rotation/endpoint tension,False,True,True,0.6428376682942409,0.994375820570823,0.9680157540295276,0.005624179429177,0.0319842459704724,0.5562627137766096,0.4437372862233905,10.076190476190476,67.0,121.2,5.1,resolved H I asymmetry/warp and approaching-receding split
UGC09133,direct_sparc_m36_m39,SPARC,true_falsifier_candidate,measurement_contaminated_or_unreliable_velocity_target,True,0.84,severe under-rotation/endpoint tension,False,True,True,0.4767803589538333,0.9981343162029768,0.9992359345361018,0.0018656837970232,0.0007640654638981,0.7608718569655787,0.2391281430344212,8.658536585365853,53.0,226.8,4.2,resolved H I asymmetry/warp and approaching-receding split
NGC6946,direct_sparc_m36_m39,SPARC,true_falsifier_candidate,measurement_contaminated_or_unreliable_velocity_target,True,0.2,severe under-rotation/endpoint tension; approach/recede mismatch available; H I asymmetry index available; H I warp index available; H I disturbance score available,False,True,True,0.7301681133883909,0.9695344960184638,0.8536244075677379,0.0304655039815362,0.146375592432262,0.8143848024495663,0.1856151975504337,8.709016393442623,38.0,158.9,10.9,resolved H I asymmetry/warp and approaching-receding split
NGC4088,direct_sparc_m36_m39,SPARC,true_falsifier_candidate,measurement_contaminated_or_unreliable_velocity_target,True,0.84,severe under-rotation/endpoint tension,False,True,True,0.4597920095678989,0.99871883692658,0.9995293000414974,0.0012811630734199,0.0004706999585025,0.8305981179736397,0.1694018820263602,8.624031007751938,69.0,171.7,6.9,resolved H I asymmetry/warp and approaching-receding split
NGC1090,direct_sparc_m36_m39,SPARC,true_falsifier_candidate,measurement_contaminated_or_unreliable_velocity_target,True,0.84,severe under-rotation/endpoint tension,False,True,True,0.6611679418079871,0.9981267547347478,0.9801081265923968,0.0018732452652522,0.0198918734076032,0.7551270976014745,0.2448729023985255,8.637393767705383,64.0,164.4,3.7,resolved H I asymmetry/warp and approaching-receding split
NGC5371,direct_sparc_m36_m39,SPARC,true_falsifier_candidate,measurement_contaminated_or_unreliable_velocity_target,True,0.84,severe under-rotation/endpoint tension,False,True,True,0.1229344705079685,0.9989297709155236,0.982592825258719,0.0010702290844764,0.0174071747412809,0.919653485596212,0.080346514403788,4.036290322580645,53.0,209.5,3.9,measurement-quality audit before activation modeling
NGC0801,direct_sparc_m36_m39,SPARC,true_falsifier_candidate,measurement_contaminated_or_unreliable_velocity_target,True,0.84,severe under-rotation/endpoint tension,False,True,True,0.6044754277243196,0.9984144971620064,0.9993947765650888,0.0015855028379936,0.0006052234349112,0.8351130393642101,0.1648869606357899,5.159403669724771,80.0,220.1,6.2,resolved H I asymmetry/warp and approaching-receding split
DDO161,direct_sparc_m36_m39,SPARC,failed_stalled,measurement_contaminated_or_unreliable_velocity_target,True,0.84,severe under-rotation/endpoint tension,False,True,True,0.5612513207542514,0.8299125613602398,0.5780027655280296,0.1700874386397601,0.4219972344719703,0.1300587637772103,0.8699412362227897,8.762295081967213,70.0,66.3,1.9,resolved H I asymmetry/warp and approaching-receding split
