stratum,axis,n,has_direct_activation_target,rmse,spearman,median_target_activation,median_score,rank_signal_interpretation
clean_juvenile_failed_candidates,m38_original_full,15,True,0.27102491305964665,-0.003764616262105213,0.969156290976066,0.894531174298555,tests whether negative rank signal survives in cleaner physical onset candidates
clean_juvenile_failed_candidates,m39_activation_flip_full,15,True,0.756359033920983,0.003764616262105213,0.969156290976066,0.105468825701445,tests whether negative rank signal survives in cleaner physical onset candidates; flip sign alone is not validation
clean_juvenile_failed_candidates,m38_original_cv,15,True,0.2863654562412092,-0.1844661968431555,0.969156290976066,0.8442607131180682,tests whether negative rank signal survives in cleaner physical onset candidates; out-of-fold where available
clean_juvenile_failed_candidates,m39_activation_flip_cv,15,True,0.7457606010278308,0.1844661968431555,0.969156290976066,0.1557392868819318,tests whether negative rank signal survives in cleaner physical onset candidates; out-of-fold flip is algebraic unless RMSE/object behavior supports it
measurement_contaminated_candidates,m38_original_full,26,True,0.3908191255878479,-0.4698279428915301,0.6785764729371099,0.9355051867423875,tests whether negative rank signal is observational/target-quality driven
measurement_contaminated_candidates,m39_activation_flip_full,26,True,0.6198873132925216,0.4698279428915301,0.6785764729371099,0.0644948132576125,tests whether negative rank signal is observational/target-quality driven; flip sign alone is not validation
measurement_contaminated_candidates,m38_original_cv,26,True,0.42368786666635894,-0.6063738384463891,0.6785764729371099,0.8956475178861847,tests whether negative rank signal is observational/target-quality driven; out-of-fold where available
measurement_contaminated_candidates,m39_activation_flip_cv,26,True,0.5733185238955445,0.6063738384463891,0.6785764729371099,0.1043524821138153,tests whether negative rank signal is observational/target-quality driven; out-of-fold flip is algebraic unless RMSE/object behavior supports it
mature_controls,m38_original_full,46,True,0.16469689093852574,-0.0783586650541605,1.0,0.9971340129808921,control stratum; mature velocity law is unchanged
mature_controls,m39_activation_flip_full,46,True,0.9084591920623856,0.0783586650541605,1.0,0.0028659870191078,control stratum; mature velocity law is unchanged; flip sign alone is not validation
mature_controls,m38_original_cv,0,True,,,,,control stratum; mature velocity law is unchanged; out-of-fold where available
mature_controls,m39_activation_flip_cv,0,True,,,,,control stratum; mature velocity law is unchanged; out-of-fold flip is algebraic unless RMSE/object behavior supports it
external_proxy_rows,external_proxy_score,78,False,,,,0.6087478921829488,external proxy prioritization only; proxy rows lack direct activation targets and cannot decide direct rank RMSE/Spearman
