priority_rank,object_name,source_type,m40_stratum,formation_state_pred,testability_class,A_activation_pred,expected_missing_signature,recommended_observation,falsification_condition
1,UGC07125,direct_sparc_m36_m41,measurement_contaminated_candidates,measurement_limited_activation_unknown,measurement_limited,0.21716692563208492,high H I asymmetry or unsettled geometry; low rotation-field coherence; low SFE or long depletion time; weak stellar disk relative to H I; A/R mismatch or endpoint ambiguity,"resolved H I velocity field, rotation-field coherence map, SFR/SFE/depletion measurement, inclination and outer Vflat endpoint audit","Falsified if resolved H I is regular, SFE/depletion is normal, inclination is stable, and the outer endpoint is reliable while activation remains weak."
2,DDO064,direct_sparc_m36_m41,measurement_contaminated_candidates,measurement_limited_activation_unknown,measurement_limited,0.3881940167937394,high H I asymmetry or unsettled geometry; low rotation-field coherence; low SFE or long depletion time; weak stellar disk relative to H I; A/R mismatch or endpoint ambiguity,"resolved H I velocity field, rotation-field coherence map, SFR/SFE/depletion measurement, inclination and outer Vflat endpoint audit","Falsified if resolved H I is regular, SFE/depletion is normal, inclination is stable, and the outer endpoint is reliable while activation remains weak."
2,F563-1,direct_sparc_m36_m41,measurement_contaminated_candidates,measurement_limited_activation_unknown,measurement_limited,0.2502867269305656,high H I asymmetry or unsettled geometry; low rotation-field coherence; low SFE or long depletion time; weak stellar disk relative to H I; A/R mismatch or endpoint ambiguity,"resolved H I velocity field, rotation-field coherence map, SFR/SFE/depletion measurement, inclination and outer Vflat endpoint audit","Falsified if resolved H I is regular, SFE/depletion is normal, inclination is stable, and the outer endpoint is reliable while activation remains weak."
2,F563-V2,direct_sparc_m36_m41,measurement_contaminated_candidates,measurement_limited_activation_unknown,measurement_limited,0.395282367321336,high H I asymmetry or unsettled geometry; low rotation-field coherence; low SFE or long depletion time; weak stellar disk relative to H I; A/R mismatch or endpoint ambiguity,"resolved H I velocity field, rotation-field coherence map, SFR/SFE/depletion measurement, inclination and outer Vflat endpoint audit","Falsified if resolved H I is regular, SFE/depletion is normal, inclination is stable, and the outer endpoint is reliable while activation remains weak."
2,F568-V1,direct_sparc_m36_m41,measurement_contaminated_candidates,measurement_limited_activation_unknown,measurement_limited,0.47883946090178486,high H I asymmetry or unsettled geometry; low rotation-field coherence; low SFE or long depletion time; weak stellar disk relative to H I; A/R mismatch or endpoint ambiguity,"resolved H I velocity field, rotation-field coherence map, SFR/SFE/depletion measurement, inclination and outer Vflat endpoint audit","Falsified if resolved H I is regular, SFE/depletion is normal, inclination is stable, and the outer endpoint is reliable while activation remains weak."
2,F579-V1,direct_sparc_m36_m41,mature_controls,measurement_limited_activation_unknown,measurement_limited,0.6223424933914672,high H I asymmetry or unsettled geometry; low rotation-field coherence; low SFE or long depletion time; weak stellar disk relative to H I; A/R mismatch or endpoint ambiguity,"resolved H I velocity field, rotation-field coherence map, SFR/SFE/depletion measurement, inclination and outer Vflat endpoint audit","Falsified if resolved H I is regular, SFE/depletion is normal, inclination is stable, and the outer endpoint is reliable while activation remains weak."
2,NGC0100,direct_sparc_m36_m41,measurement_contaminated_candidates,measurement_limited_activation_unknown,measurement_limited,0.4391246405708367,high H I asymmetry or unsettled geometry; low rotation-field coherence; low SFE or long depletion time; weak stellar disk relative to H I; A/R mismatch or endpoint ambiguity,"resolved H I velocity field, rotation-field coherence map, SFR/SFE/depletion measurement, inclination and outer Vflat endpoint audit","Falsified if resolved H I is regular, SFE/depletion is normal, inclination is stable, and the outer endpoint is reliable while activation remains weak."
2,UGC01230,direct_sparc_m36_m41,measurement_contaminated_candidates,measurement_limited_activation_unknown,measurement_limited,0.27834899940967417,high H I asymmetry or unsettled geometry; low rotation-field coherence; low SFE or long depletion time; weak stellar disk relative to H I; A/R mismatch or endpoint ambiguity,"resolved H I velocity field, rotation-field coherence map, SFR/SFE/depletion measurement, inclination and outer Vflat endpoint audit","Falsified if resolved H I is regular, SFE/depletion is normal, inclination is stable, and the outer endpoint is reliable while activation remains weak."
2,UGC01281,direct_sparc_m36_m41,measurement_contaminated_candidates,measurement_limited_activation_unknown,measurement_limited,0.5187261078315967,high H I asymmetry or unsettled geometry; low rotation-field coherence; low SFE or long depletion time; weak stellar disk relative to H I; A/R mismatch or endpoint ambiguity,"resolved H I velocity field, rotation-field coherence map, SFR/SFE/depletion measurement, inclination and outer Vflat endpoint audit","Falsified if resolved H I is regular, SFE/depletion is normal, inclination is stable, and the outer endpoint is reliable while activation remains weak."
2,UGC04278,direct_sparc_m36_m41,measurement_contaminated_candidates,measurement_limited_activation_unknown,measurement_limited,0.5047850977065425,high H I asymmetry or unsettled geometry; low rotation-field coherence; low SFE or long depletion time; weak stellar disk relative to H I; A/R mismatch or endpoint ambiguity,"resolved H I velocity field, rotation-field coherence map, SFR/SFE/depletion measurement, inclination and outer Vflat endpoint audit","Falsified if resolved H I is regular, SFE/depletion is normal, inclination is stable, and the outer endpoint is reliable while activation remains weak."
