outcome,group,n,mean_A_activation_pred,mean_measurement_uncertainty_penalty,mean_reservoir_disorder_suppression,interpretation
mature_control_status,positive,46,0.838631127390247,0.06956521739130435,0.1954705736715062,independent mature/control outcome; not velocity residual alone
mature_control_status,negative,119,0.3858115612316169,0.0816326530612245,0.5394542132921288,independent mature/control outcome; not velocity residual alone
clean_juvenile_failed_status,positive,15,0.5966171910525764,0.0,0.3989708650104868,independent M40 clean onset-candidate label; not velocity residual alone
clean_juvenile_failed_status,negative,150,0.5035956652048342,0.0860952380952381,0.4480142319699688,independent M40 clean onset-candidate label; not velocity residual alone
measurement_contamination_status,positive,26,0.5329836058549853,0.3736263736263737,0.3849825608236338,independent target-quality outcome from M40
measurement_contamination_status,negative,139,0.5081369344912531,0.023021582733812947,0.4545118790592672,independent target-quality outcome from M40
high_quality_velocity_endpoint_proxy,positive,73,0.758828103922114,0.08023483365949119,0.2629622188284293,independent endpoint-quality/testability proxy
high_quality_velocity_endpoint_proxy,negative,92,0.31624082674129855,0.0767080745341615,0.5868527803932314,independent endpoint-quality/testability proxy
observed_mature_endpoint_deviation,positive,82,0.6945177938944485,0.1547038327526132,0.2945038705102432,compares with observed deviation from mature BDVR endpoint
observed_mature_endpoint_deviation,negative,83,0.33178492225504835,0.0027538726333907054,0.5908118119134058,compares with observed deviation from mature BDVR endpoint
external_proxy_followup_status,positive,78,0.2962146688274891,0.0,0.6179607926306611,external proxy independent follow-up status; not a direct activation fit
external_proxy_followup_status,negative,87,0.7055616491720647,0.148440065681445,0.2871925970742652,external proxy independent follow-up status; not a direct activation fit
