object_name,source_type,m40_stratum,taxonomy_stage,phase_region,stable_activation_score,boundary_distance,quarantine_flag,testability_class,boundary_explanation,f_star,f_gas,log10_Sigma_b,RHI_Rd,rotation_coherence,nearest_boundary_rank
UGC04499,direct_sparc_m36_m41,clean_juvenile_failed_candidates,juvenile_forming,transition,0.5076299168630021,0.007629916863002073,False,testable_direct,"near transition boundary if stable_activation_score is close to the 0.5 threshold; threshold search, not generic classification",0.3465832961143367,0.6534167038856633,8.075782018963324,5.011560693641618,1.0,1
UGC08490,direct_sparc_m36_m41,clean_juvenile_failed_candidates,juvenile_forming,transition,0.4885503287156345,0.011449671284365526,False,testable_direct,"near transition boundary if stable_activation_score is close to the 0.5 threshold; threshold search, not generic classification",0.3468385512584407,0.6531614487415592,8.715834119988067,11.641791044776118,1.0,2
UGC07603,direct_sparc_m36_m41,clean_juvenile_failed_candidates,juvenile_forming,transition,0.4883604111798146,0.011639588820185398,False,testable_direct,"near transition boundary if stable_activation_score is close to the 0.5 threshold; threshold search, not generic classification",0.3539556425801107,0.6460443574198893,8.47847740168307,8.245283018867925,1.0,3
UGC07524,direct_sparc_m36_m41,clean_juvenile_failed_candidates,juvenile_forming,transition,0.4792147639773554,0.020785236022644593,False,testable_direct,"near transition boundary if stable_activation_score is close to the 0.5 threshold; threshold search, not generic classification",0.3398371125563953,0.6601628874436046,7.678044417277685,3.5,1.0,4
UGC07399,direct_sparc_m36_m41,clean_juvenile_failed_candidates,juvenile_forming,transition,0.5333133831719676,0.03331338317196764,False,testable_direct,"near transition boundary if stable_activation_score is close to the 0.5 threshold; threshold search, not generic classification",0.3684227300251776,0.6315772699748223,7.967713857599678,4.786585365853659,1.0,5
D631-7,direct_sparc_m36_m41,clean_juvenile_failed_candidates,juvenile_forming,transition,0.4647355298783699,0.03526447012163009,False,testable_direct,"near transition boundary if stable_activation_score is close to the 0.5 threshold; threshold search, not generic classification",0.2026049204052098,0.7973950795947902,8.196200139001826,0.0,1.0,6
UGC00128,direct_sparc_m36_m41,clean_juvenile_failed_candidates,juvenile_forming,transition,0.5447490595091597,0.04474905950915975,False,testable_direct,"near transition boundary if stable_activation_score is close to the 0.5 threshold; threshold search, not generic classification",0.378148431753646,0.621851568246354,7.85399836854531,5.25546218487395,1.0,7
UGC06667,direct_sparc_m36_m41,measurement_contaminated_candidates,juvenile_forming,measurement_limited,0.5466792656073716,0.04667926560737157,False,measurement_limited,"near transition boundary if stable_activation_score is close to the 0.5 threshold; threshold search, not generic classification",0.3936386639390917,0.6063613360609084,7.027274334924381,1.6679611650485435,0.84,8
UGC08286,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.5598021947161291,0.05980219471612913,False,testable_direct,"near transition boundary if stable_activation_score is close to the 0.5 threshold; threshold search, not generic classification",0.4235972349732678,0.5764027650267323,8.33010214706329,7.685714285714286,0.84,9
NGC3198,direct_sparc_m36_m41,measurement_contaminated_candidates,true_falsifier_candidate,transition,0.5900345256976102,0.09003452569761017,False,testable_direct,"near transition boundary if stable_activation_score is close to the 0.5 threshold; threshold search, not generic classification",0.569708176180754,0.430291823819246,8.734238971292958,11.35668789808917,0.2,10
UGC01281,direct_sparc_m36_m41,measurement_contaminated_candidates,juvenile_forming,measurement_limited,0.4099544602828827,0.09004553971711732,False,measurement_limited,"near transition boundary if stable_activation_score is close to the 0.5 threshold; threshold search, not generic classification",0.3110022554271215,0.6889977445728784,7.531426093961837,3.226993865030675,0.84,11
UGC04278,direct_sparc_m36_m41,measurement_contaminated_candidates,juvenile_forming,measurement_limited,0.40657731624516275,0.09342268375483725,False,measurement_limited,"near transition boundary if stable_activation_score is close to the 0.5 threshold; threshold search, not generic classification",0.3056909504252074,0.6943090495747926,7.842998593983464,4.027149321266968,0.84,12
NGC5585,direct_sparc_m36_m41,clean_juvenile_failed_candidates,juvenile_forming,transition,0.5948771247049807,0.09487712470498066,False,testable_direct,"near transition boundary if stable_activation_score is close to the 0.5 threshold; threshold search, not generic classification",0.3966424880522063,0.6033575119477936,8.401798302775038,7.137254901960784,1.0,13
NGC1003,direct_sparc_m36_m41,measurement_contaminated_candidates,failed_stalled,failed_stalled,0.40313123156153374,0.09686876843846626,False,testable_direct,"near transition boundary if stable_activation_score is close to the 0.5 threshold; threshold search, not generic classification",0.3036401196751674,0.6963598803248326,8.838563604646323,20.701863354037265,0.84,14
NGC5055,direct_sparc_m36_m41,measurement_contaminated_candidates,true_falsifier_candidate,transition,0.5999964561532632,0.09999645615326325,False,testable_direct,"near transition boundary if stable_activation_score is close to the 0.5 threshold; threshold search, not generic classification",0.830635017923709,0.1693649820762909,9.15554991251676,10.95625,0.2,15
NGC6946,direct_sparc_m36_m41,measurement_contaminated_candidates,true_falsifier_candidate,transition,0.6007349851588653,0.10073498515886525,False,testable_direct,"near transition boundary if stable_activation_score is close to the 0.5 threshold; threshold search, not generic classification",0.8143848024495663,0.1856151975504337,9.0358616469088,8.709016393442623,0.2,16
UGCA442,direct_sparc_m36_m41,clean_juvenile_failed_candidates,juvenile_forming,transition,0.39878960162175725,0.10121039837824275,False,testable_direct,"near transition boundary if stable_activation_score is close to the 0.5 threshold; threshold search, not generic classification",0.1667500416875104,0.8332499583124896,7.681088205881671,3.703389830508475,1.0,17
