object_name,source_type,m40_stratum,taxonomy_stage,phase_region_m42,f_star,f_gas,M_star_Msun,M_gas_Msun,M_baryon_Msun,R_d_star_kpc,R_HI_kpc,R_HI_over_Rd,log10_Sigma_b,Sigma_baryon_1Rd,Sigma_baryon_2p2Rd,baryonic_concentration_2p2Rd,composition_maturity,radial_distribution_maturity,dynamical_settling_maturity,star_formation_maturity,shape_symmetry_maturity,baryonic_maturity_score,quality_reliability_separate,maturity_inputs_baryon_only,quarantine_flag,testability_class,measurement_uncertainty_penalty_separate
NGC5055,direct_sparc_m36_m41,measurement_contaminated_candidates,true_falsifier_candidate,transition,0.830635017923709,0.1693649820762909,76461000000.0,15590260000.0,92051260000.0,3.2,35.06,10.95625,9.15554991251676,643212723.2021503,329237137.67164797,0.5568962209550052,0.9999895902707499,0.5190630773577976,0.2,0.5,6.646280419409443e-05,0.4438238260865483,True,True,False,testable_direct,0.2857142857142857
NGC3198,direct_sparc_m36_m41,measurement_contaminated_candidates,true_falsifier_candidate,transition,0.569708176180754,0.430291823819246,19139500000.0,14455770000.000002,33595270000.0,3.14,35.66,11.35668789808917,8.734238971292958,176956555.8256572,93559366.92194091,0.41750691136231033,0.9891717569016492,0.33578751699206905,0.2,0.5,2.7298168894121408e-05,0.4049973144125225,True,True,False,testable_direct,0.2571428571428571
NGC4559,direct_sparc_m36_m41,measurement_contaminated_candidates,true_falsifier_candidate,activated_mature,0.5562627137766096,0.4437372862233905,9688500000.0,7728630000.000001,17417130000.0,2.1,21.16,10.076190476190476,8.798358135563797,205110021.25164384,109428603.64126155,0.42129672963564424,0.9845741493656508,0.33713878942136416,0.84,0.5,0.0004696214852283292,0.5324365120544486,True,True,False,testable_direct,0.2285714285714285
UGC09133,direct_sparc_m36_m41,measurement_contaminated_candidates,true_falsifier_candidate,activated_mature,0.7608718569655787,0.2391281430344212,141463000000.0,44459240000.0,185922240000.0,6.97,60.35,8.658536585365853,8.78468591858822,258847950.625014,134299304.06748867,0.533584505189884,0.9999331109450224,0.45612381018480286,0.84,0.5,0.01084902428170868,0.5613811890823067,True,True,False,testable_direct,0.2285714285714285
NGC6946,direct_sparc_m36_m41,measurement_contaminated_candidates,true_falsifier_candidate,transition,0.8143848024495663,0.1856151975504337,33086500000.0,7541100000.0,40627600000.0,2.44,21.25,8.709016393442623,9.0358616469088,486511974.74534637,250571204.405871,0.5583221780866681,0.9999839441333404,0.5242121705710335,0.2,0.5,0.009708965105843112,0.44678101596204345,True,True,False,testable_direct,0.2857142857142857
NGC4088,direct_sparc_m36_m41,measurement_contaminated_candidates,true_falsifier_candidate,activated_mature,0.8305981179736397,0.1694018820263602,53643000000.0,10940580000.000002,64583580000.0,2.58,22.25,8.624031007751938,9.188702834895674,703024087.0636339,361406545.24850816,0.5663808287955227,0.9999895800226556,0.5460136300752992,0.84,0.5,0.011703523665516394,0.5795413467526942,True,True,False,testable_direct,0.2285714285714285
NGC1090,direct_sparc_m36_m41,measurement_contaminated_candidates,true_falsifier_candidate,activated_mature,0.7551270976014745,0.2448729023985255,36022500000.0,11681390000.0,47703890000.0,3.53,30.49,8.637393767705383,8.784824515769072,257477480.74239224,133706596.41241668,0.531060113452348,0.9999220382859552,0.44977402440739644,0.84,0.5,0.011364988302187733,0.5602122101991078,True,True,False,testable_direct,0.2285714285714285
NGC5371,direct_sparc_m36_m41,measurement_contaminated_candidates,true_falsifier_candidate,activated_mature,0.919653485596212,0.080346514403788,170196500000.0,14869400000.0,185065900000.0,7.44,30.03,4.036290322580645,8.726000664142939,273235126.80449975,139106641.3673942,0.6326486226149709,0.9999990305976103,0.978057756155942,0.84,0.5,0.9968552981407834,0.8629824169788671,True,True,False,testable_direct,0.2285714285714285
NGC0801,direct_sparc_m36_m41,measurement_contaminated_candidates,true_falsifier_candidate,activated_mature,0.8351130393642101,0.1648869606357899,156285000000.0,30857330000.0,187142330000.0,8.72,44.99,5.159403669724771,8.59295919409849,187839043.22101283,97007216.10422343,0.5993219906244107,0.9999907619747962,0.9319924980992141,0.84,0.5,0.9631402580487198,0.8470247036245461,True,True,False,testable_direct,0.2285714285714285
DDO161,direct_sparc_m36_m41,measurement_contaminated_candidates,failed_stalled,transition,0.1300587637772103,0.8699412362227897,274000000.0,1832740000.0,2106740000.0,1.22,10.69,8.762295081967213,8.352711411437879,33828832.84547574,21945683.023156445,0.2357507356630484,0.0007391471105401374,0.2462828416715116,0.84,0.5,0.008634253612883896,0.3191312484789871,True,True,False,testable_direct,0.2285714285714285
