object_name,current_baryonic_state,target_endpoint_class,composition_gap,radial_distribution_gap,dynamical_settling_gap,star_formation_gap,shape_symmetry_gap,HI_extent_gap,total_maturity_gap,dominant_gap_family,required_mature_adjustment
NGC1003,"failed_stalled; f_star=0.304, f_gas=0.696, R_HI/Rd=20.702",mature visible-baryon disk endpoint derived from mature/control rows,0.929575983955229,0.3160451611982021,0.16000000000000003,0.0,0.8775251399841363,2.605740558672676,0.8148144739683739,HI_extent,decrease excessive H I extension relative to the stellar disk or form stars in the organized disk
NGC3741,"transition; f_star=0.055, f_gas=0.945, R_HI/Rd=21.000",mature visible-baryon disk endpoint derived from mature/control rows,0.9998849644355821,0.31565433612679317,0.0,0.0,0.8775251399841489,2.6576684155032457,0.808455476008295,HI_extent,decrease excessive H I extension relative to the stellar disk or form stars in the organized disk
UGC05721,"measurement-limited/quarantine; measurement_limited; f_star=0.262, f_gas=0.738, R_HI/Rd=17.737",mature visible-baryon disk endpoint derived from mature/control rows,0.9755750219850983,0.31562605654380044,0.31999999999999995,0.0,0.8775251399651662,2.0893089123423403,0.7630058551394009,HI_extent,measurement-limited/quarantine; decrease excessive H I extension relative to the stellar disk or form stars in the organized disk
UGC08550,"measurement-limited/quarantine; measurement_limited; f_star=0.274, f_gas=0.726, R_HI/Rd=12.422",mature visible-baryon disk endpoint derived from mature/control rows,0.9668392905270375,0.3212785001480591,0.16000000000000003,0.0,0.8775225825862171,1.1636366605992743,0.581546172310098,HI_extent,measurement-limited/quarantine; decrease excessive H I extension relative to the stellar disk or form stars in the organized disk
UGC08490,"transition; f_star=0.347, f_gas=0.653, R_HI/Rd=11.642",mature visible-baryon disk endpoint derived from mature/control rows,0.8066483874101582,0.317395260651252,0.0,0.0,0.8775106527205851,1.0277053049698164,0.5048766009586353,HI_extent,decrease excessive H I extension relative to the stellar disk or form stars in the organized disk
NGC3198,"transition; f_star=0.570, f_gas=0.430, R_HI/Rd=11.357",mature visible-baryon disk endpoint derived from mature/control rows,0.01081228432558512,0.3131332391397397,0.8,0.0,0.8774978418152682,0.9780475537889859,0.49658181984492983,HI_extent,decrease excessive H I extension relative to the stellar disk or form stars in the organized disk
DDO161,"transition; f_star=0.130, f_gas=0.870, R_HI/Rd=8.762",mature visible-baryon disk endpoint derived from mature/control rows,0.9992448941166941,0.4026379144602972,0.16000000000000003,0.0,0.8688908863712784,0.5261699985062334,0.49282394890908393,composition,increase stellar fraction by converting/retaining organized gas into a stellar disk
NGC0100,"measurement-limited/quarantine; measurement_limited; f_star=0.379, f_gas=0.621, R_HI/Rd=9.855",mature visible-baryon disk endpoint derived from mature/control rows,0.6383108302288141,0.3779202829580474,0.31999999999999995,0.0,0.8767583392516554,0.7165649821466753,0.48825907243086536,shape_symmetry,"measurement-limited/quarantine; measure and decrease H I/stellar lopsidedness, centroid offsets, PA twists, and warps"
NGC5055,"transition; f_star=0.831, f_gas=0.169, R_HI/Rd=10.956",mature visible-baryon disk endpoint derived from mature/control rows,0.0,0.12985767877401122,0.8,0.0,0.8774586771799683,0.9083014084455924,0.452602960733262,HI_extent,decrease excessive H I extension relative to the stellar disk or form stars in the organized disk
UGC07125,"measurement-limited/quarantine; measurement_limited; f_star=0.180, f_gas=0.820, R_HI/Rd=6.817",mature visible-baryon disk endpoint derived from mature/control rows,0.9971529037814774,0.5037398160012486,0.48,0.0,0.48089075047336366,0.18727360232734272,0.44150951209723877,composition,measurement-limited/quarantine; increase stellar fraction by converting/retaining organized gas into a stellar disk
