rank,object_name,phase_region_m42,baryonic_maturity_score,total_maturity_gap,dominant_gap_family,followup_priority,boundary_test
1,NGC1003,failed_stalled,0.3486567304411276,0.8148144739683739,HI_extent,decrease excessive H I extension relative to the stellar disk or form stars in the organized disk,baryonic mature-structure/organization boundary test: does added visible-matter organization move this row toward the mature endpoint?
2,NGC3741,transition,0.3666730993593363,0.808455476008295,HI_extent,decrease excessive H I extension relative to the stellar disk or form stars in the organized disk,baryonic mature-structure/organization boundary test: does added visible-matter organization move this row toward the mature endpoint?
3,UGC05721,measurement_limited,0.3075407437698281,0.7630058551394009,HI_extent,measurement-limited/quarantine; decrease excessive H I extension relative to the stellar disk or form stars in the organized disk,baryonic mature-structure/organization boundary test: does added visible-matter organization move this row toward the mature endpoint?
4,UGC08550,measurement_limited,0.34015791281637836,0.581546172310098,HI_extent,measurement-limited/quarantine; decrease excessive H I extension relative to the stellar disk or form stars in the organized disk,baryonic mature-structure/organization boundary test: does added visible-matter organization move this row toward the mature endpoint?
5,UGC08490,transition,0.40497512731224206,0.5048766009586353,HI_extent,decrease excessive H I extension relative to the stellar disk or form stars in the organized disk,baryonic mature-structure/organization boundary test: does added visible-matter organization move this row toward the mature endpoint?
6,NGC3198,transition,0.4049973144125225,0.49658181984492983,HI_extent,decrease excessive H I extension relative to the stellar disk or form stars in the organized disk,baryonic mature-structure/organization boundary test: does added visible-matter organization move this row toward the mature endpoint?
7,DDO161,transition,0.3191312484789871,0.49282394890908393,composition,increase stellar fraction by converting/retaining organized gas into a stellar disk,baryonic mature-structure/organization boundary test: does added visible-matter organization move this row toward the mature endpoint?
8,NGC0100,measurement_limited,0.36268809698093774,0.48825907243086536,shape_symmetry,"measurement-limited/quarantine; measure and decrease H I/stellar lopsidedness, centroid offsets, PA twists, and warps",baryonic mature-structure/organization boundary test: does added visible-matter organization move this row toward the mature endpoint?
9,NGC5055,transition,0.4438238260865483,0.452602960733262,HI_extent,decrease excessive H I extension relative to the stellar disk or form stars in the organized disk,baryonic mature-structure/organization boundary test: does added visible-matter organization move this row toward the mature endpoint?
10,UGC07125,measurement_limited,0.31292929341742315,0.44150951209723877,composition,measurement-limited/quarantine; increase stellar fraction by converting/retaining organized gas into a stellar disk,baryonic mature-structure/organization boundary test: does added visible-matter organization move this row toward the mature endpoint?
11,F563-1,measurement_limited,0.3322326756312532,0.4210993456145376,composition,measurement-limited/quarantine; increase stellar fraction by converting/retaining organized gas into a stellar disk,baryonic mature-structure/organization boundary test: does added visible-matter organization move this row toward the mature endpoint?
12,UGC07603,transition,0.41267120940567165,0.3998655791397639,shape_symmetry,"measure and decrease H I/stellar lopsidedness, centroid offsets, PA twists, and warps",baryonic mature-structure/organization boundary test: does added visible-matter organization move this row toward the mature endpoint?
13,NGC6946,transition,0.44678101596204345,0.3849025095284748,shape_symmetry,"measure and decrease H I/stellar lopsidedness, centroid offsets, PA twists, and warps",baryonic mature-structure/organization boundary test: does added visible-matter organization move this row toward the mature endpoint?
14,UGC06446,pre_activation,0.4148756418970735,0.35993082612560073,composition,increase stellar fraction by converting/retaining organized gas into a stellar disk,baryonic mature-structure/organization boundary test: does added visible-matter organization move this row toward the mature endpoint?
15,NGC4559,activated_mature,0.5324365120544486,0.3532107823162438,shape_symmetry,"measure and decrease H I/stellar lopsidedness, centroid offsets, PA twists, and warps",baryonic mature-structure/organization boundary test: does added visible-matter organization move this row toward the mature endpoint?
16,F583-1,pre_activation,0.43549393446342377,0.3339957675454622,composition,increase stellar fraction by converting/retaining organized gas into a stellar disk,baryonic mature-structure/organization boundary test: does added visible-matter organization move this row toward the mature endpoint?
17,UGC05005,transition,0.44497762201190316,0.32962754278891143,composition,increase stellar fraction by converting/retaining organized gas into a stellar disk,baryonic mature-structure/organization boundary test: does added visible-matter organization move this row toward the mature endpoint?
