analysis_set,x_metric,y_metric,n,spearman_rho,pearson_r,interpretation,mean_signed_residual,median_signed_residual,mean_abs_residual,fraction_below_mature_endpoint
clean_direct_bridge_rows,baryonic_maturity_score,absolute_mature_endpoint_residual,60,-0.02417338149485969,0.00794089634925702,clean_direct_bridge_rows: negligible negative rank association between baryonic_maturity_score and absolute_mature_endpoint_residual.,,,,
clean_direct_bridge_rows,maturity_gap,absolute_mature_endpoint_residual,60,0.02417338149485969,-0.007940896349257034,clean_direct_bridge_rows: negligible positive rank association between maturity_gap and absolute_mature_endpoint_residual.,,,,
clean_direct_bridge_rows,baryonic_maturity_score,mature_endpoint_residual_log10,60,-0.07918866351764381,-0.09235054278748361,clean_direct_bridge_rows: negligible negative rank association between baryonic_maturity_score and mature_endpoint_residual_log10.,,,,
clean_direct_bridge_rows,maturity_gap,mature_endpoint_residual_log10,60,0.07918866351764381,0.09235054278748361,clean_direct_bridge_rows: negligible positive rank association between maturity_gap and mature_endpoint_residual_log10.,,,,
clean_direct_bridge_rows,composition_gap,mature_endpoint_residual_log10,60,0.1149560294190566,0.07745310357885705,clean_direct_bridge_rows: negligible positive rank association between composition_gap and mature_endpoint_residual_log10.,,,,
clean_direct_bridge_rows,composition_gap,absolute_mature_endpoint_residual,60,-0.05429900181713862,-0.0388519967593053,clean_direct_bridge_rows: negligible negative rank association between composition_gap and absolute_mature_endpoint_residual.,,,,
clean_direct_bridge_rows,HI_extent_gap,mature_endpoint_residual_log10,60,0.0963891474315404,0.010032277856530653,clean_direct_bridge_rows: negligible positive rank association between HI_extent_gap and mature_endpoint_residual_log10.,,,,
clean_direct_bridge_rows,HI_extent_gap,absolute_mature_endpoint_residual,60,-0.2817912303918973,-0.20132942401308407,clean_direct_bridge_rows: weak negative rank association between HI_extent_gap and absolute_mature_endpoint_residual.,,,,
clean_direct_bridge_rows,radial_distribution_gap,absolute_mature_endpoint_residual,60,-0.09200867198893342,-0.08120436136108802,clean_direct_bridge_rows: negligible negative rank association between radial_distribution_gap and absolute_mature_endpoint_residual.,,,,
clean_direct_bridge_rows,dynamical_settling_gap,absolute_mature_endpoint_residual,60,,,clean_direct_bridge_rows: insufficient variation to interpret dynamical_settling_gap vs absolute_mature_endpoint_residual.,,,,
clean_direct_bridge_rows,shape_symmetry_gap,absolute_mature_endpoint_residual,60,-0.2817912303918973,-0.2506779259723404,clean_direct_bridge_rows: weak negative rank association between shape_symmetry_gap and absolute_mature_endpoint_residual.,,,,
clean_direct_bridge_rows,total_maturity_gap,absolute_mature_endpoint_residual,60,-0.101509170288029,-0.16766247558445055,clean_direct_bridge_rows: negligible negative rank association between total_maturity_gap and absolute_mature_endpoint_residual.,,,,
all_direct_rows_with_measurement_limited_flagged,baryonic_maturity_score,absolute_mature_endpoint_residual,87,-0.21620981264124803,-0.22842548959841924,all_direct_rows_with_measurement_limited_flagged: weak negative rank association between baryonic_maturity_score and absolute_mature_endpoint_residual.,,,,
all_direct_rows_with_measurement_limited_flagged,maturity_gap,absolute_mature_endpoint_residual,87,0.21620981264124803,0.22842548959841932,all_direct_rows_with_measurement_limited_flagged: weak positive rank association between maturity_gap and absolute_mature_endpoint_residual.,,,,
