object_name,source_type,m40_stratum,taxonomy_stage,phase_region_m42,f_star,f_gas,R_HI_over_Rd,log10_Sigma_b,baryonic_maturity_score,maturity_gap,composition_maturity,radial_distribution_maturity,dynamical_settling_maturity,star_formation_maturity,shape_symmetry_maturity,composition_gap,radial_distribution_gap,dynamical_settling_gap,star_formation_gap,shape_symmetry_gap,HI_extent_gap,total_maturity_gap,dominant_gap_family,required_mature_adjustment,m36_v_observed_km_s,m36_v_mature_endpoint_km_s,mature_endpoint_residual_log10,absolute_mature_endpoint_residual,endpoint_residual_direction,below_mature_bdvr_endpoint,above_mature_bdvr_endpoint,A_inferred,quarantine_flag,testability_class,measurement_limited_or_quarantined,clean_bridge_support_row,velocity_residual_is_outcome_only,m36_branch_used
UGC07399,direct_sparc_m36_m41,clean_juvenile_failed_candidates,juvenile_forming,transition,0.3684227300251776,0.6315772699748223,4.786585365853659,7.967713857599678,0.6330289390053991,0.36697106099460086,0.2988245066408903,0.3827585235772723,1.0,0.5,0.983561664808833,0.701159534586344,0.2661622325545364,0.0,0.0,0.0,0.0,0.16122029452348,composition,increase stellar fraction by converting/retaining organized gas into a stellar disk,103.0,73.83447925988595,-0.144578008472295,0.144578008472295,below_mature_endpoint,True,False,1.0,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
F571-8,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.6819590824550527,0.3180409175449473,6.896067415730337,7.971196478641222,0.6126857826734706,0.3873142173265294,0.999451660617626,0.2087576683763755,1.0,0.5,0.3552195843733518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mature_control_or_no_dominant_gap,,139.7,110.55042691224978,-0.1016359820825215,0.1016359820825215,below_mature_endpoint,True,False,1.0,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
UGC06614,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.6811008561659592,0.3188991438340408,11.88823529411765,8.747084147182726,0.5211727307388453,0.4788272692611547,0.9994389737215432,0.3564163018647008,0.75,0.5,8.378107982398002e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mature_control_or_no_dominant_gap,,199.8,250.63734314036813,0.0984502943067262,0.0984502943067262,above_mature_endpoint,False,True,0.5475273979459897,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
NGC0024,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.6838210987557938,0.3161789012442063,5.440298507462686,8.401475985917836,0.8388823671276366,0.16111763287236336,0.9994782089602784,0.7616120532748315,1.0,0.5,0.9333215734030734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mature_control_or_no_dominant_gap,,106.3,86.67043277566295,-0.0886622993703862,0.0886622993703862,below_mature_endpoint,True,False,1.0,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
NGC5985,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.8713455360448207,0.1286544639551793,5.634807417974322,8.58874440120979,0.8648495861295309,0.1351504138704691,0.999996484668076,0.923408465288399,1.0,0.5,0.90084298069118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mature_control_or_no_dominant_gap,,293.6,247.0050176965448,-0.0750502755722731,0.0750502755722731,below_mature_endpoint,True,False,1.0,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
ESO563-G021,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.8280175220606345,0.1719824779393654,10.222018348623854,9.00296509376827,0.6044828698899967,0.39551713011000333,0.9999888377225268,0.5220858347573619,1.0,0.5,0.000339676970095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mature_control_or_no_dominant_gap,,314.6,265.774933672242,-0.0732446998489913,0.0732446998489913,below_mature_endpoint,True,False,1.0,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
ESO116-G012,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.5983732945942856,0.4016267054057144,6.344370860927152,8.398523751963339,0.7398864046495368,0.2601135953504632,0.9949288989826236,0.5520547788171177,1.0,0.5,0.6524483454479428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mature_control_or_no_dominant_gap,,109.1,92.59787549913533,-0.0712237279408208,0.0712237279408208,below_mature_endpoint,True,False,1.0,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
UGC04325,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.5290535529628043,0.4709464470371957,3.553763440860215,7.944904053243674,0.818626017301127,0.18137398269887295,0.968646896116833,0.625561621997227,1.0,0.5,0.9989215683915752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mature_control_or_no_dominant_gap,,90.9,77.21289184749469,-0.0708740648707405,0.0708740648707405,below_mature_endpoint,True,False,1.0,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
NGC2841,direct_sparc_m36_m41,mature_controls,mature_or_control,transition,0.8785671753318778,0.1214328246681222,12.395604395604394,9.109249674051874,0.5650572339958594,0.4349427660041406,0.9999971004442962,0.5752863563020789,0.75,0.5,2.7132329218144e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mature_control_or_no_dominant_gap,,284.8,248.00987495300305,-0.0600710115893392,0.0600710115893392,below_mature_endpoint,True,False,1.0,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
NGC4157,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.828384620186985,0.171615379813015,10.383620689655173,9.275328302176332,0.6042582875994432,0.3957417124005568,0.9999889464589224,0.5210652731342665,1.0,0.5,0.000237218404027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mature_control_or_no_dominant_gap,,184.7,211.93960028992663,0.0597452154969878,0.0597452154969878,above_mature_endpoint,False,True,0.5795487478493855,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
UGC03546,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.9343900268783742,0.0656099731216258,4.846965699208443,8.778747279189737,0.8910232106657345,0.10897678933426547,0.9999993456085832,0.9738712677424438,1.0,0.5,0.981245439977646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mature_control_or_no_dominant_gap,,196.9,225.7367528112344,0.0593565573555587,0.0593565573555587,above_mature_endpoint,False,True,0.5752299067797505,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
UGC00731,direct_sparc_m36_m41,clean_juvenile_failed_candidates,juvenile_forming,transition,0.0629676272316467,0.9370323727683532,5.030434782608697,7.887419657901373,0.561442593345331,0.438557406654669,0.0001235957069114,0.3350207235165528,1.0,0.5,0.9720686475031908,0.9998604455203228,0.3139000326152559,0.0,0.0,0.0,0.0,0.2189600796892631,composition,increase stellar fraction by converting/retaining organized gas into a stellar disk,73.3,83.55044525791908,0.0568447940412088,0.0568447940412088,above_mature_endpoint,False,True,0.695472852986707,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
UGC07524,direct_sparc_m36_m41,clean_juvenile_failed_candidates,juvenile_forming,transition,0.3398371125563953,0.6601628874436046,3.5,7.678044417277685,0.6526472915647387,0.34735270843526134,0.1658700066266732,0.5983235534088752,1.0,0.5,0.9990428977881448,0.8341140346005611,0.0505972027229335,0.0,0.0,0.0,0.0,0.1474518728872491,composition,increase stellar fraction by converting/retaining organized gas into a stellar disk,79.5,89.80885136279126,0.0529520132288566,0.0529520132288566,above_mature_endpoint,False,True,0.7140784731274675,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
UGC11914,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.98449977846327,0.0155002215367299,3.795081967213114,9.3089671803468,0.846764851144996,0.153235148855004,0.9999998280083188,0.9856667118773416,0.75,0.5,0.9981577158393196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mature_control_or_no_dominant_gap,,288.1,255.1665290039442,-0.0527195522682522,0.0527195522682522,below_mature_endpoint,True,False,1.0,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
F574-1,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.4108519726174104,0.5891480273825895,3.630044843049328,7.803813527033311,0.7313359798276876,0.2686640201723124,0.5691894098036173,0.5887678842740292,1.0,0.5,0.9987226050607914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mature_control_or_no_dominant_gap,,97.8,110.11177428999484,0.0514949059259186,0.0514949059259186,above_mature_endpoint,False,True,0.7162899142484588,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
UGC04499,direct_sparc_m36_m41,clean_juvenile_failed_candidates,juvenile_forming,transition,0.3465832961143367,0.6534167038856633,5.011560693641618,8.075782018963324,0.6104095968518941,0.3895904031481059,0.1922763006429242,0.3865865197785878,1.0,0.5,0.9731851638379586,0.80770774058431,0.2623342363532209,0.0,0.0,0.0,0.0,0.1783403294895885,composition,increase stellar fraction by converting/retaining organized gas into a stellar disk,72.8,81.40952833469596,0.0485438592494414,0.0485438592494414,above_mature_endpoint,False,True,0.7308090958470224,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
NGC4217,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.9260163936134734,0.0739836063865266,5.680272108843537,8.928420739686862,0.8357118697111886,0.1642881302888114,0.9999991818854262,0.947114499743496,0.84,0.5,0.8914456669270204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mature_control_or_no_dominant_gap,,181.3,202.29379008895256,0.0475847471305848,0.0475847471305848,above_mature_endpoint,False,True,0.6483048725098944,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
