object_name,quarantine_flag,testability_class,m40_stratum,dominant_gap_family,baryonic_maturity_score,maturity_gap,mature_endpoint_residual_log10,absolute_mature_endpoint_residual,endpoint_residual_direction,audit_note
UGC07125,True,measurement_limited,measurement_contaminated_candidates,composition,0.3129292934174231,0.687070706582577,0.2321401297980161,0.2321401297980161,above_mature_endpoint,measurement-limited/quarantined row kept separate from clean bridge support; residual can flag follow-up but cannot establish baryonic-maturity activation.
NGC5371,False,testable_direct,measurement_contaminated_candidates,dynamical_settling,0.8629824169788671,0.13701758302113287,0.1070838237324706,0.1070838237324706,above_mature_endpoint,measurement-limited/quarantined row kept separate from clean bridge support; residual can flag follow-up but cannot establish baryonic-maturity activation.
UGC09133,False,testable_direct,measurement_contaminated_candidates,shape_symmetry,0.5613811890823067,0.4386188109176933,0.099676132669659,0.099676132669659,above_mature_endpoint,measurement-limited/quarantined row kept separate from clean bridge support; residual can flag follow-up but cannot establish baryonic-maturity activation.
NGC5055,False,testable_direct,measurement_contaminated_candidates,HI_extent,0.4438238260865483,0.5561761739134516,0.0943074189278329,0.0943074189278329,above_mature_endpoint,measurement-limited/quarantined row kept separate from clean bridge support; residual can flag follow-up but cannot establish baryonic-maturity activation.
DDO161,False,testable_direct,measurement_contaminated_candidates,composition,0.3191312484789871,0.6808687515210129,0.0921411828030931,0.0921411828030931,above_mature_endpoint,measurement-limited/quarantined row kept separate from clean bridge support; residual can flag follow-up but cannot establish baryonic-maturity activation.
UGC12632,False,testable_direct,measurement_contaminated_candidates,composition,0.5287092091433788,0.4712907908566212,0.086732754937078,0.086732754937078,above_mature_endpoint,measurement-limited/quarantined row kept separate from clean bridge support; residual can flag follow-up but cannot establish baryonic-maturity activation.
UGC01230,False,measurement_limited,measurement_contaminated_candidates,composition,0.4348841170799978,0.5651158829200023,0.0834840693771751,0.0834840693771751,above_mature_endpoint,measurement-limited/quarantined row kept separate from clean bridge support; residual can flag follow-up but cannot establish baryonic-maturity activation.
F563-V2,False,measurement_limited,measurement_contaminated_candidates,composition,0.5167999386600185,0.4832000613399815,-0.08336072170972,0.08336072170972,below_mature_endpoint,measurement-limited/quarantined row kept separate from clean bridge support; residual can flag follow-up but cannot establish baryonic-maturity activation.
NGC4088,False,testable_direct,measurement_contaminated_candidates,shape_symmetry,0.5795413467526942,0.4204586532473058,0.0721205113385047,0.0721205113385047,above_mature_endpoint,measurement-limited/quarantined row kept separate from clean bridge support; residual can flag follow-up but cannot establish baryonic-maturity activation.
UGC10310,False,measurement_limited,measurement_contaminated_candidates,composition,0.5131934801572006,0.48680651984279943,0.0688587219551644,0.0688587219551644,above_mature_endpoint,measurement-limited/quarantined row kept separate from clean bridge support; residual can flag follow-up but cannot establish baryonic-maturity activation.
NGC1003,False,testable_direct,measurement_contaminated_candidates,HI_extent,0.3486567304411276,0.6513432695588723,0.0635245111991767,0.0635245111991767,above_mature_endpoint,measurement-limited/quarantined row kept separate from clean bridge support; residual can flag follow-up but cannot establish baryonic-maturity activation.
NGC4559,False,testable_direct,measurement_contaminated_candidates,shape_symmetry,0.5324365120544486,0.46756348794555136,0.0617213353931001,0.0617213353931001,above_mature_endpoint,measurement-limited/quarantined row kept separate from clean bridge support; residual can flag follow-up but cannot establish baryonic-maturity activation.
UGC04278,False,measurement_limited,measurement_contaminated_candidates,composition,0.5749323628246096,0.4250676371753904,-0.0609026883488162,0.0609026883488162,below_mature_endpoint,measurement-limited/quarantined row kept separate from clean bridge support; residual can flag follow-up but cannot establish baryonic-maturity activation.
UGC05721,False,measurement_limited,measurement_contaminated_candidates,HI_extent,0.3075407437698281,0.6924592562301719,-0.0594481070070641,0.0594481070070641,below_mature_endpoint,measurement-limited/quarantined row kept separate from clean bridge support; residual can flag follow-up but cannot establish baryonic-maturity activation.
NGC1090,False,testable_direct,measurement_contaminated_candidates,shape_symmetry,0.5602122101991078,0.43978778980089217,0.057193011491666,0.057193011491666,above_mature_endpoint,measurement-limited/quarantined row kept separate from clean bridge support; residual can flag follow-up but cannot establish baryonic-maturity activation.
UGC06667,False,measurement_limited,measurement_contaminated_candidates,composition,0.6896714226850748,0.31032857731492525,-0.0552523005256959,0.0552523005256959,below_mature_endpoint,measurement-limited/quarantined row kept separate from clean bridge support; residual can flag follow-up but cannot establish baryonic-maturity activation.
DDO064,False,measurement_limited,measurement_contaminated_candidates,composition,0.5059280154989654,0.4940719845010346,0.0490504596709066,0.0490504596709066,above_mature_endpoint,measurement-limited/quarantined row kept separate from clean bridge support; residual can flag follow-up but cannot establish baryonic-maturity activation.
F568-V1,False,measurement_limited,measurement_contaminated_candidates,composition,0.5615175063115225,0.43848249368847747,-0.0476065183363852,0.0476065183363852,below_mature_endpoint,measurement-limited/quarantined row kept separate from clean bridge support; residual can flag follow-up but cannot establish baryonic-maturity activation.
NGC0801,False,testable_direct,measurement_contaminated_candidates,dynamical_settling,0.8470247036245461,0.15297529637545393,0.0470829068277363,0.0470829068277363,above_mature_endpoint,measurement-limited/quarantined row kept separate from clean bridge support; residual can flag follow-up but cannot establish baryonic-maturity activation.
NGC0100,False,measurement_limited,measurement_contaminated_candidates,shape_symmetry,0.3626880969809377,0.6373119030190624,0.0469457908627941,0.0469457908627941,above_mature_endpoint,measurement-limited/quarantined row kept separate from clean bridge support; residual can flag follow-up but cannot establish baryonic-maturity activation.
