dataset,feature,available_count,total_rows,availability_fraction,tier_implication,feature_role
SPARC,Vflat,87,87,1.0,supports Tier 1 direct endpoint tests,direct endpoint/rotation evidence
SPARC,baryonic_mass_model,87,87,1.0,supports Tier 1 direct endpoint tests,direct baryonic endpoint modeling
SPARC,M_star,87,87,1.0,supports Tier 3 proxy/follow-up selection,stellar mass / maturity composition
SPARC,M_HI,87,87,1.0,supports Tier 3 proxy/follow-up selection,atomic gas content
SPARC,R_d,87,87,1.0,supports Tier 3 proxy/follow-up selection,stellar disk scale
SPARC,R_HI,87,87,1.0,supports Tier 3 proxy/follow-up selection,H I extent
SPARC,HI_velocity_field,0,87,0.0,missing; cannot use for this evidence channel,resolved dynamical organization
SPARC,V_rot_over_sigma,0,87,0.0,missing; cannot use for this evidence channel,dynamical settling
SPARC,AR_mismatch,0,87,0.0,missing; cannot use for this evidence channel,approaching/receding mismatch
SPARC,HI_asymmetry,0,87,0.0,missing; cannot use for this evidence channel,H I morphology/asymmetry
SPARC,SFE,0,87,0.0,missing; cannot use for this evidence channel,star-formation efficiency
SPARC,depletion_time,0,87,0.0,missing; cannot use for this evidence channel,gas consumption timescale
SPARC,molecular_gas,0,87,0.0,missing; cannot use for this evidence channel,H2 content
SPARC,morphology,87,87,1.0,supports Tier 3 proxy/follow-up selection,morphological channel/context
SPARC,quality_flags,87,87,1.0,supports Tier 3 proxy/follow-up selection,measurement reliability separation
LITTLE_THINGS,Vflat,0,41,0.0,missing; cannot use for this evidence channel,direct endpoint/rotation evidence
LITTLE_THINGS,baryonic_mass_model,0,41,0.0,missing; cannot use for this evidence channel,direct baryonic endpoint modeling
LITTLE_THINGS,M_star,0,41,0.0,missing; cannot use for this evidence channel,stellar mass / maturity composition
LITTLE_THINGS,M_HI,0,41,0.0,missing; cannot use for this evidence channel,atomic gas content
LITTLE_THINGS,R_d,0,41,0.0,missing; cannot use for this evidence channel,stellar disk scale
LITTLE_THINGS,R_HI,0,41,0.0,missing; cannot use for this evidence channel,H I extent
LITTLE_THINGS,HI_velocity_field,0,41,0.0,missing; cannot use for this evidence channel,resolved dynamical organization
LITTLE_THINGS,V_rot_over_sigma,0,41,0.0,missing; cannot use for this evidence channel,dynamical settling
LITTLE_THINGS,AR_mismatch,0,41,0.0,missing; cannot use for this evidence channel,approaching/receding mismatch
LITTLE_THINGS,HI_asymmetry,0,41,0.0,missing; cannot use for this evidence channel,H I morphology/asymmetry
LITTLE_THINGS,SFE,0,41,0.0,missing; cannot use for this evidence channel,star-formation efficiency
LITTLE_THINGS,depletion_time,0,41,0.0,missing; cannot use for this evidence channel,gas consumption timescale
LITTLE_THINGS,molecular_gas,0,41,0.0,missing; cannot use for this evidence channel,H2 content
LITTLE_THINGS,morphology,41,41,1.0,supports Tier 3 proxy/follow-up selection,morphological channel/context
LITTLE_THINGS,quality_flags,41,41,1.0,supports Tier 3 proxy/follow-up selection,measurement reliability separation
THINGS,Vflat,8,8,1.0,supports Tier 1 direct endpoint tests,direct endpoint/rotation evidence
THINGS,baryonic_mass_model,8,8,1.0,supports Tier 1 direct endpoint tests,direct baryonic endpoint modeling
THINGS,M_star,8,8,1.0,supports Tier 3 proxy/follow-up selection,stellar mass / maturity composition
THINGS,M_HI,8,8,1.0,supports Tier 3 proxy/follow-up selection,atomic gas content
THINGS,R_d,8,8,1.0,supports Tier 3 proxy/follow-up selection,stellar disk scale
THINGS,R_HI,8,8,1.0,supports Tier 3 proxy/follow-up selection,H I extent
THINGS,HI_velocity_field,8,8,1.0,supports Tier 2 dynamical-organization tests,resolved dynamical organization
THINGS,V_rot_over_sigma,0,8,0.0,missing; cannot use for this evidence channel,dynamical settling
THINGS,AR_mismatch,8,8,1.0,supports Tier 2 dynamical-organization tests,approaching/receding mismatch
THINGS,HI_asymmetry,8,8,1.0,supports Tier 2 dynamical-organization tests,H I morphology/asymmetry
THINGS,SFE,0,8,0.0,missing; cannot use for this evidence channel,star-formation efficiency
THINGS,depletion_time,0,8,0.0,missing; cannot use for this evidence channel,gas consumption timescale
THINGS,molecular_gas,0,8,0.0,missing; cannot use for this evidence channel,H2 content
THINGS,morphology,8,8,1.0,supports Tier 3 proxy/follow-up selection,morphological channel/context
THINGS,quality_flags,8,8,1.0,supports Tier 3 proxy/follow-up selection,measurement reliability separation
WHISP,Vflat,0,0,0.0,missing; cannot use for this evidence channel,direct endpoint/rotation evidence
WHISP,baryonic_mass_model,0,0,0.0,missing; cannot use for this evidence channel,direct baryonic endpoint modeling
WHISP,M_star,0,0,0.0,missing; cannot use for this evidence channel,stellar mass / maturity composition
WHISP,M_HI,0,0,0.0,missing; cannot use for this evidence channel,atomic gas content
WHISP,R_d,0,0,0.0,missing; cannot use for this evidence channel,stellar disk scale
WHISP,R_HI,0,0,0.0,missing; cannot use for this evidence channel,H I extent
WHISP,HI_velocity_field,0,0,0.0,missing; cannot use for this evidence channel,resolved dynamical organization
WHISP,V_rot_over_sigma,0,0,0.0,missing; cannot use for this evidence channel,dynamical settling
