dataset,missing_feature,impact_on_onset_testing,recommended_action,fabricated
SPARC,HI_velocity_field,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
SPARC,AR_mismatch,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
SPARC,HI_asymmetry,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
SPARC,SFE,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
SPARC,depletion_time,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
SPARC,molecular_gas,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
LITTLE_THINGS,Vflat,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
LITTLE_THINGS,baryonic_mass_model,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
LITTLE_THINGS,HI_velocity_field,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
LITTLE_THINGS,AR_mismatch,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
LITTLE_THINGS,HI_asymmetry,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
LITTLE_THINGS,SFE,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
LITTLE_THINGS,depletion_time,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
LITTLE_THINGS,molecular_gas,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
THINGS,SFE,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
THINGS,depletion_time,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
THINGS,molecular_gas,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
WHISP,Vflat,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
WHISP,baryonic_mass_model,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
WHISP,M_star,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
WHISP,M_HI,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
WHISP,R_d,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
WHISP,R_HI,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
WHISP,HI_velocity_field,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
WHISP,V_rot_over_sigma,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
WHISP,AR_mismatch,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
WHISP,HI_asymmetry,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
WHISP,SFE,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
WHISP,depletion_time,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
WHISP,molecular_gas,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
WHISP,morphology,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
WHISP,quality_flags,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
WALLABY_ALFALFA_HI_CATALOGS,Vflat,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
WALLABY_ALFALFA_HI_CATALOGS,baryonic_mass_model,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
WALLABY_ALFALFA_HI_CATALOGS,M_star,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
WALLABY_ALFALFA_HI_CATALOGS,M_HI,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
WALLABY_ALFALFA_HI_CATALOGS,R_d,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
WALLABY_ALFALFA_HI_CATALOGS,R_HI,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
WALLABY_ALFALFA_HI_CATALOGS,HI_velocity_field,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
WALLABY_ALFALFA_HI_CATALOGS,V_rot_over_sigma,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
WALLABY_ALFALFA_HI_CATALOGS,AR_mismatch,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
WALLABY_ALFALFA_HI_CATALOGS,HI_asymmetry,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
WALLABY_ALFALFA_HI_CATALOGS,SFE,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
WALLABY_ALFALFA_HI_CATALOGS,depletion_time,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
WALLABY_ALFALFA_HI_CATALOGS,molecular_gas,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
WALLABY_ALFALFA_HI_CATALOGS,morphology,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
WALLABY_ALFALFA_HI_CATALOGS,quality_flags,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
XGASS_XCOLDGASS,Vflat,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
XGASS_XCOLDGASS,baryonic_mass_model,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
XGASS_XCOLDGASS,HI_velocity_field,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
XGASS_XCOLDGASS,AR_mismatch,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
XGASS_XCOLDGASS,HI_asymmetry,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
MANGA,Vflat,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
MANGA,baryonic_mass_model,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
MANGA,HI_velocity_field,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
MANGA,AR_mismatch,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
MANGA,HI_asymmetry,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
MANGA,SFE,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
MANGA,depletion_time,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
MANGA,molecular_gas,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
ATLAS3D,Vflat,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
ATLAS3D,baryonic_mass_model,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
ATLAS3D,HI_velocity_field,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
ATLAS3D,AR_mismatch,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
