object_name,source_type,m40_stratum,taxonomy_stage,phase_region_m42,split,organization_label_settled,organization_label_score,organization_label_source,composition_indicator,hi_extent_indicator,rotation_coherence_indicator,ar_mismatch_indicator,hi_asymmetry_indicator,sfe_indicator,depletion_time_indicator,shape_symmetry_indicator,f_star,f_gas,R_HI_over_Rd,hi_compactness_proxy,log10_Sigma_b,quality_quarantine_flag,quality_measurement_limited_flag,quality_layer_separate,organization_feature_set,organization_probability,organization_class,sample_tier,model_frozen_before_endpoint_join,endpoint_residual_direction,mature_endpoint_residual_log10,A_inferred,measurement_limited_or_quarantined,quarantine_flag,baryonic_maturity_score,m36_endpoint_residual_log10,activation_class,activation_target_binary,residual_direction_binary,bridge_target_joined_after_freeze
UGC09133,direct_sparc_m36_m41,measurement_contaminated_candidates,true_falsifier_candidate,activated_mature,heldout_tier1_bridge,0,0.5511509909019222,independent_baryon_settling_components_no_endpoint_residuals,0.9999331109450224,0.4561238101848028,0.84,,,0.5,0.5,0.0108490242817086,0.7608718569655787,0.2391281430344212,8.658536585365853,0.10353535353535354,8.78468591858822,False,True,True,f_star;f_gas;hi_compactness_proxy;log10_Sigma_b,0.8339364730305657,settled,Tier 1,True,above_mature_endpoint,0.099676132669659,0.4767803589538333,True,False,0.5613811890823067,0.099676132669659,low_activation,0,1,True
NGC4088,direct_sparc_m36_m41,measurement_contaminated_candidates,true_falsifier_candidate,activated_mature,heldout_tier1_bridge,0,0.5662844556272452,independent_baryon_settling_components_no_endpoint_residuals,0.9999895800226556,0.5460136300752992,0.84,,,0.5,0.5,0.0117035236655163,0.8305981179736397,0.1694018820263602,8.624031007751938,0.10390656463954893,9.188702834895674,False,True,True,f_star;f_gas;hi_compactness_proxy;log10_Sigma_b,0.6605329755834017,settled,Tier 1,True,above_mature_endpoint,0.0721205113385047,0.4597920095678989,True,False,0.5795413467526942,0.0721205113385047,low_activation,0,1,True
NGC5371,direct_sparc_m36_m41,measurement_contaminated_candidates,true_falsifier_candidate,activated_mature,heldout_tier1_bridge,1,0.8024853474823893,independent_baryon_settling_components_no_endpoint_residuals,0.9999990305976104,0.978057756155942,0.84,,,0.5,0.5,0.9968552981407834,0.919653485596212,0.080346514403788,4.036290322580645,0.19855884707766214,8.726000664142939,False,True,True,f_star;f_gas;hi_compactness_proxy;log10_Sigma_b,0.995686800057787,settled,Tier 1,True,above_mature_endpoint,0.1070838237324706,0.1229344705079685,True,False,0.8629824169788671,0.1070838237324706,low_activation,0,1,True
NGC1003,direct_sparc_m36_m41,measurement_contaminated_candidates,failed_stalled,failed_stalled,heldout_tier1_bridge,0,0.3738806087009397,independent_baryon_settling_components_no_endpoint_residuals,0.0704080572720052,0.3328755949336067,0.84,,,0.5,0.5,2.6129271339776828e-14,0.3036401196751674,0.6963598803248326,20.701863354037265,0.04607899255867202,8.838563604646323,False,True,True,f_star;f_gas;hi_compactness_proxy;log10_Sigma_b,0.0023753652458569476,unsettled,Tier 1,True,above_mature_endpoint,0.0635245111991767,0.6959850040662326,True,False,0.3486567304411276,0.0635245111991767,high_activation,1,1,True
NGC0100,direct_sparc_m36_m41,measurement_contaminated_candidates,failed_stalled,measurement_limited,heldout_tier1_bridge,0,0.3855734141507814,independent_baryon_settling_components_no_endpoint_residuals,0.3616732109984201,0.2710004731737613,0.68,,,0.5,0.5,0.000766800732507,0.3791024468060149,0.620897553193985,9.855421686746988,0.09211986681465038,8.391288724537977,False,True,True,f_star;f_gas;hi_compactness_proxy;log10_Sigma_b,0.1026235150884516,unsettled,Tier 1,True,above_mature_endpoint,0.0469457908627941,0.7574205131254876,True,False,0.3626880969809377,0.0469457908627941,high_activation,1,1,True
UGC01230,direct_sparc_m36_m41,measurement_contaminated_candidates,disturbed_or_measurement_contaminated,measurement_limited,heldout_tier1_bridge,0,0.4457367642333315,independent_baryon_settling_components_no_endpoint_residuals,0.0788041826193561,0.2953740817830326,0.52,,,0.5,0.5,0.7802423209976004,0.3082050493856122,0.6917949506143878,6.057603686635945,0.14169115246490369,8.01892589871753,False,True,True,f_star;f_gas;hi_compactness_proxy;log10_Sigma_b,0.3224686290392082,unsettled,Tier 1,True,above_mature_endpoint,0.0834840693771751,0.5981967627928872,True,False,0.4348841170799978,0.0834840693771751,high_activation,1,1,True
NGC3741,direct_sparc_m36_m41,clean_juvenile_failed_candidates,juvenile_forming,transition,heldout_tier1_bridge,0,0.38889424946611356,independent_baryon_settling_components_no_endpoint_residuals,9.90767916522554e-05,0.3332664200050156,1.0,,,0.5,0.5,1.3470879927405862e-14,0.0546746856205576,0.9453253143794424,21.0,0.045454545454545456,9.008101881468578,False,False,True,f_star;f_gas;hi_compactness_proxy;log10_Sigma_b,2.7761201634683404e-05,unsettled,Tier 1,True,near_zero_residual,-0.006183480835373,1.0,False,False,0.3666730993593363,-0.006183480835373,high_activation,1,0,True
F583-1,direct_sparc_m36_m41,clean_juvenile_failed_candidates,juvenile_forming,pre_activation,heldout_tier1_bridge,0,0.4462449453861865,independent_baryon_settling_components_no_endpoint_residuals,0.0012070595997262,0.178244085091432,1.0,,,0.5,0.5,0.4980185276259607,0.1484680387161279,0.8515319612838721,6.63135593220339,0.13103831204886174,7.97721007350196,False,False,True,f_star;f_gas;hi_compactness_proxy;log10_Sigma_b,0.04745300144690179,unsettled,Tier 1,True,above_mature_endpoint,0.0248825125352315,0.8682175583963055,False,False,0.4354939344634237,0.0248825125352315,high_activation,1,1,True
NGC3109,direct_sparc_m36_m41,clean_juvenile_failed_candidates,juvenile_forming,transition,heldout_tier1_bridge,0,0.573996418462721,independent_baryon_settling_components_no_endpoint_residuals,0.0007913648699381,0.4452503865380903,1.0,,,0.5,0.5,0.9979367593682972,0.1326205548187747,0.8673794451812253,3.846153846153846,0.20634920634920637,7.679731828746212,False,False,True,f_star;f_gas;hi_compactness_proxy;log10_Sigma_b,0.30930327743682917,unsettled,Tier 1,True,below_mature_endpoint,-0.0383771483298666,1.0,False,False,0.5887957021552651,-0.0383771483298666,high_activation,1,0,True
F563-1,direct_sparc_m36_m41,measurement_contaminated_candidates,juvenile_forming,measurement_limited,heldout_tier1_bridge,0,0.36019389635937765,independent_baryon_settling_components_no_endpoint_residuals,0.0030032625697791,0.1602703385829763,0.52,,,0.5,0.5,0.4778897770035106,0.1827172347575612,0.8172827652424388,6.667613636363636,0.13041867358280845,7.825364083305407,False,True,True,f_star;f_gas;hi_compactness_proxy;log10_Sigma_b,0.1454598418800514,unsettled,Tier 1,True,below_mature_endpoint,-0.0343972706855351,1.0,True,False,0.3322326756312532,-0.0343972706855351,high_activation,1,0,True
