object_name,O_comp,O_radial,O_rot,O_shape,O_SF,O_disorder,m47_primary_score,quality_quarantine_flag,quality_measurement_limited_flag
NGC5055,0.99998959027075,0.5190630773577976,0.2,6.646280419409443e-05,0.5,0.7404352299190042,0.4438238260865483,False,False
NGC3198,0.9891717569016492,0.335787516992069,0.2,2.7298168894121408e-05,0.5,0.8320925924195184,0.4049973144125224,False,False
NGC4559,0.9845741493656508,0.3371387894213641,0.84,0.0004696214852283,0.5,0.8311957945467038,0.5324365120544486,False,False
UGC09133,0.9999331109450224,0.4561238101848028,0.84,0.0108490242817086,0.5,0.7665135827667443,0.5613811890823067,False,False
NGC6946,0.9999839441333404,0.5242121705710335,0.2,0.0097089651058431,0.5,0.7330394321615616,0.44678101596204345,False,False
NGC4088,0.9999895800226556,0.5460136300752992,0.84,0.0117035236655163,0.5,0.7211414231295923,0.5795413467526942,False,False
NGC1090,0.9999220382859552,0.4497740244073964,0.84,0.0113649883021877,0.5,0.769430493645208,0.5602122101991078,False,False
NGC5371,0.9999990305976104,0.978057756155942,0.84,0.9968552981407834,0.5,0.01254347285163726,0.8629824169788671,False,False
NGC0801,0.9999907619747962,0.931992498099214,0.84,0.9631402580487198,0.5,0.05243362192603307,0.8470247036245461,False,False
DDO161,0.0007391471105401,0.2462828416715116,0.84,0.0086342536128838,0.5,0.8725414523578023,0.3191312484789871,False,False
UGC07125,0.0028311374457569,0.1451809401305601,0.52,0.3966343895107987,0.5,0.7290923351793206,0.31292929341742315,True,True
NGC1003,0.0704080572720052,0.3328755949336067,0.84,2.6129271339776828e-14,0.5,0.8335622025331836,0.3486567304411276,False,False
NGC0100,0.3616732109984201,0.2710004731737613,0.68,0.000766800732507,0.5,0.8641163630468658,0.3626880969809377,False,True
UGC12632,0.0078690427211652,0.3364474610022983,0.84,0.9592295419934306,0.5,0.3521614985021355,0.5287092091433788,False,False
UGC01230,0.0788041826193561,0.2953740817830326,0.52,0.7802423209976004,0.5,0.4621917986096835,0.4348841170799978,False,True
UGC10310,0.2234423058046211,0.3746164023958058,0.52,0.947908692585576,0.5,0.3387374525093091,0.5131934801572007,False,True
NGC3741,9.90767916522554e-05,0.3332664200050156,1.0,1.3470879927405862e-14,0.5,0.8333667899974855,0.3666730993593363,False,False
F583-1,0.0012070595997262,0.178244085091432,1.0,0.4980185276259607,0.5,0.6618686936413036,0.43549393446342377,False,False
UGC00731,0.0001235957069114,0.3350207235165528,1.0,0.9720686475031908,0.5,0.34645531449012823,0.561442593345331,False,False
UGC08550,0.0331447507001966,0.3276422559837497,0.84,2.557397945340476e-06,0.5,0.8361775933091524,0.34015791281637836,False,True
NGC3109,0.0007913648699381,0.4452503865380903,1.0,0.9979367593682972,0.5,0.2784064270468063,0.5887957021552651,False,False
F563-1,0.0030032625697791,0.1602703385829763,0.52,0.4778897770035106,0.5,0.6809199422067566,0.3322326756312532,False,True
UGCA442,0.0019639334466454,0.5024422670130589,1.0,0.9984968159506866,0.5,0.24953045851812727,0.6005806032820782,False,False
UGC06446,0.006567520885839,0.2311011944533517,1.0,0.3367094941461767,0.5,0.7160946557002358,0.4148756418970735,False,False
UGC05721,0.0244090192421359,0.3332946995880083,0.68,1.8996163212039246e-11,0.5,0.8333526501964978,0.3075407437698281,False,True
D631-7,0.0050933659811907,0.4836894257480137,1.0,0.9999995986455908,0.5,0.25815548780319775,0.597756478074959,False,False
DDO064,0.0077783171424357,0.3715034095502309,0.68,0.9703583508021598,0.5,0.3290691198238046,0.5059280154989653,False,True
UGC08490,0.193335653817076,0.3315254954805567,1.0,1.4487263577227492e-05,0.5,0.8342300086279331,0.40497512731224194,False,False
NGC5585,0.474927333448087,0.346863573367087,1.0,0.2437653067864336,0.5,0.7046855599232397,0.5131112427203215,False,False
UGC07603,0.2246639645376594,0.3119505177833128,1.0,0.0267415647073861,0.5,0.8306539587546505,0.41267120940567165,False,False
UGC06667,0.4550028626215021,0.6533705914233253,0.84,0.9999836593805465,0.5,0.17332287459806417,0.6896714226850748,False,True
UGC01281,0.084392102232543,0.6357127901923026,0.84,0.999478001186084,0.5,0.18240460431080674,0.6119165787221859,False,True
UGC05005,0.1408362282199201,0.1532361731604249,1.0,0.4308157086791707,0.5,0.7079740590802022,0.44497762201190305,False,False
UGC07524,0.1658700066266732,0.5983235534088752,1.0,0.9990428977881448,0.5,0.20131677440148998,0.6526472915647387,False,False
UGC04278,0.0740726647731066,0.4636708111224593,0.84,0.9969183382274822,0.5,0.2697054253250293,0.5749323628246096,False,True
UGC04499,0.1922763006429242,0.3865865197785878,1.0,0.9731851638379586,0.5,0.32011415819172684,0.6104095968518941,False,False
UGC00128,0.3558208057142961,0.3473606567365579,1.0,0.954765933573635,0.5,0.34893670484490347,0.6315894792048977,False,False
F563-V2,0.170360361524563,0.4066278570031452,0.52,0.987011474772384,0.5,0.30318033411223544,0.5167999386600185,False,True
F568-V1,0.2854201776806811,0.3710292915745178,0.68,0.9711380623024132,0.5,0.3289163230615345,0.5615175063115225,False,True
UGC07399,0.2988245066408903,0.3827585235772723,1.0,0.983561664808833,0.5,0.3168399058069473,0.6330289390053991,False,False
UGC06614,0.9994389737215432,0.3564163018647008,0.75,8.378107982398002e-06,0.5,0.8217876600136584,0.5211727307388453,False,False
NGC4157,0.9999889464589224,0.5210652731342665,1.0,0.000237218404027,0.5,0.7393487542308532,0.6042582875994432,False,False
NGC2841,0.9999971004442962,0.5752863563020789,0.75,2.7132329218144e-06,0.5,0.7123554652324997,0.5650572339958594,False,False
NGC4100,0.9999970578909424,0.5989154873286422,1.0,0.0191100465415288,0.5,0.6909872330649145,0.6236045183522226,False,False
