galaxy_name,r_kpc,r_over_Rd,q_eff,a_b_m_s2,a_bdvr_m_s2,a_total_m_s2,v_newton_km_s,v_bdvr_km_s,M_bdvr_eff_Msun,rho_bdvr_eff_Msun_kpc3
DDO154,0.185,0.5,0.9417109365038392,1.5975084787495093e-09,4.123156535117198e-10,2.0098241322612293e-09,95.49545949086541,107.11250228226773,101239409.51885965,1328389030.4969895
DDO154,0.20280334728033472,0.5481171548117155,0.9453484301144556,1.329340973932911e-09,3.7757282202322135e-10,1.7069137959561322e-09,91.20759989983159,103.35193837543082,111410798.54060306,1109084187.153686
DDO154,0.22060669456066945,0.5962343096234309,0.9489280471606731,1.1234383726026562e-09,3.4841635499839565e-10,1.4718547276010518e-09,87.44988510170283,100.0960846346558,121650033.13133012,943451902.1230621
DDO154,0.23841004184100417,0.6443514644351465,0.9524507085229291,9.619168685133532e-10,3.23595074566081e-10,1.2855119430794342e-09,84.12136573315375,97.24686340185089,131955444.5434733,812947710.9569658
DDO154,0.2562133891213389,0.6924686192468619,0.95591732042943,8.328810599999156e-10,3.0220555763122977e-10,1.1350866176311453e-09,81.14610457496539,94.73068658350708,142325399.956702,708235713.2515705
DDO154,0.2740167364016736,0.7405857740585774,0.9593287746892847,7.281694421674067e-10,2.83579164759492e-10,1.0117486069268987e-09,78.4657340957918,92.49113840618651,152758301.7571039,622895438.2201699
DDO154,0.2918200836820084,0.788702928870293,0.9626859489219285,6.420314067829276e-10,2.6721042188285845e-10,9.09241828665786e-10,76.03455317459942,90.48416120753951,163252586.83020917,552392416.0601219
DDO154,0.3096234309623431,0.8368200836820084,0.9659897067828961,5.70320511341567e-10,2.5271011031590154e-10,8.230306216574685e-10,73.81619885272123,88.67479210035216,173806725.8675986,493449459.59902996
DDO154,0.32742677824267785,0.884937238493724,0.9692408981860038,5.099859822312242e-10,2.397736607374606e-10,7.497596429686848e-10,71.78132812039382,87.03489306877076,184419222.68684384,443649743.0270723
DDO154,0.3452301255230126,0.9330543933054394,0.9724403595219944,4.5874279502227437e-10,2.2815932661214183e-10,6.869021216344162e-10,69.90596639255881,85.54153606338262,195088613.56452945,401178866.5081967
DDO154,0.3630334728033473,0.9811715481171549,0.9755889138737052,4.1485209566537126e-10,2.1767277993051588e-10,6.325248755958872e-10,68.1703073196461,84.17583102269012,205813466.58211404,364652915.87642324
DDO154,0.380836820083682,1.0292887029288704,0.9786873712278107,3.769717174575762e-10,2.0815602765560458e-10,5.851277451131809e-10,66.55782505207168,82.92206018546445,216592380.9843893,333001226.36587894
DDO154,0.39864016736401675,1.0774058577405858,0.9817365286831979,3.4405233976680455e-10,1.9947929813059568e-10,5.435316378974002e-10,65.05460716244309,81.76702846765718,227423986.55030334,305384814.34410805
