galaxy_name,r_kpc,r_over_Rd,q_eff,a_b_m_s2,a_bdvr_m_s2,a_total_m_s2,v_newton_km_s,v_bdvr_km_s,M_bdvr_eff_Msun,rho_bdvr_eff_Msun_kpc3
DDO154,0.185,0.5,0.9486211741077598,1.5975084787495096e-09,4.1534120946858236e-10,2.012849688218092e-09,95.49545949086543,107.19309465640005,101982300.3015166,1347056939.225439
DDO154,0.20280334728033472,0.5481171548117155,0.9528649166534789,1.3293409739329111e-09,3.805749119869134e-10,1.7099158859198244e-09,91.20759989983159,103.44278523376235,112296628.29485662,1125232825.5848825
DDO154,0.22060669456066945,0.5962343096234309,0.9570411365407329,1.1234383726026562e-09,3.5139522472201125e-10,1.4748335973246674e-09,87.44988510170283,100.19732508846539,122690109.45201094,958125029.4972174
DDO154,0.23841004184100417,0.6443514644351465,0.9611509081300315,9.619168685133534e-10,3.2655096689248407e-10,1.2884678354058375e-09,84.12136573315377,97.35860340083136,133160796.90081738,826367869.5138994
DDO154,0.2562133891213389,0.6924686192468619,0.965195288687616,8.328810599999157e-10,3.0513871252990904e-10,1.1380197725298248e-09,81.14610457496539,94.85300346296617,143706785.68422356,720579036.2335997
DDO154,0.2740167364016736,0.7405857740585774,0.9691753186574464,7.281694421674068e-10,2.86489819362929e-10,1.0146592615303357e-09,78.46573409579182,92.62408468085792,154326211.91933188,634303708.262635
DDO154,0.2918200836820084,0.788702928870293,0.9730920219288641,6.420314067829277e-10,2.7009881052241533e-10,9.12130217305343e-10,76.03455317459944,90.62776777276792,165017251.97259408,562981446.1877497
DDO154,0.3096234309623431,0.8368200836820084,0.9769464060999931,5.703205113415671e-10,2.555764645572351e-10,8.258969758988021e-10,73.81619885272123,88.82907095887937,175778121.65085447,503315065.2362114
DDO154,0.32742677824267785,0.884937238493724,0.980739462736952,5.099859822312243e-10,2.426182094154692e-10,7.526041916466934e-10,71.78132812039382,87.19983967206629,186607075.40794665,452872090.7608478
DDO154,0.3452301255230126,0.9330543933054394,0.9844721676289411,4.587427950222744e-10,2.3098229586545098e-10,6.897250908877254e-10,69.90596639255882,85.71713133575737,197502405.5665526,409825701.76042324
