tag,output_dir,internal_amplitude,early_type_threshold,m4_passes_basic_checks,m4_passes_soft_checks,median_abs_log10_velocity_error,mean_abs_log10_velocity_error,max_abs_log10_velocity_error,median_velocity_ratio_pred_over_obs,residual_vs_v_flat_obs,good_case_max_abs_log10_error,does_not_ruin_good_cases,n_within_010_dex,n_within_015_dex,score
early_A0p100_T5p0,/home/jenholm/photonland/cghs/cghstc_34/runs/cghstc_34_m4c_early_type_grid/early_A0p100_T5p0,0.1,5.0,True,True,0.027698708689912276,0.03714689506539709,0.08165226100656753,1.0046179494984098,-0.3052389957458573,0.08165226100656753,True,12,12,0.06766530944123124
early_A0p075_T5p0,/home/jenholm/photonland/cghs/cghstc_34/runs/cghstc_34_m4c_early_type_grid/early_A0p075_T5p0,0.075,5.0,True,True,0.03029109927882577,0.037806188511217295,0.0849844265317646,0.9987512698641455,-0.3795577892962599,0.07666015055326701,True,12,12,0.07431067326954252
early_A0p050_T5p0,/home/jenholm/photonland/cghs/cghstc_34/runs/cghstc_34_m4c_early_type_grid/early_A0p050_T5p0,0.05,5.0,True,True,0.03029109927882577,0.03852365030976952,0.0946370041294579,0.9928159670932785,-0.44970037338524965,0.07155056796242397,True,12,12,0.08093237271430523
early_A0p100_T4p0,/home/jenholm/photonland/cghs/cghstc_34/runs/cghstc_34_m4c_early_type_grid/early_A0p100_T4p0,0.1,4.0,True,True,0.03029109927882577,0.03841731829308071,0.0946370041294579,0.9807294770731596,-0.4705321057449684,0.06095591842745502,True,12,12,0.08218227665588836
early_A0p040_T5p0,/home/jenholm/photonland/cghs/cghstc_34/runs/cghstc_34_m4c_early_type_grid/early_A0p040_T5p0,0.04,5.0,True,True,0.03029109927882577,0.038956063463024986,0.09862146896509559,0.9904220840848099,-0.4761582802389425,0.0694725880768452,True,12,12,0.08351596333443623
early_A0p075_T4p0,/home/jenholm/photonland/cghs/cghstc_34/runs/cghstc_34_m4c_early_type_grid/early_A0p075_T4p0,0.075,4.0,True,True,0.03029109927882577,0.03918746019699792,0.09962911458275835,0.9807294770731596,-0.4993135076673375,0.06095591842745502,True,12,12,0.0851571883845556
early_A0p030_T5p0,/home/jenholm/photonland/cghs/cghstc_34/runs/cghstc_34_m4c_early_type_grid/early_A0p030_T5p0,0.03,5.0,False,True,0.03029109927882577,0.039622215101490214,0.10268041407618526,0.988016664090273,-0.501550295091681,0.06737453078004103,True,11,12,0.08605422050337296
early_A0p050_T4p0,/home/jenholm/photonland/cghs/cghstc_34/runs/cghstc_34_m4c_early_type_grid/early_A0p050_T4p0,0.05,4.0,False,True,0.03029109927882577,0.039991841663472354,0.10473869717360137,0.9807294770731596,-0.5256790406503681,0.06095591842745502,True,11,12,0.0880165160112482
early_A0p020_T5p0,/home/jenholm/photonland/cghs/cghstc_34/runs/cghstc_34_m4c_early_type_grid/early_A0p020_T5p0,0.02,5.0,False,True,0.03029109927882577,0.04054986167868802,0.10681667705918022,0.9855995386815637,-0.5257956521254028,0.06525600430841373,True,11,12,0.088543007671145
early_A0p040_T4p0,/home/jenholm/photonland/cghs/cghstc_34/runs/cghstc_34_m4c_early_type_grid/early_A0p040_T4p0,0.04,4.0,False,True,0.03029109927882577,0.0405699567428438,0.10681667705918022,0.9807294770731596,-0.5355110378409148,0.06095591842745502,True,11,12,0.08912593081407572
early_A0p030_T4p0,/home/jenholm/photonland/cghs/cghstc_34/runs/cghstc_34_m4c_early_type_grid/early_A0p030_T4p0,0.03,4.0,False,True,0.03029109927882577,0.04125787838490194,0.10891473435598427,0.9807294770731596,-0.5449236581951865,0.06095591842745502,True,11,12,0.09021520235953302
early_A0p010_T5p0,/home/jenholm/photonland/cghs/cghstc_34/runs/cghstc_34_m4c_early_type_grid/early_A0p010_T5p0,0.01,5.0,False,True,0.03029109927882577,0.04195043557921297,0.1110332608276116,0.9831705352921225,-0.5488297157978846,0.06311660531877616,True,11,12,0.09097919743360175
early_A0p020_T4p0,/home/jenholm/photonland/cghs/cghstc_34/runs/cghstc_34_m4c_early_type_grid/early_A0p020_T4p0,0.02,4.0,False,True,0.03029109927882577,0.04195565471208942,0.1110332608276116,0.9807294770731596,-0.5539119184100187,0.06095591842745502,True,11,12,0.0912841295903298
early_A0p010_T4p0,/home/jenholm/photonland/cghs/cghstc_34/runs/cghstc_34_m4c_early_type_grid/early_A0p010_T4p0,0.01,4.0,False,True,0.03029109927882577,0.04266360319106496,0.11317265981724915,0.9804925334321608,-0.5624725852202783,0.06095591842745502,True,11,12,0.09233261934635476
early_A0p100_T3p0,/home/jenholm/photonland/cghs/cghstc_34/runs/cghstc_34_m4c_early_type_grid/early_A0p100_T3p0,0.1,3.0,False,True,0.03029109927882577,0.04165736294810568,0.11533334670857041,0.9780554791995469,-0.5635199117136722,0.06095591842745502,True,11,12,0.09293563065878871
early_A0p075_T3p0,/home/jenholm/photonland/cghs/cghstc_34/runs/cghstc_34_m4c_early_type_grid/early_A0p075_T3p0,0.075,3.0,False,True,0.03029109927882577,0.04207337215254739,0.11533334670857041,0.9780554791995469,-0.5659021184803923,0.06095591842745502,True,11,12,0.09307856306479191
early_A0p050_T3p0,/home/jenholm/photonland/cghs/cghstc_34/runs/cghstc_34_m4c_early_type_grid/early_A0p050_T3p0,0.05,3.0,False,True,0.03029109927882577,0.04249917070178431,0.11533334670857041,0.9780554791995469,-0.5678842306804304,0.06095591842745502,True,11,12,0.0931974897967942
early_A0p040_T3p0,/home/jenholm/photonland/cghs/cghstc_34/runs/cghstc_34_m4c_early_type_grid/early_A0p040_T3p0,0.04,3.0,False,True,0.03029109927882577,0.04267233569224921,0.11533334670857041,0.9780554791995469,-0.5685623922182594,0.06095591842745502,True,11,12,0.09323817948906393
early_A0p030_T3p0,/home/jenholm/photonland/cghs/cghstc_34/runs/cghstc_34_m4c_early_type_grid/early_A0p030_T3p0,0.03,3.0,False,True,0.03029109927882577,0.04284717380031622,0.11533334670857041,0.9780554791995469,-0.5691740207018791,0.06095591842745502,True,11,12,0.09327487719808111
early_A0p020_T3p0,/home/jenholm/photonland/cghs/cghstc_34/runs/cghstc_34_m4c_early_type_grid/early_A0p020_T3p0,0.02,3.0,False,True,0.03029109927882577,0.04302371767295183,0.11533334670857041,0.9780554791995469,-0.5697185256673647,0.06095591842745502,True,11,12,0.09330754749601025
early_A0p010_T3p0,/home/jenholm/photonland/cghs/cghstc_34/runs/cghstc_34_m4c_early_type_grid/early_A0p010_T3p0,0.01,3.0,False,True,0.03029109927882577,0.043202000922088285,0.11533334670857041,0.9780554791995469,-0.57019537357703,0.06095591842745502,True,11,12,0.09333615837059017
