object_name,taxonomy_stage,m51_primary_score,quality_quarantine_flag
NGC5055,true_falsifier_candidate,1.0,False
NGC3198,true_falsifier_candidate,1.0,False
NGC4559,true_falsifier_candidate,1.0,False
UGC09133,true_falsifier_candidate,1.0,False
NGC6946,true_falsifier_candidate,1.0,False
NGC4088,true_falsifier_candidate,1.0,False
NGC1090,true_falsifier_candidate,1.0,False
NGC5371,true_falsifier_candidate,0.9553488115949109,False
NGC0801,true_falsifier_candidate,0.8143284579160999,False
DDO161,failed_stalled,0.48934926552507185,False
UGC07125,failed_stalled,0.1286747142184619,True
NGC1003,failed_stalled,0.9098233875851001,False
NGC0100,failed_stalled,0.889973482387162,False
UGC12632,failed_stalled,0.0,False
UGC01230,disturbed_or_measurement_contaminated,0.0,False
UGC10310,disturbed_or_measurement_contaminated,0.0,False
NGC3741,juvenile_forming,0.5790697928386082,False
F583-1,juvenile_forming,0.0,False
UGC00731,juvenile_forming,0.0,False
UGC08550,juvenile_forming,0.7975786782299702,False
NGC3109,juvenile_forming,0.0,False
F563-1,juvenile_forming,0.00256308908158672,False
UGCA442,juvenile_forming,0.0,False
UGC06446,juvenile_forming,0.29078458595208695,False
UGC05721,juvenile_forming,0.9095047610213017,False
D631-7,juvenile_forming,0.0,False
DDO064,juvenile_forming,0.0,False
UGC08490,juvenile_forming,0.9392507109710705,False
NGC5585,juvenile_forming,0.7089720417579096,False
UGC07603,juvenile_forming,0.855329369600873,False
UGC06667,juvenile_forming,0.0,False
UGC01281,juvenile_forming,0.0,False
UGC05005,juvenile_forming,0.3207340607600083,False
UGC07524,juvenile_forming,0.0,False
UGC04278,juvenile_forming,0.0,False
UGC04499,juvenile_forming,0.0,False
UGC00128,juvenile_forming,0.0,False
F563-V2,juvenile_forming,0.0,False
F568-V1,juvenile_forming,0.0,False
UGC07399,juvenile_forming,0.0,False
UGC06614,mature_or_control,1.0,False
NGC4157,mature_or_control,1.0,False
NGC2841,mature_or_control,1.0,False
NGC4100,mature_or_control,1.0,False
NGC2403,mature_or_control,1.0,False
NGC2998,mature_or_control,1.0,False
ESO563-G021,mature_or_control,1.0,False
NGC3893,mature_or_control,1.0,False
NGC6674,mature_or_control,1.0,False
NGC5907,mature_or_control,0.7376746575535738,False
UGC03205,mature_or_control,1.0,False
NGC6503,mature_or_control,0.9677920314425682,False
NGC5033,mature_or_control,0.8186458227180256,False
NGC4183,mature_or_control,0.351364552237024,False
UGC07151,mature_or_control,0.33468967579531445,False
UGC08286,mature_or_control,0.8649381226476502,False
UGC11455,mature_or_control,1.0,False
NGC3521,mature_or_control,1.0,False
NGC3992,mature_or_control,1.0,False
NGC0891,mature_or_control,1.0,False
NGC4217,mature_or_control,1.0,False
NGC7331,disturbed_or_measurement_contaminated,1.0,False
F571-8,mature_or_control,0.9195511394645023,False
IC4202,mature_or_control,1.0,False
UGC02885,mature_or_control,1.0,False
ESO116-G012,mature_or_control,0.6621790652921447,False
F579-V1,mature_or_control,0.620649655144032,False
NGC2903,mature_or_control,1.0,False
NGC3917,mature_or_control,0.7675428417901886,False
F574-1,mature_or_control,0.0,False
UGC06786,mature_or_control,0.9265244652208636,False
NGC5985,mature_or_control,0.922742285624894,False
NGC6195,mature_or_control,0.7452045208750374,False
UGC06930,mature_or_control,0.09325375874387157,False
ESO079-G014,mature_or_control,0.7248966280215176,False
NGC0024,mature_or_control,0.5500511582606858,False
NGC3953,mature_or_control,0.9899496598299395,False
NGC3972,mature_or_control,0.7257610080544021,False
NGC5005,mature_or_control,0.8936337039666468,False
NGC7814,mature_or_control,1.0,False
UGC02487,mature_or_control,1.0,False
UGC03546,mature_or_control,1.0,False
UGC04325,mature_or_control,0.11783306064596549,False
UGC06399,mature_or_control,0.1543166850647691,False
UGC06917,mature_or_control,0.22110322263471846,False
UGC06983,mature_or_control,0.0,False
UGC11914,mature_or_control,1.0,False
xGASS_xCOLD:GASS101026,juvenile_forming,0.0,False
xGASS_xCOLD:GASS102001,juvenile_forming,0.0,False
xGASS_xCOLD:GASS112113,juvenile_forming,0.0,False
xGASS_xCOLD:GASS108119,juvenile_forming,0.0,False
xGASS_xCOLD:GASS122004,failed_stalled,0.0,False
xGASS_xCOLD:GASS113134,juvenile_forming,0.0,False
xGASS_xCOLD:GASS123001,juvenile_forming,0.0,False
xGASS_xCOLD:GASS101001,failed_stalled,0.0,False
xGASS_xCOLD:GASS109127,failed_stalled,0.0,False
xGASS_xCOLD:GASS124028,juvenile_forming,0.0,False
xGASS_xCOLD:GASS110082,juvenile_forming,0.0,False
xGASS_xCOLD:GASS113114,juvenile_forming,0.0,False
xGASS_xCOLD:GASS113137,juvenile_forming,0.0,False
xGASS_xCOLD:GASS108148,failed_stalled,0.0,False
xGASS_xCOLD:GASS114117,juvenile_forming,0.0,False
xGASS_xCOLD:GASS111071,failed_stalled,0.0,False
xGASS_xCOLD:GASS122005,juvenile_forming,0.0,False
xGASS_xCOLD:GASS108140,juvenile_forming,0.0,False
xGASS_xCOLD:GASS109082,failed_stalled,0.0,False
xGASS_xCOLD:GASS111075,juvenile_forming,0.0,False
xGASS_xCOLD:GASS101033,failed_stalled,0.0,False
xGASS_xCOLD:GASS110036,juvenile_forming,0.0,False
xGASS_xCOLD:GASS113091,juvenile_forming,0.0,False
xGASS_xCOLD:GASS109080,juvenile_forming,0.0,False
xGASS_xCOLD:GASS44856,failed_stalled,0.0,False
xGASS_xCOLD:GASS112100,failed_stalled,0.0,False
xGASS_xCOLD:GASS109065,juvenile_forming,0.0,False
xGASS_xCOLD:GASS111044,juvenile_forming,0.0,False
xGASS_xCOLD:GASS124000,juvenile_forming,0.0,False
xGASS_xCOLD:GASS111054,juvenile_forming,0.0,False
xGASS_xCOLD:GASS114142,juvenile_forming,0.0,False
xGASS_xCOLD:GASS114129,failed_stalled,0.0,False
xGASS_xCOLD:GASS110059,failed_stalled,0.0,False
xGASS_xCOLD:GASS109102,juvenile_forming,0.0,False
xGASS_xCOLD:GASS107026,juvenile_forming,0.0,False
xGASS_xCOLD:GASS112117,juvenile_forming,0.0,False
xGASS_xCOLD:GASS111093,juvenile_forming,0.0,False
xGASS_xCOLD:GASS113057,juvenile_forming,0.0,False
xGASS_xCOLD:GASS114078,juvenile_forming,0.0,False
xGASS_xCOLD:GASS114000,juvenile_forming,0.0,False
THINGS:NGC2841,disturbed_or_measurement_contaminated,0.17180423232241676,False
M17_analog_synthesis:DDO161,juvenile_forming,0.17180423232241676,False
M17_analog_synthesis:12700-12701,juvenile_forming,0.17180423232241676,False
M17_analog_synthesis:9091-6103,juvenile_forming,0.17180423232241676,False
M17_analog_synthesis:GASS102001,juvenile_forming,0.17180423232241676,False
M17_analog_synthesis:UGC07125,failed_stalled,0.17180423232241676,False
M17_analog_synthesis:8611-6104,juvenile_forming,0.17180423232241676,False
M17_analog_synthesis:GASS108119,juvenile_forming,0.17180423232241676,False
M17_analog_synthesis:8139-3703,juvenile_forming,0.17180423232241676,False
M17_analog_synthesis:8617-12705,juvenile_forming,0.17180423232241676,False
M17_analog_synthesis:8619-12704,juvenile_forming,0.17180423232241676,False
M17_analog_synthesis:9894-9102,juvenile_forming,0.17180423232241676,False
M17_analog_synthesis:8619-12705,juvenile_forming,0.17180423232241676,False
M17_analog_synthesis:8982-12702,juvenile_forming,0.17180423232241676,False
M17_analog_synthesis:8655-12703,juvenile_forming,0.17180423232241676,False
M17_analog_synthesis:8977-12704,juvenile_forming,0.17180423232241676,False
M17_analog_synthesis:11824-12702,juvenile_forming,0.17180423232241676,False
M17_analog_synthesis:10498-12701,juvenile_forming,0.17180423232241676,False
M17_analog_synthesis:GASS110082,juvenile_forming,0.17180423232241676,False
M17_analog_synthesis:GASS122005,juvenile_forming,0.17180423232241676,False
M17_analog_synthesis:11751-12702,juvenile_forming,0.17180423232241676,False
M17_analog_synthesis:9001-12704,juvenile_forming,0.17180423232241676,False
M17_analog_synthesis:11941-9101,juvenile_forming,0.17180423232241676,False
M17_analog_synthesis:8553-12703,juvenile_forming,0.17180423232241676,False
M17_analog_synthesis:10838-6103,juvenile_forming,0.17180423232241676,False
M17_analog_synthesis:8598-12704,juvenile_forming,0.17180423232241676,False
M17_analog_synthesis:11022-12702,juvenile_forming,0.17180423232241676,False
