object_name,taxonomy_stage,m51_primary_score,quality_quarantine_flag,phase_region_m42
DDO161,failed_stalled,0.48934926552507185,False,transition
NGC0024,mature_or_control,0.5500511582606858,False,activated_mature
NGC3741,juvenile_forming,0.5790697928386082,False,transition
F579-V1,mature_or_control,0.620649655144032,False,measurement_limited
NGC4183,mature_or_control,0.351364552237024,False,activated_mature
ESO116-G012,mature_or_control,0.6621790652921447,False,activated_mature
UGC07151,mature_or_control,0.33468967579531445,False,activated_mature
UGC05005,juvenile_forming,0.3207340607600083,False,transition
NGC5585,juvenile_forming,0.7089720417579096,False,transition
UGC06446,juvenile_forming,0.29078458595208695,False,pre_activation
ESO079-G014,mature_or_control,0.7248966280215176,False,activated_mature
NGC3972,mature_or_control,0.7257610080544021,False,activated_mature
NGC5907,mature_or_control,0.7376746575535738,False,activated_mature
NGC6195,mature_or_control,0.7452045208750374,False,activated_mature
NGC3917,mature_or_control,0.7675428417901886,False,activated_mature
UGC06917,mature_or_control,0.22110322263471846,False,activated_mature
UGC08550,juvenile_forming,0.7975786782299702,False,measurement_limited
NGC0801,true_falsifier_candidate,0.8143284579160999,False,activated_mature
NGC5033,mature_or_control,0.8186458227180256,False,activated_mature
THINGS:NGC2841,disturbed_or_measurement_contaminated,0.17180423232241676,False,transition
