object_name,source_family,source_type,taxonomy_stage,m51_primary_score,has_resolved_hi,has_sfr_sfe,hi_asymmetry_indicator,ar_mismatch_indicator,sfr_indicator,sfe_indicator,depletion_time_indicator,resolved_hi_order_indicator,sfr_sfe_order_indicator,vrot_sigma_order_indicator,proxy_level,claim_boundary,quality_quarantine_flag,branch_role,organization_label_settled,organization_label_score
NGC5055,direct_sparc_m36_m41,direct_sparc_m36_m41,true_falsifier_candidate,1.0,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,0,0.4531865217387902
NGC3198,direct_sparc_m36_m41,direct_sparc_m36_m41,true_falsifier_candidate,1.0,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,0,0.4208310953437688
NGC4559,direct_sparc_m36_m41,direct_sparc_m36_m41,true_falsifier_candidate,1.0,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,0,0.5270304267120406
UGC09133,direct_sparc_m36_m41,direct_sparc_m36_m41,true_falsifier_candidate,1.0,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,0,0.5511509909019222
NGC6946,direct_sparc_m36_m41,direct_sparc_m36_m41,true_falsifier_candidate,1.0,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,0,0.4556508466350362
NGC4088,direct_sparc_m36_m41,direct_sparc_m36_m41,true_falsifier_candidate,1.0,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,0,0.5662844556272452
NGC1090,direct_sparc_m36_m41,direct_sparc_m36_m41,true_falsifier_candidate,1.0,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,0,0.5501768418325899
NGC5371,direct_sparc_m36_m41,direct_sparc_m36_m41,true_falsifier_candidate,0.9553488115949108,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.8024853474823893
NGC0801,direct_sparc_m36_m41,direct_sparc_m36_m41,true_falsifier_candidate,0.8143284579160999,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.789187253020455
DDO161,direct_sparc_m36_m41,direct_sparc_m36_m41,failed_stalled,0.4893492655250718,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,0,0.3492760403991559
