object_name,source_family,m51_primary_score,resolved_hi_order_indicator,sfr_sfe_order_indicator,vrot_sigma_order_indicator,m54_organization_score,has_resolved_hi,has_sfr_sfe,direct_dynamic_observable_weight,model_frozen_before_endpoint_join,quality_used_as_physical_feature,trained_on_endpoint_residuals,trained_on_A_inferred,quality_quarantine_flag,proxy_level,organization_label_settled,organization_label_score
NGC5055,direct_sparc_m36_m41,1.0,0.5,0.5,0.5,0.75,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,0,0.4531865217387902
NGC3198,direct_sparc_m36_m41,1.0,0.5,0.5,0.5,0.75,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,0,0.4208310953437688
NGC4559,direct_sparc_m36_m41,1.0,0.5,0.5,0.5,0.75,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,0,0.5270304267120406
UGC09133,direct_sparc_m36_m41,1.0,0.5,0.5,0.5,0.75,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,0,0.5511509909019222
NGC6946,direct_sparc_m36_m41,1.0,0.5,0.5,0.5,0.75,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,0,0.4556508466350362
NGC4088,direct_sparc_m36_m41,1.0,0.5,0.5,0.5,0.75,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,0,0.5662844556272452
NGC1090,direct_sparc_m36_m41,1.0,0.5,0.5,0.5,0.75,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,0,0.5501768418325899
NGC5371,direct_sparc_m36_m41,0.9553488115949108,0.5,0.5,0.5,0.7276744057974555,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.8024853474823893
NGC0801,direct_sparc_m36_m41,0.8143284579160999,0.5,0.5,0.5,0.6571642289580499,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.789187253020455
DDO161,direct_sparc_m36_m41,0.4893492655250718,0.5,0.5,0.5,0.4946746327625359,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,0,0.3492760403991559
UGC07125,direct_sparc_m36_m41,0.1286747142184619,0.5,0.5,0.5,0.314337357109231,False,False,0.0,True,False,False,False,True,local_M51_proxy_or_direct_context,0,0.3441077445145193
NGC1003,direct_sparc_m36_m41,0.9098233875851,0.5,0.5,0.5,0.70491169379255,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,0,0.3738806087009397
NGC0100,direct_sparc_m36_m41,0.889973482387162,0.5,0.5,0.5,0.6949867411935811,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,0,0.3855734141507814
UGC12632,direct_sparc_m36_m41,0.0,0.5,0.5,0.5,0.25,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,0,0.5239243409528157
UGC01230,direct_sparc_m36_m41,0.0,0.5,0.5,0.5,0.25,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,0,0.4457367642333315
UGC10310,direct_sparc_m36_m41,0.0,0.5,0.5,0.5,0.25,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,0,0.5109945667976671
NGC3741,direct_sparc_m36_m41,0.5790697928386082,0.5,0.5,0.5,0.5395348964193041,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,0,0.3888942494661135
F583-1,direct_sparc_m36_m41,0.0,0.5,0.5,0.5,0.25,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,0,0.4462449453861865
UGC00731,direct_sparc_m36_m41,0.0,0.5,0.5,0.5,0.25,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,0,0.5512021611211092
UGC08550,direct_sparc_m36_m41,0.7975786782299702,0.5,0.5,0.5,0.6487893391149852,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,0,0.3667982606803153
NGC3109,direct_sparc_m36_m41,0.0,0.5,0.5,0.5,0.25,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,0,0.573996418462721
