object_name,source_family,m51_primary_score,m54_organization_score,proxy_level,model_frozen_before_endpoint_join,quality_quarantine_flag,branch_role,m51_rank,m54_rank,trajectory_rank_shift
NGC5055,direct_sparc_m36_m41,1.0,0.75,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,15.5,15.5,0.0
NGC3198,direct_sparc_m36_m41,1.0,0.75,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,15.5,15.5,0.0
NGC4559,direct_sparc_m36_m41,1.0,0.75,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,15.5,15.5,0.0
UGC09133,direct_sparc_m36_m41,1.0,0.75,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,15.5,15.5,0.0
NGC6946,direct_sparc_m36_m41,1.0,0.75,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,15.5,15.5,0.0
NGC4088,direct_sparc_m36_m41,1.0,0.75,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,15.5,15.5,0.0
NGC1090,direct_sparc_m36_m41,1.0,0.75,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,15.5,15.5,0.0
UGC11455,direct_sparc_m36_m41,1.0,0.75,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,15.5,15.5,0.0
UGC06614,direct_sparc_m36_m41,1.0,0.75,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,15.5,15.5,0.0
NGC4157,direct_sparc_m36_m41,1.0,0.75,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,15.5,15.5,0.0
NGC2841,direct_sparc_m36_m41,1.0,0.75,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,15.5,15.5,0.0
NGC4100,direct_sparc_m36_m41,1.0,0.75,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,15.5,15.5,0.0
NGC2403,direct_sparc_m36_m41,1.0,0.75,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,15.5,15.5,0.0
NGC2998,direct_sparc_m36_m41,1.0,0.75,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,15.5,15.5,0.0
ESO563-G021,direct_sparc_m36_m41,1.0,0.75,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,15.5,15.5,0.0
IC4202,direct_sparc_m36_m41,1.0,0.75,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,15.5,15.5,0.0
NGC6674,direct_sparc_m36_m41,1.0,0.75,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,15.5,15.5,0.0
UGC03205,direct_sparc_m36_m41,1.0,0.75,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,15.5,15.5,0.0
NGC7331,direct_sparc_m36_m41,1.0,0.75,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,15.5,15.5,0.0
NGC4217,direct_sparc_m36_m41,1.0,0.75,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,15.5,15.5,0.0
NGC0891,direct_sparc_m36_m41,1.0,0.75,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,15.5,15.5,0.0
NGC3992,direct_sparc_m36_m41,1.0,0.75,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,15.5,15.5,0.0
NGC3521,direct_sparc_m36_m41,1.0,0.75,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,15.5,15.5,0.0
NGC3893,direct_sparc_m36_m41,1.0,0.75,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,15.5,15.5,0.0
UGC02487,direct_sparc_m36_m41,1.0,0.75,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,15.5,15.5,0.0
NGC7814,direct_sparc_m36_m41,1.0,0.75,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,15.5,15.5,0.0
UGC11914,direct_sparc_m36_m41,1.0,0.75,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,15.5,15.5,0.0
UGC03546,direct_sparc_m36_m41,1.0,0.75,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,15.5,15.5,0.0
NGC2903,direct_sparc_m36_m41,1.0,0.75,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,15.5,15.5,0.0
UGC02885,direct_sparc_m36_m41,1.0,0.75,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,15.5,15.5,0.0
NGC3953,direct_sparc_m36_m41,0.9899496598299397,0.7449748299149699,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,31.0,31.0,0.0
