galaxy_name,canonical_name,source_family,endpoint_overlap,proxy_only,approach_recede_mismatch_km_s,ar_mismatch_norm,valid_pixel_count,mom1_unit_original,metric_definition
DDO154,DDO154,THINGS,False,True,29.21834375000003,0.17774493808117992,216995,METR/SEC,normalized median mirrored left/right MOM1 velocity mismatch; MOM1 converted to km/s when needed
DDO53,DDO53,THINGS,False,True,11.52769970703125,0.049482495103995466,40977,METR/SEC,normalized median mirrored left/right MOM1 velocity mismatch; MOM1 converted to km/s when needed
HO_I,HOI,THINGS,False,True,7.436328124999989,0.019818831476817955,57530,METR/SEC,normalized median mirrored left/right MOM1 velocity mismatch; MOM1 converted to km/s when needed
HO_II,HOII,THINGS,False,True,7.487554687499994,0.02019023932582646,255277,METR/SEC,normalized median mirrored left/right MOM1 velocity mismatch; MOM1 converted to km/s when needed
M81_DWA,M81DWA,THINGS,False,True,4.7028085937499995,0.0,22394,METR/SEC,normalized median mirrored left/right MOM1 velocity mismatch; MOM1 converted to km/s when needed
M81_DWB,M81DWB,THINGS,False,True,13.67903124999998,0.0650802901127485,12076,METR/SEC,normalized median mirrored left/right MOM1 velocity mismatch; MOM1 converted to km/s when needed
NGC_1569,NGC1569,THINGS,False,True,21.564218749999995,0.12225025009988272,141368,METR/SEC,normalized median mirrored left/right MOM1 velocity mismatch; MOM1 converted to km/s when needed
NGC_2366,NGC2366,THINGS,False,True,23.085111328125,0.13327717467664588,202559,METR/SEC,normalized median mirrored left/right MOM1 velocity mismatch; MOM1 converted to km/s when needed
NGC_2403,NGC2403,THINGS,True,False,115.517455078125,0.8034392213882208,2144331,METR/SEC,normalized median mirrored left/right MOM1 velocity mismatch; MOM1 converted to km/s when needed
NGC_2841,NGC2841,THINGS,True,False,95.62575000000004,0.6592184297593245,327462,METR/SEC,normalized median mirrored left/right MOM1 velocity mismatch; MOM1 converted to km/s when needed
NGC_2903,NGC2903,THINGS,True,False,75.54742187500003,0.5136445654073608,325568,METR/SEC,normalized median mirrored left/right MOM1 velocity mismatch; MOM1 converted to km/s when needed
NGC_2976,NGC2976,THINGS,False,True,40.9157360534668,0.26255451932994617,73262,METR/SEC,normalized median mirrored left/right MOM1 velocity mismatch; MOM1 converted to km/s when needed
