galaxy_name,canonical_name,source_family,endpoint_overlap,proxy_only,flux_asymmetry,lopsidedness_index,hi_asymmetry_norm,valid_pixel_count,metric_definition
DDO154,DDO154,THINGS,False,True,0.1200087037388383,0.021067158297927695,0.17770771849270053,216995,normalized combination of MOM0 side flux imbalance and flux-centroid lopsidedness
DDO53,DDO53,THINGS,False,True,0.06762500841848333,0.07737069994882356,0.18296552162517649,40977,normalized combination of MOM0 side flux imbalance and flux-centroid lopsidedness
HO_I,HOI,THINGS,False,True,0.08085502392636215,0.032750645229578455,0.14086115513301112,57530,normalized combination of MOM0 side flux imbalance and flux-centroid lopsidedness
HO_II,HOII,THINGS,False,True,0.18348302526610047,0.08677321156961894,0.3509810873950542,255277,normalized combination of MOM0 side flux imbalance and flux-centroid lopsidedness
M81_DWA,M81DWA,THINGS,False,True,0.10329510706371133,0.022638401644698346,0.1573968424916245,22394,normalized combination of MOM0 side flux imbalance and flux-centroid lopsidedness
M81_DWB,M81DWB,THINGS,False,True,0.15050047539471084,0.0035455900531451076,0.19510502705358698,12076,normalized combination of MOM0 side flux imbalance and flux-centroid lopsidedness
NGC_1569,NGC1569,THINGS,False,True,0.004450609928167523,0.020466016396213663,0.021899979644349043,141368,normalized combination of MOM0 side flux imbalance and flux-centroid lopsidedness
NGC_2366,NGC2366,THINGS,False,True,0.03710834242718209,0.002470219923554062,0.04156645803838677,202559,normalized combination of MOM0 side flux imbalance and flux-centroid lopsidedness
NGC_2403,NGC2403,THINGS,True,False,0.057441906690329815,0.048663082881867166,0.1308002769032098,2144331,normalized combination of MOM0 side flux imbalance and flux-centroid lopsidedness
NGC_2841,NGC2841,THINGS,True,False,0.07796645467520451,0.03862639035996523,0.1448679404431128,327462,normalized combination of MOM0 side flux imbalance and flux-centroid lopsidedness
NGC_2903,NGC2903,THINGS,True,False,0.010131333960843899,0.013969336451521833,0.020805514405563746,325568,normalized combination of MOM0 side flux imbalance and flux-centroid lopsidedness
