object_name,source_family,sfr_msun_yr,sfe_per_yr,depletion_time_yr,endpoint_overlap,proxy_only,crossmatch_role
GASS11834,xGASS,0.8298594355583191,2.0701644631048656e-10,4830534084.718003,False,True,SFR_SFE_HI_depletion_proxy_only
GASS11892,xGASS,0.038697674870491,7.041822929984109e-11,14200868297.07115,False,True,SFR_SFE_HI_depletion_proxy_only
GASS11825,xGASS,0.0620131008327007,3.535761910321057e-11,28282447329.978653,False,True,SFR_SFE_HI_depletion_proxy_only
GASS11903,xGASS,0.0364009886980056,7.09762650043422e-11,14089217007.105429,False,True,SFR_SFE_HI_depletion_proxy_only
GASS124028,xGASS,0.1345794796943664,5.235751158658019e-11,19099456213.58199,False,True,SFR_SFE_HI_depletion_proxy_only
GASS124009,xGASS,0.0778689980506897,8.656943646497705e-10,1155142092.6767437,False,True,SFR_SFE_HI_depletion_proxy_only
GASS124012,xGASS,0.1616237461566925,1.8599661439288344e-10,5376441949.032927,False,True,SFR_SFE_HI_depletion_proxy_only
GASS11910,xGASS,0.186957761645317,7.140740957081029e-11,14004148953.315022,False,True,SFR_SFE_HI_depletion_proxy_only
GASS11917,xGASS,1.512344241142273,4.1366705223349283e-10,2417403065.0996923,False,True,SFR_SFE_HI_depletion_proxy_only
GASS11956,xGASS,0.4737958908081054,3.2553012352093665e-10,3071912329.2922673,False,True,SFR_SFE_HI_depletion_proxy_only
GASS12030,xGASS,0.0824028402566909,1.1322484004033267e-10,8831984215.157932,False,True,SFR_SFE_HI_depletion_proxy_only
GASS12025,xGASS,0.2087273001670837,1.7401183333640398e-10,5746735614.622111,False,True,SFR_SFE_HI_depletion_proxy_only
GASS124006,xGASS,0.5386542081832886,4.845186852669376e-09,206390389.14444888,False,True,SFR_SFE_HI_depletion_proxy_only
GASS12044,xGASS,4.169886112213135,5.249580202006115e-10,1904914224.6038117,False,True,SFR_SFE_HI_depletion_proxy_only
GASS124007,xGASS,0.1819673031568527,6.025510067873249e-11,16596105370.926016,False,True,SFR_SFE_HI_depletion_proxy_only
GASS124000,xGASS,0.2190095484256744,8.718934823211424e-11,11469290920.007961,False,True,SFR_SFE_HI_depletion_proxy_only
GASS124010,xGASS,2.935298442840576,1.6506396161761376e-10,6058257600.266461,False,True,SFR_SFE_HI_depletion_proxy_only
GASS12005,xGASS,0.0564926341176033,1.3995611506734298e-10,7145096872.1075735,False,True,SFR_SFE_HI_depletion_proxy_only
GASS124001,xGASS,1.4812569618225098,3.16687067285312e-10,3157691308.8751836,False,True,SFR_SFE_HI_depletion_proxy_only
GASS12002,xGASS,0.0128140337765216,2.7969558600810054e-11,35753156289.389496,False,True,SFR_SFE_HI_depletion_proxy_only
GASS124004,xGASS,0.3255559206008911,3.354479425461491e-10,2981088488.454287,False,True,SFR_SFE_HI_depletion_proxy_only
GASS124025,xGASS,0.3450637757778168,1.1426147549240592e-10,8751856176.288065,False,True,SFR_SFE_HI_depletion_proxy_only
GASS12062,xGASS,0.9898662567138672,1.4844861886812045e-10,6736337512.768544,False,True,SFR_SFE_HI_depletion_proxy_only
GASS11989,xGASS,0.036577470600605,3.035381912251051e-11,32944783520.120415,False,True,SFR_SFE_HI_depletion_proxy_only
GASS11994,xGASS,0.9119031429290771,5.0112778593437236e-11,19954990085.721565,False,True,SFR_SFE_HI_depletion_proxy_only
GASS3163,xGASS,2.605628252029419,7.143518599676242e-10,1399870366.4680343,False,True,SFR_SFE_HI_depletion_proxy_only
GASS124003,xGASS,0.3049762845039367,2.7814170164511646e-10,3595289717.7421784,False,True,SFR_SFE_HI_depletion_proxy_only
GASS3157,xGASS,0.0555665977299213,9.137205859382141e-11,10944264749.963947,False,True,SFR_SFE_HI_depletion_proxy_only
GASS3151,xGASS,0.0910857692360878,1.1026830872108277e-10,9068788771.662775,False,True,SFR_SFE_HI_depletion_proxy_only
GASS27181,xGASS,1.4197280406951904,4.3271840343296383e-10,2310971736.0447755,False,True,SFR_SFE_HI_depletion_proxy_only
GASS27167,xGASS,0.1595683097839355,4.187418011558525e-11,23881064590.153194,False,True,SFR_SFE_HI_depletion_proxy_only
GASS3189,xGASS,2.3247158527374268,4.429652014216189e-10,2257513675.545338,False,True,SFR_SFE_HI_depletion_proxy_only
GASS27219,xGASS,0.9051790833473206,6.349422513258917e-10,1574946379.6302605,False,True,SFR_SFE_HI_depletion_proxy_only
GASS124016,xGASS,0.4849379062652588,1.76070481810849e-10,5679543724.281344,False,True,SFR_SFE_HI_depletion_proxy_only
GASS27207,xGASS,2.6342673301696777,2.758419432100848e-10,3625264484.30066,False,True,SFR_SFE_HI_depletion_proxy_only
GASS27204,xGASS,1.8761969804763796,1.6721615845877488e-10,5980283300.471455,False,True,SFR_SFE_HI_depletion_proxy_only
GASS124002,xGASS,0.2094233632087707,2.1728258720422836e-10,4602301605.78896,False,True,SFR_SFE_HI_depletion_proxy_only
GASS3233,xGASS,2.7073094844818115,1.4946432009450366e-09,669055999.028877,False,True,SFR_SFE_HI_depletion_proxy_only
GASS124027,xGASS,0.5182380676269531,1.0340213406431094e-10,9670980285.359005,False,True,SFR_SFE_HI_depletion_proxy_only
GASS3258,xGASS,0.2286168783903122,4.326221165371024e-10,2311486079.3628387,False,True,SFR_SFE_HI_depletion_proxy_only
GASS3261,xGASS,1.4676183462142944,1.6166386181584807e-10,6185674329.239419,False,True,SFR_SFE_HI_depletion_proxy_only
GASS3305,xGASS,1.738900661468506,1.2890645292701668e-10,7757563545.450846,False,True,SFR_SFE_HI_depletion_proxy_only
GASS3301,xGASS,0.0494164153933525,4.404240723584036e-11,22705389254.614376,False,True,SFR_SFE_HI_depletion_proxy_only
GASS3321,xGASS,0.1471710056066513,1.0515316497791315e-10,9509937244.495157,False,True,SFR_SFE_HI_depletion_proxy_only
GASS3284,xGASS,1.490088939666748,9.799683080044402e-10,1020441163.0783768,False,True,SFR_SFE_HI_depletion_proxy_only
GASS3398,xGASS,8.490379333496094,3.7061879306468033e-10,2698190212.4576836,False,True,SFR_SFE_HI_depletion_proxy_only
GASS3435,xGASS,0.1200707033276557,1.35031998698813e-10,7405652064.963404,False,True,SFR_SFE_HI_depletion_proxy_only
GASS3439,xGASS,0.5182221531867981,1.5118758401533619e-10,6614299755.584174,False,True,SFR_SFE_HI_depletion_proxy_only
GASS3465,xGASS,0.2153324782848358,8.474416518256605e-11,11800222444.172764,False,True,SFR_SFE_HI_depletion_proxy_only
