galaxy_name,Q,T,Vflat,e_Vflat,L36,MHI,Rdisk,RHI,Reff,SBeff,SBdisk,D,Inc,Ref,canonical_name,endpoint_tier,RHI_over_Rdisk,direct_hi_extent_overlap,map_level_ar_asymmetry_available,resolved_hi_overlap_role,proxy_only,quality_quarantine_flag
D631-7,1.0,10.0,57.7,2.7,0.196,0.29,0.7,0.0,1.22,20.93,115.04,7.72,59.0,"Tr09,dB01",D6317,Tier1_quality1_endpoint,0.0,False,False,endpoint_row_missing_positive_RHI_or_MHI,False,False
DDO064,1.0,10.0,46.1,3.9,0.157,0.211,0.69,3.49,1.2,17.41,151.65,6.8,60.0,"dB02,Sw02",DDO064,Tier1_quality1_endpoint,5.057971014492754,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
DDO161,1.0,10.0,66.3,1.9,0.548,1.378,1.22,10.69,2.04,20.74,169.37,7.5,70.0,Co00,DDO161,Tier1_quality1_endpoint,8.762295081967213,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
ESO079-G014,1.0,4.0,175.0,3.5,51.733,3.14,5.08,17.67,7.23,157.34,2295.25,28.7,79.0,Ge04,ESO079G014,Tier1_quality1_endpoint,3.478346456692914,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
ESO116-G012,1.0,7.0,109.1,3.1,4.292,1.083,1.51,9.58,2.75,90.54,1320.78,13.0,74.0,Ge04,ESO116G012,Tier1_quality1_endpoint,6.344370860927152,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
ESO563-G021,1.0,4.0,314.6,11.7,311.177,24.298,5.45,55.71,10.59,429.37,6558.89,60.8,83.0,SG06,ESO563G021,Tier1_quality1_endpoint,10.222018348623854,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
F563-1,1.0,9.0,109.9,12.5,1.903,3.2,3.52,23.47,4.61,14.22,41.77,48.9,25.0,"KN08,dB96",F5631,Tier1_quality1_endpoint,6.667613636363636,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
F563-V2,1.0,10.0,116.6,9.4,2.986,2.169,2.43,11.37,4.49,23.6,146.16,59.7,29.0,"dB01,dB96",F563V2,Tier1_quality1_endpoint,4.679012345679012,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
F568-V1,1.0,7.0,112.3,15.8,3.825,2.491,2.85,14.38,4.4,31.39,90.54,80.6,40.0,"dB01,dB96",F568V1,Tier1_quality1_endpoint,5.045614035087719,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
F571-8,1.0,5.0,139.7,4.3,10.164,1.782,3.56,24.55,1.4,825.71,87.26,53.3,85.0,"dB01,dB96",F5718,Tier1_quality1_endpoint,6.896067415730337,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
F574-1,1.0,7.0,97.8,4.1,6.537,3.524,4.46,16.19,5.87,29.98,128.48,96.8,65.0,"dB01,dB96",F5741,Tier1_quality1_endpoint,3.6300448430493275,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
F579-V1,1.0,5.0,112.1,13.4,11.848,2.245,3.37,20.96,5.76,56.6,201.76,89.5,26.0,"dB01,dB96",F579V1,Tier1_quality1_endpoint,6.2195845697329375,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
F583-1,1.0,9.0,85.8,3.6,0.986,2.126,2.36,15.65,3.74,11.19,60.93,35.4,63.0,"KN08,dB96",F5831,Tier1_quality1_endpoint,6.63135593220339,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
IC4202,1.0,4.0,242.6,11.0,179.749,12.326,4.78,32.13,8.55,391.59,8888.53,100.4,90.0,SG06,IC4202,Tier1_quality1_endpoint,6.7217573221757325,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
NGC0024,1.0,5.0,106.3,7.9,3.889,0.676,1.34,7.29,2.01,151.65,1182.58,7.3,64.0,"Di08,Ch06",NGC0024,Tier1_quality1_endpoint,5.440298507462686,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
NGC0100,1.0,6.0,88.1,6.4,3.232,1.99,1.66,16.36,2.81,64.99,1193.52,13.5,89.0,"dB02,Rh96",NGC0100,Tier1_quality1_endpoint,9.855421686746988,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
NGC0801,1.0,5.0,220.1,6.2,312.57,23.201,8.72,44.99,7.76,818.14,1558.94,80.7,80.0,"Sa96,Br92",NGC0801,Tier1_quality1_endpoint,5.159403669724771,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
NGC0891,1.0,3.0,216.1,5.7,138.34,4.462,2.55,18.16,3.68,1617.45,5067.92,9.91,90.0,Fr11,NGC0891,Tier1_quality1_endpoint,7.121568627450981,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
NGC1003,1.0,6.0,109.8,4.2,6.82,5.88,1.61,33.33,2.76,140.87,1345.33,11.4,67.0,"Sa96,Br92",NGC1003,Tier1_quality1_endpoint,20.701863354037265,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
NGC1090,1.0,4.0,164.4,3.7,72.045,8.783,3.53,30.49,6.36,283.68,2055.09,37.0,64.0,Ge04,NGC1090,Tier1_quality1_endpoint,8.637393767705383,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
NGC2403,1.0,6.0,131.2,4.9,10.041,3.199,1.39,15.11,2.16,341.06,1408.74,3.16,63.0,"Da06,Fr02",NGC2403,Tier1_quality1_endpoint,10.870503597122303,True,True,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
NGC2841,1.0,3.0,284.8,8.6,188.121,9.775,3.64,45.12,5.51,983.63,4751.49,14.1,76.0,"Di08,Be91",NGC2841,Tier1_quality1_endpoint,12.395604395604394,True,True,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
NGC2903,1.0,4.0,184.6,5.6,81.863,2.552,2.33,13.76,4.54,632.16,1193.52,6.6,66.0,"Be91,Be87",NGC2903,Tier1_quality1_endpoint,5.90557939914163,True,True,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
NGC2998,1.0,5.0,209.9,8.1,150.902,23.451,6.2,43.58,7.06,479.55,774.16,68.1,58.0,"Sa96,Br92",NGC2998,Tier1_quality1_endpoint,7.0290322580645155,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
NGC3109,1.0,9.0,66.2,2.6,0.194,0.477,1.56,6.0,1.64,11.4,140.87,1.33,70.0,"Be91,JC90",NGC3109,Tier1_quality1_endpoint,3.846153846153846,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
NGC3198,1.0,5.0,150.1,3.9,38.279,10.869,3.14,35.66,5.84,178.99,1602.62,13.8,73.0,"Da06,Be91,Be87",NGC3198,Tier1_quality1_endpoint,11.35668789808917,True,True,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
NGC3521,1.0,4.0,213.7,15.9,84.836,4.154,2.4,18.85,2.45,2232.7,2112.66,7.7,75.0,"Da06,Sa96",NGC3521,Tier1_quality1_endpoint,7.854166666666668,True,True,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
NGC3741,1.0,10.0,50.1,2.1,0.028,0.182,0.2,4.2,0.32,42.94,143.49,3.21,70.0,"Ge07,Bm05",NGC3741,Tier1_quality1_endpoint,21.0,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
NGC3893,1.0,5.0,174.0,8.9,58.525,5.799,2.38,20.84,2.43,1573.37,2055.09,18.0,49.0,"VS01,SV98",NGC3893,Tier1_quality1_endpoint,8.756302521008404,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
NGC3917,1.0,6.0,135.9,4.1,21.966,1.888,2.63,14.08,5.56,112.94,1226.96,18.0,79.0,"VS01,SV98",NGC3917,Tier1_quality1_endpoint,5.353612167300381,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
NGC3953,1.0,4.0,220.8,6.1,141.301,2.832,4.89,17.38,6.17,587.26,1999.08,18.0,62.0,"VS01,SV98",NGC3953,Tier1_quality1_endpoint,3.554192229038855,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
NGC3972,1.0,4.0,132.7,2.9,14.353,1.214,2.18,10.05,3.73,164.75,1587.93,18.0,77.0,"VS01,SV98",NGC3972,Tier1_quality1_endpoint,4.610091743119266,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
NGC3992,1.0,4.0,241.0,5.2,226.932,16.599,4.96,32.75,9.99,360.44,3257.09,23.7,56.0,"VS01,SV98",NGC3992,Tier1_quality1_endpoint,6.602822580645161,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
NGC4088,1.0,4.0,171.7,6.9,107.286,8.226,2.58,22.25,6.1,457.96,3988.69,18.0,69.0,"VS01,SV98",NGC4088,Tier1_quality1_endpoint,8.624031007751938,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
NGC4100,1.0,4.0,158.2,5.0,59.394,3.102,2.15,18.06,4.93,388.0,8970.78,18.0,73.0,"VS01,SV98",NGC4100,Tier1_quality1_endpoint,8.4,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
NGC4157,1.0,3.0,184.7,7.2,105.62,8.226,2.32,24.09,4.44,848.85,23813.87,18.0,82.0,"VS01,SV98",NGC4157,Tier1_quality1_endpoint,10.383620689655173,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
NGC4183,1.0,6.0,110.6,5.4,10.838,3.506,2.79,16.07,4.47,86.46,1098.58,18.0,82.0,"VS01,SV98",NGC4183,Tier1_quality1_endpoint,5.759856630824372,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
NGC4217,1.0,3.0,181.3,7.2,85.299,2.562,2.94,16.7,5.28,483.98,4373.51,18.0,86.0,"VS01,SV98",NGC4217,Tier1_quality1_endpoint,5.680272108843537,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
NGC4559,1.0,6.0,121.2,5.1,19.377,5.811,2.1,21.16,3.82,211.27,1602.62,9.0,67.0,Ba05,NGC4559,Tier1_quality1_endpoint,10.076190476190476,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
NGC5005,1.0,4.0,262.2,20.7,178.72,1.28,9.45,10.41,3.97,1789.91,96.57,16.9,68.0,Ri15,NGC5005,Tier1_quality1_endpoint,1.1015873015873017,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
NGC5033,1.0,5.0,194.2,3.6,110.509,11.314,5.16,29.53,2.94,2036.24,614.94,15.7,66.0,"Sa96,Be87",NGC5033,Tier1_quality1_endpoint,5.7228682170542635,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
NGC5055,1.0,4.0,179.0,4.9,152.922,11.722,3.2,35.06,4.18,1383.02,3348.34,9.9,55.0,"Ba06,Bl04",NGC5055,Tier1_quality1_endpoint,10.95625,True,True,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
NGC5371,1.0,4.0,209.5,3.9,340.393,11.18,7.44,30.03,9.8,560.83,1395.82,39.7,53.0,"Sa96,Be87",NGC5371,Tier1_quality1_endpoint,4.036290322580645,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
NGC5585,1.0,7.0,90.3,2.4,2.943,1.683,1.53,10.92,2.27,90.54,297.05,7.06,51.0,"Bl99,Sa96,Co91",NGC5585,Tier1_quality1_endpoint,7.137254901960784,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
NGC5907,1.0,5.0,215.0,2.9,175.425,21.025,5.34,0.0,7.88,449.6,8646.29,17.3,88.0,"Sa96,SA87",NGC5907,Tier1_quality1_endpoint,0.0,False,False,endpoint_row_missing_positive_RHI_or_MHI,False,False
NGC5985,1.0,3.0,293.6,8.6,208.728,11.586,7.01,39.5,10.71,288.95,1461.61,39.7,60.0,"Bl04,Br92",NGC5985,Tier1_quality1_endpoint,5.634807417974322,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
NGC6195,1.0,3.0,251.7,9.3,391.076,20.907,13.94,40.89,9.52,686.8,174.11,127.8,62.0,SG06,NGC6195,Tier1_quality1_endpoint,2.9332855093256818,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
NGC6503,1.0,6.0,116.3,2.4,12.845,1.744,2.16,14.05,1.62,774.16,398.87,6.26,74.0,"Be91,Be87",NGC6503,Tier1_quality1_endpoint,6.50462962962963,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
NGC6674,1.0,3.0,241.3,4.9,214.654,32.165,6.04,50.02,7.75,560.83,1370.35,51.2,54.0,"Sa96,Br92",NGC6674,Tier1_quality1_endpoint,8.281456953642385,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
NGC6946,1.0,6.0,158.9,10.9,66.173,5.67,2.44,21.25,4.2,571.26,2232.7,5.52,38.0,Bo08,NGC6946,Tier1_quality1_endpoint,8.709016393442623,True,True,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
