object_name,source_family,vrot_km_s,sigma_km_s,vrot_over_sigma,endpoint_overlap,proxy_only,crossmatch_role
GASS11834,xGASS_angular_momentum,179.5,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS11825,xGASS_angular_momentum,221.7379630481232,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS124028,xGASS_angular_momentum,90.32303307973234,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS124012,xGASS_angular_momentum,127.5,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS11910,xGASS_angular_momentum,176.38297539718633,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS11956,xGASS_angular_momentum,144.4385821688425,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS12044,xGASS_angular_momentum,108.4701920164012,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS124007,xGASS_angular_momentum,81.47673732291402,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS124000,xGASS_angular_momentum,101.37564049755252,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS124025,xGASS_angular_momentum,61.36151883848681,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS12062,xGASS_angular_momentum,167.7280541194237,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS11994,xGASS_angular_momentum,154.0789105422235,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS3163,xGASS_angular_momentum,202.18775814922063,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS124003,xGASS_angular_momentum,92.203615500027,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS3151,xGASS_angular_momentum,226.56729803836149,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS3189,xGASS_angular_momentum,218.24417917659272,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS27219,xGASS_angular_momentum,160.11453714400568,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS27207,xGASS_angular_momentum,181.8552608806044,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS27204,xGASS_angular_momentum,113.28170817688763,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS124002,xGASS_angular_momentum,107.93398711339344,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS3233,xGASS_angular_momentum,175.22348190225892,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS124027,xGASS_angular_momentum,137.89366384315326,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS3261,xGASS_angular_momentum,140.5631765005437,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS3305,xGASS_angular_momentum,191.91992706657575,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS3284,xGASS_angular_momentum,135.5744494499619,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS3439,xGASS_angular_momentum,152.04001372034617,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS3465,xGASS_angular_momentum,158.83305050037154,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS3645,xGASS_angular_momentum,173.37763364081675,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS101021,xGASS_angular_momentum,108.55507495264364,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS3524,xGASS_angular_momentum,185.5,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS3666,xGASS_angular_momentum,174.21603821439567,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS101028,xGASS_angular_momentum,42.87417725683403,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS101007,xGASS_angular_momentum,112.356265479365,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS101004,xGASS_angular_momentum,138.0041350451948,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS3777,xGASS_angular_momentum,233.41559805619195,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS101034,xGASS_angular_momentum,96.74580637018428,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS27260,xGASS_angular_momentum,264.85169037101053,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS3792,xGASS_angular_momentum,275.81026521075404,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS27284,xGASS_angular_momentum,249.9520340169124,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS101037,xGASS_angular_momentum,111.28502212643384,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS3817,xGASS_angular_momentum,145.58514651439623,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS4111,xGASS_angular_momentum,191.0805071247954,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS101031,xGASS_angular_momentum,91.38230807361138,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS101030,xGASS_angular_momentum,25.919400481346543,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS101000,xGASS_angular_momentum,68.64450676462364,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS101022,xGASS_angular_momentum,145.1528428031596,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS4203,xGASS_angular_momentum,159.940292609679,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS101001,xGASS_angular_momentum,96.5,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS4163,xGASS_angular_momentum,156.29024817336332,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS101026,xGASS_angular_momentum,86.51991638314931,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS4145,xGASS_angular_momentum,167.88412972789672,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS4216,xGASS_angular_momentum,189.1442534635422,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS4134,xGASS_angular_momentum,177.4343704380979,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS4137,xGASS_angular_momentum,134.73012164390266,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS4230,xGASS_angular_momentum,242.31489784115945,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS3918,xGASS_angular_momentum,68.29696381271414,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS4132,xGASS_angular_momentum,207.23325850682943,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS3917,xGASS_angular_momentum,120.81495110523764,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS101033,xGASS_angular_momentum,105.03066959477265,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS3936,xGASS_angular_momentum,125.69555005510442,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS102001,xGASS_angular_momentum,89.96932348665166,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS3962,xGASS_angular_momentum,229.7195383907006,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS3971,xGASS_angular_momentum,180.66452323072656,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS3977,xGASS_angular_momentum,139.5230903517319,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS4008,xGASS_angular_momentum,195.76636752311828,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS4038,xGASS_angular_momentum,209.5,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS4039,xGASS_angular_momentum,198.74105136336,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS4041,xGASS_angular_momentum,149.0497543704509,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS4048,xGASS_angular_momentum,205.68105924950248,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS4056,xGASS_angular_momentum,102.94601066404132,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS3981,xGASS_angular_momentum,212.37064136233727,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS4057,xGASS_angular_momentum,180.4576896230448,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS21842,xGASS_angular_momentum,264.7380241941467,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS13775,xGASS_angular_momentum,235.5,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS17029,xGASS_angular_momentum,254.5,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS51334,xGASS_angular_momentum,152.0,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS107005,xGASS_angular_momentum,139.2485561752475,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS51276,xGASS_angular_momentum,124.94464147997397,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS107026,xGASS_angular_momentum,111.964912222773,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS51351,xGASS_angular_momentum,302.1562103865195,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS51390,xGASS_angular_momentum,252.3183869300744,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS51336,xGASS_angular_momentum,269.8033408654344,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS108143,xGASS_angular_momentum,52.288627832545366,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS108136,xGASS_angular_momentum,106.35129350588868,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS108145,xGASS_angular_momentum,43.48558440012167,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS108078,xGASS_angular_momentum,81.46376427437778,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS108150,xGASS_angular_momentum,90.94423111298114,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS108132,xGASS_angular_momentum,73.5,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS51580,xGASS_angular_momentum,155.5,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS108119,xGASS_angular_momentum,99.11565006552745,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS56312,xGASS_angular_momentum,205.9779979929648,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS14247,xGASS_angular_momentum,277.7099732893694,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS56304,xGASS_angular_momentum,261.99584467740374,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS108011,xGASS_angular_momentum,44.61836832081856,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS108090,xGASS_angular_momentum,139.5197113598464,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS108112,xGASS_angular_momentum,146.82037186710758,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS108049,xGASS_angular_momentum,102.0032742633804,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS108129,xGASS_angular_momentum,117.28245417507917,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS108147,xGASS_angular_momentum,81.36004138225302,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS108046,xGASS_angular_momentum,126.83183738522872,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS108044,xGASS_angular_momentum,118.8845778895373,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS108113,xGASS_angular_momentum,235.52053869643683,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS108007,xGASS_angular_momentum,111.6825265335378,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS108142,xGASS_angular_momentum,129.42751522904408,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS108050,xGASS_angular_momentum,117.13386540997536,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS108072,xGASS_angular_momentum,177.406531262377,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS108097,xGASS_angular_momentum,98.12680546340398,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS108064,xGASS_angular_momentum,119.02958629944708,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS108088,xGASS_angular_momentum,126.89627957338972,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS108093,xGASS_angular_momentum,112.22430507166374,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS16479,xGASS_angular_momentum,257.62408878754013,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS19918,xGASS_angular_momentum,277.00997078611414,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS108140,xGASS_angular_momentum,92.62928169729528,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS108148,xGASS_angular_momentum,119.31389436398966,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS108133,xGASS_angular_momentum,124.2709138315842,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS56509,xGASS_angular_momentum,203.62194429124057,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS19989,xGASS_angular_momentum,78.6258104769907,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS108021,xGASS_angular_momentum,176.54751872293937,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS108051,xGASS_angular_momentum,42.66128100161496,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS108017,xGASS_angular_momentum,150.57615960972257,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS52297,xGASS_angular_momentum,214.00826661782543,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS19949,xGASS_angular_momentum,282.8409681038575,,,False,True,Vrot_available_sigma_missing_proxy_only
