object_name,taxonomy_stage,m51_pseudotime_score,m54_hi_sfr_score,m56_hi_structural_score,gas_fraction_only_score,stellar_fraction_only_score,rhi_over_rd_only_score,quality_only_score,hi_compactness_from_m51,f_star_structural,f_gas_structural,RHI_over_Rdisk,quality_used_as_physical_feature,quality_only_separate_baseline,uses_map_level_dynamical_maturity,trained_on_endpoint_residuals,trained_on_A_inferred,quality_quarantine_flag,claim_boundary,organization_label_settled,organization_label_score
DDO064,juvenile_forming,0.0,0.25,0.23039957028765612,0.21858379973825637,0.21858379973825634,0.8011708887100801,0.7,0.1650717703349282,0.21858379973825634,0.7814162002617436,5.057971014492754,False,True,False,False,False,False,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,0,0.5049400129158044
DDO161,failed_stalled,0.4893492655250718,0.4946746327625359,0.398713780353277,0.13005876377721037,0.1300587637772103,0.6150091016560829,1.0,0.1024349286314021,0.1300587637772103,0.8699412362227896,8.762295081967213,False,True,False,False,False,False,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,0,0.3492760403991559
ESO079-G014,mature_or_control,0.7248966280215176,0.6124483140107588,0.7028146916616903,0.8609911892073615,0.8609911892073615,0.8805553392057646,1.0,0.2232967032967032,0.8609911892073615,0.1390088107926385,3.478346456692914,False,True,False,False,False,False,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,1,0.8029659200645272
ESO116-G012,mature_or_control,0.6621790652921447,0.5810895326460723,0.5917494870147482,0.5983732945942856,0.5983732945942857,0.7365225237408978,1.0,0.1361587015329125,0.5983732945942857,0.40162670540571443,6.344370860927152,False,True,False,False,False,False,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,1,0.6999053372079475
ESO563-G021,mature_or_control,1.0,0.75,0.7557621057330977,0.8280175220606345,0.8280175220606345,0.5416503223011305,1.0,0.0891105297580117,0.8280175220606345,0.17198247793936544,10.222018348623854,False,True,False,False,False,False,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,1,0.5870690582416639
F563-1,juvenile_forming,0.0025630890815867,0.2512815445407934,0.2087803852646976,0.1827172347575612,0.1827172347575612,0.7202778724546035,0.7,0.1304186735828084,0.1827172347575612,0.8172827652424388,6.667613636363636,False,True,False,False,False,False,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,0,0.3601938963593776
F563-V2,juvenile_forming,0.0,0.25,0.25884927220779674,0.341041215047844,0.341041215047844,0.8202155569736935,0.7,0.1760869565217391,0.341041215047844,0.658958784952156,4.679012345679012,False,True,False,False,False,False,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,0,0.5139999488833488
F568-V1,juvenile_forming,0.0,0.25,0.2600080175283913,0.36599158362883766,0.3659915836288376,0.8017918919826689,0.7,0.1654091700522345,0.3659915836288376,0.6340084163711623,5.045614035087719,False,True,False,False,False,False,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,0,0.5512645885929354
F571-8,mature_or_control,0.9195511394645024,0.7097755697322512,0.7191738915354035,0.6819590824550527,0.6819590824550528,0.708796867269455,1.0,0.1266453219494841,0.6819590824550528,0.31804091754494734,6.896067415730337,False,True,False,False,False,False,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,1,0.5939048188945589
F574-1,mature_or_control,0.0,0.25,0.28470821197108276,0.41085197261741047,0.4108519726174105,0.8729316966240367,1.0,0.2159806295399515,0.4108519726174105,0.5891480273825895,3.630044843049328,False,True,False,False,False,False,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,1,0.6927799831897397
F579-V1,mature_or_control,0.620649655144032,0.5603248275720161,0.5875390360554879,0.6648821248393633,0.6648821248393632,0.7427936918529235,0.7,0.1385121249486231,0.6648821248393632,0.3351178751606368,6.2195845697329375,False,True,False,False,False,False,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,1,0.6425911368515081
F583-1,juvenile_forming,0.0,0.25,0.20111244089504698,0.1484680387161279,0.1484680387161279,0.722100012979568,1.0,0.1310383120488617,0.1484680387161279,0.8515319612838721,6.63135593220339,False,True,False,False,False,False,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,0,0.4462449453861865
