object_name,canonical_name,Vflat,e_Vflat,L36,MHI,Rdisk,RHI,RHI_over_Rdisk,direct_hi_extent_overlap,m51_primary_score,m54_organization_score,organization_label_settled,organization_label_score,quality_quarantine_flag,quality_measurement_limited_flag,taxonomy_stage,branch_role
DDO064,DDO064,46.1,3.9,0.157,0.211,0.69,3.49,5.057971014492754,True,0.0,0.25,0,0.5049400129158044,False,True,juvenile_forming,physical_ordering_candidate_or_control
DDO161,DDO161,66.3,1.9,0.548,1.378,1.22,10.69,8.762295081967213,True,0.4893492655250718,0.4946746327625359,0,0.3492760403991559,False,False,failed_stalled,physical_ordering_candidate_or_control
ESO079-G014,ESO079G014,175.0,3.5,51.733,3.14,5.08,17.67,3.478346456692914,True,0.7248966280215176,0.6124483140107588,1,0.8029659200645272,False,False,mature_or_control,physical_ordering_candidate_or_control
ESO116-G012,ESO116G012,109.1,3.1,4.292,1.083,1.51,9.58,6.344370860927152,True,0.6621790652921447,0.5810895326460723,1,0.6999053372079475,False,False,mature_or_control,physical_ordering_candidate_or_control
ESO563-G021,ESO563G021,314.6,11.7,311.177,24.298,5.45,55.71,10.222018348623854,True,1.0,0.75,1,0.5870690582416639,False,False,mature_or_control,physical_ordering_candidate_or_control
F563-1,F5631,109.9,12.5,1.903,3.2,3.52,23.47,6.667613636363636,True,0.0025630890815867,0.2512815445407934,0,0.3601938963593776,False,True,juvenile_forming,physical_ordering_candidate_or_control
F563-V2,F563V2,116.6,9.4,2.986,2.169,2.43,11.37,4.679012345679012,True,0.0,0.25,0,0.5139999488833488,False,True,juvenile_forming,physical_ordering_candidate_or_control
F568-V1,F568V1,112.3,15.8,3.825,2.491,2.85,14.38,5.045614035087719,True,0.0,0.25,0,0.5512645885929354,False,True,juvenile_forming,physical_ordering_candidate_or_control
F571-8,F5718,139.7,4.3,10.164,1.782,3.56,24.55,6.896067415730337,True,0.9195511394645024,0.7097755697322512,1,0.5939048188945589,False,False,mature_or_control,physical_ordering_candidate_or_control
F574-1,F5741,97.8,4.1,6.537,3.524,4.46,16.19,3.630044843049328,True,0.0,0.25,1,0.6927799831897397,False,False,mature_or_control,physical_ordering_candidate_or_control
