object_name,taxonomy_stage,m51_pseudotime_score,m54_hi_sfr_score,m56_hi_structural_score,gas_fraction_only_score,stellar_fraction_only_score,rhi_over_rd_only_score,quality_only_score,RHI_over_Rdisk,f_star_structural,f_gas_structural,quality_quarantine_flag,branch_role,claim_boundary,m51_rank,m54_rank,m56_rank,m56_vs_m51_rank_shift,m56_vs_m54_rank_shift
UGC11914,mature_or_control,1.0,0.75,0.8474503133835356,0.9844997784632701,0.9844997784632701,0.8646377122412043,1.0,3.795081967213114,0.9844997784632701,0.015500221536729952,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,15.5,15.5,1.0,14.5,14.5
NGC5005,mature_or_control,0.8936337039666468,0.6968168519833234,0.8459792737627422,0.9813051270337703,0.9813051270337703,1.0,1.0,1.1015873015873017,0.9813051270337703,0.018694872966229754,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,40.0,40.0,2.0,38.0,38.0
NGC3953,mature_or_control,0.9899496598299397,0.7449748299149699,0.8388238510356203,0.9493857994389996,0.9493857994389996,0.876743689829732,1.0,3.554192229038855,0.9493857994389996,0.050614200561000404,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,31.0,31.0,3.0,28.0,28.0
NGC7814,mature_or_control,1.0,0.75,0.8321787371608569,0.9632156039661287,0.9632156039661287,0.8149662829319277,1.0,4.783464566929134,0.9632156039661287,0.036784396033871326,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,15.5,15.5,4.0,11.5,11.5
UGC03546,mature_or_control,1.0,0.75,0.8257471459690822,0.9343900268783742,0.9343900268783742,0.8117750167117646,1.0,4.846965699208443,0.9343900268783742,0.0656099731216258,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,15.5,15.5,5.0,10.5,10.5
UGC02487,mature_or_control,1.0,0.75,0.8185314350023972,0.9111431474496304,0.9111431474496304,0.7993071209669005,1.0,5.095057034220533,0.9111431474496304,0.08885685255036956,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,15.5,15.5,6.0,9.5,9.5
NGC4217,mature_or_control,1.0,0.75,0.8156572761852716,0.9260163936134734,0.9260163936134734,0.7698969824049594,1.0,5.680272108843537,0.9260163936134734,0.0739836063865266,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,15.5,15.5,7.0,8.5,8.5
NGC2903,mature_or_control,1.0,0.75,0.8129525091547795,0.9234267464940172,0.9234267464940172,0.7585741048612614,1.0,5.90557939914163,0.9234267464940172,0.07657325350598278,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,15.5,15.5,8.0,7.5,7.5
NGC7331,disturbed_or_measurement_contaminated,1.0,0.75,0.8123951852583691,0.894889484820931,0.8948894848209311,0.7849632103367004,1.0,5.380478087649403,0.8948894848209311,0.10511051517906896,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,15.5,15.5,9.0,6.5,6.5
NGC5371,true_falsifier_candidate,0.9553488115949108,0.7276744057974555,0.8115709054139054,0.919653485596212,0.9196534855962119,0.8525157224612471,1.0,4.036290322580645,0.9196534855962119,0.08034651440378807,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,33.0,33.0,10.0,23.0,23.0
NGC0891,mature_or_control,1.0,0.75,0.8011293129980508,0.9209839202625251,0.920983920262525,0.697464244153309,1.0,7.121568627450981,0.920983920262525,0.07901607973747497,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,15.5,15.5,11.0,4.5,4.5
UGC11455,mature_or_control,1.0,0.75,0.7977822473934528,0.913441441546966,0.913441441546966,0.6872174410883838,1.0,7.325463743676223,0.913441441546966,0.086558558453034,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,15.5,15.5,12.0,3.5,3.5
IC4202,mature_or_control,1.0,0.75,0.7897306966235008,0.8457337330268883,0.8457337330268883,0.7175568671848507,1.0,6.7217573221757325,0.8457337330268883,0.15426626697311177,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,15.5,15.5,13.0,2.5,2.5
NGC3992,mature_or_control,1.0,0.75,0.7891078718478046,0.8371238370913012,0.8371238370913012,0.7235339641188216,1.0,6.602822580645161,0.8371238370913012,0.1628761629086988,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,15.5,15.5,14.0,1.5,1.5
NGC3521,mature_or_control,1.0,0.75,0.7873436792842218,0.8847623064308691,0.8847623064308692,0.660647335673261,1.0,7.854166666666668,0.8847623064308692,0.1152376935691309,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,15.5,15.5,15.0,0.5,0.5
NGC4100,mature_or_control,1.0,0.75,0.7812249143792529,0.8780208298223735,0.8780208298223735,0.6332163369495851,1.0,8.4,0.8780208298223735,0.12197917017762648,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,15.5,15.5,16.0,-0.5,-0.5
UGC02885,mature_or_control,1.0,0.75,0.7807306392446006,0.7910323852314484,0.7910323852314484,0.7280841702213415,1.0,6.512280701754385,0.7910323852314484,0.20896761476855163,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,15.5,15.5,17.0,-1.5,-1.5
NGC5985,mature_or_control,0.922742285624894,0.7113711428124471,0.7704024366339302,0.8713455360448207,0.8713455360448207,0.7721818224853364,1.0,5.634807417974322,0.8713455360448207,0.12865446395517935,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,36.0,36.0,18.0,18.0,18.0
NGC4088,true_falsifier_candidate,1.0,0.75,0.7698039199571706,0.8305981179736397,0.8305981179736398,0.6219575993232513,1.0,8.624031007751938,0.8305981179736398,0.1694018820263603,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,15.5,15.5,19.0,-3.5,-3.5
UGC06786,mature_or_control,0.9265244652208636,0.7132622326104319,0.7669343161925897,0.8458313937142514,0.8458313937142514,0.7718371091257179,1.0,5.641666666666667,0.8458313937142514,0.15416860628574855,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,35.0,35.0,20.0,15.0,15.0
NGC6946,true_falsifier_candidate,1.0,0.75,0.7658296604452973,0.8143848024495663,0.8143848024495663,0.6176866362580686,1.0,8.709016393442623,0.8143848024495663,0.18561519755043368,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,15.5,15.5,21.0,-5.5,-5.5
UGC03205,mature_or_control,1.0,0.75,0.7638185926156951,0.8153228640373326,0.8153228640373327,0.6047961182140262,1.0,8.965517241379311,0.8153228640373327,0.18467713596266744,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,15.5,15.5,22.0,-6.5,-6.5
NGC3893,mature_or_control,1.0,0.75,0.7608282192388391,0.7914094783066582,0.7914094783066582,0.6153102593941213,1.0,8.756302521008404,0.7914094783066582,0.2085905216933418,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,15.5,15.5,23.0,-7.5,-7.5
NGC2998,mature_or_control,1.0,0.75,0.7592769038505663,0.7075245007001539,0.7075245007001539,0.7021146839039052,1.0,7.029032258064516,0.7075245007001539,0.29247549929984606,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,15.5,15.5,24.0,-8.5,-8.5
ESO563-G021,mature_or_control,1.0,0.75,0.7557621057330977,0.8280175220606345,0.8280175220606345,0.5416503223011305,1.0,10.222018348623854,0.8280175220606345,0.17198247793936544,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,15.5,15.5,25.0,-9.5,-9.5
UGC09133,true_falsifier_candidate,1.0,0.75,0.7555614336039362,0.7608718569655787,0.7608718569655788,0.6202235123819011,1.0,8.658536585365853,0.7608718569655788,0.2391281430344213,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,15.5,15.5,26.0,-10.5,-10.5
NGC6503,mature_or_control,0.9677920314425682,0.7338960157212842,0.7550358274502713,0.7346700190573803,0.7346700190573804,0.7284686768772601,1.0,6.50462962962963,0.7346700190573804,0.26532998094261967,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,32.0,32.0,27.0,5.0,5.0
NGC1090,true_falsifier_candidate,1.0,0.75,0.7545945763278582,0.7551270976014745,0.7551270976014745,0.6212860502828341,1.0,8.637393767705383,0.7551270976014745,0.24487290239852558,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,15.5,15.5,28.0,-12.5,-12.5
NGC4157,mature_or_control,1.0,0.75,0.7544908184218622,0.8283846201869849,0.8283846201869849,0.5335289538542789,1.0,10.383620689655173,0.8283846201869849,0.17161537981301506,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,15.5,15.5,29.0,-13.5,-13.5
NGC5055,true_falsifier_candidate,1.0,0.75,0.7502035274667405,0.830635017923709,0.830635017923709,0.5047513162093171,1.0,10.95625,0.830635017923709,0.16936498207629097,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,15.5,15.5,30.0,-14.5,-14.5
NGC6674,mature_or_control,1.0,0.75,0.7496514163958563,0.7150059174672374,0.7150059174672374,0.6391737491389038,1.0,8.281456953642385,0.7150059174672374,0.2849940825327626,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,15.5,15.5,31.0,-15.5,-15.5
NGC2841,mature_or_control,1.0,0.75,0.7480409974027552,0.8785671753318778,0.8785671753318778,0.43241617986353154,1.0,12.395604395604394,0.8785671753318778,0.12143282466812223,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,15.5,15.5,32.0,-16.5,-16.5
NGC6195,mature_or_control,0.7452045208750374,0.6226022604375188,0.7220582512290259,0.8755002533979934,0.8755002533979934,0.9079475214681574,1.0,2.9332855093256818,0.8755002533979934,0.12449974660200655,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,48.0,48.0,33.0,15.0,15.0
F571-8,mature_or_control,0.9195511394645024,0.7097755697322512,0.7191738915354035,0.6819590824550527,0.6819590824550528,0.708796867269455,1.0,6.896067415730337,0.6819590824550528,0.31804091754494734,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,37.0,37.0,34.0,3.0,3.0
NGC0801,true_falsifier_candidate,0.8143284579160999,0.6571642289580499,0.7191167564247225,0.8351130393642101,0.8351130393642101,0.7960733637582478,1.0,5.159403669724771,0.8351130393642101,0.1648869606357899,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,45.0,45.0,35.0,10.0,10.0
UGC06614,mature_or_control,1.0,0.75,0.7126663076463317,0.6811008561659592,0.6811008561659592,0.4579141484289949,1.0,11.88823529411765,0.6811008561659592,0.31889914383404083,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,15.5,15.5,36.0,-20.5,-20.5
NGC5033,mature_or_control,0.8186458227180256,0.6593229113590128,0.7056202306329178,0.7859578061088343,0.7859578061088343,0.7677563037057924,1.0,5.722868217054264,0.7859578061088343,0.21404219389116572,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,44.0,44.0,37.0,7.0,7.0
ESO079-G014,mature_or_control,0.7248966280215176,0.6124483140107588,0.7028146916616903,0.8609911892073615,0.8609911892073615,0.8805553392057646,1.0,3.478346456692914,0.8609911892073615,0.1390088107926385,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,50.0,50.0,38.0,12.0,12.0
NGC4559,true_falsifier_candidate,1.0,0.75,0.70262775874548,0.5562627137766095,0.5562627137766095,0.5489789406509253,1.0,10.076190476190476,0.5562627137766095,0.4437372862233905,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,15.5,15.5,39.0,-23.5,-23.5
NGC3198,true_falsifier_candidate,1.0,0.75,0.6947284992798005,0.569708176180754,0.5697081761807541,0.4846272035899667,1.0,11.35668789808917,0.5697081761807541,0.430291823819246,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,15.5,15.5,40.0,-24.5,-24.5
NGC2403,mature_or_control,1.0,0.75,0.6930400969700469,0.5412838794329375,0.5412838794329377,0.5090605243947789,1.0,10.870503597122305,0.5412838794329377,0.4587161205670624,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,15.5,15.5,41.0,-25.5,-25.5
NGC3917,mature_or_control,0.7675428417901886,0.6337714208950943,0.6918633386244557,0.8139148839043014,0.8139148839043014,0.7863133642789375,1.0,5.353612167300381,0.8139148839043014,0.18608511609569853,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,47.0,47.0,42.0,5.0,5.0
