object_name,taxonomy_stage,F_occ,F_crit,A_footprint_candidate,candidate_role,dominant_failure_mode,quality_quarantined,abs_log10_error_no_governor
ESO079-G014,mature_or_control,0.9882550689333227,0.9882550689333227,0.5,clean_high_activation_candidate,low_concentration,False,0.030472395093818
UGC09133,true_falsifier_candidate,0.9887212073073869,0.9882550689333227,0.5011653438250636,clean_high_activation_candidate,radial_scale_mismatch,False,0.099676132669659
ESO116-G012,mature_or_control,0.9944400317712472,0.9882550689333227,0.5154574798522245,clean_high_activation_candidate,radial_scale_mismatch,False,0.0712237279408208
F571-8,mature_or_control,0.9973829669137351,0.9882550689333227,0.5228039139126601,clean_high_activation_candidate,low_surface_density,False,0.1016359820825215
NGC3521,mature_or_control,0.9981948475755686,0.9882550689333227,0.5248290075870342,clean_high_activation_candidate,low_surface_density,False,0.0474659609066342
UGC03546,mature_or_control,0.9983194375556874,0.9882550689333227,0.525139704814058,clean_high_activation_candidate,composition_underfilled,False,0.0593565573555587
NGC2903,mature_or_control,0.9996793096109663,0.9882550689333227,0.5285295793678606,clean_high_activation_candidate,low_surface_density,False,0.0168198059607071
F579-V1,mature_or_control,1.0,0.9882550689333227,0.5293286213325998,clean_high_activation_candidate,composition_underfilled,False,0.0151752744774168
IC4202,mature_or_control,1.0,0.9882550689333227,0.5293286213325998,clean_high_activation_candidate,composition_underfilled,False,0.0262051810596485
NGC1090,true_falsifier_candidate,1.0,0.9882550689333227,0.5293286213325998,clean_high_activation_candidate,composition_underfilled,False,0.057193011491666
NGC2998,mature_or_control,1.0,0.9882550689333227,0.5293286213325998,clean_high_activation_candidate,composition_underfilled,False,0.0129106994584879
NGC3893,mature_or_control,1.0,0.9882550689333227,0.5293286213325998,clean_high_activation_candidate,composition_underfilled,False,0.0170224256745111
NGC3917,mature_or_control,1.0,0.9882550689333227,0.5293286213325998,clean_high_activation_candidate,composition_underfilled,False,0.0246631985603293
NGC3972,mature_or_control,1.0,0.9882550689333227,0.5293286213325998,clean_high_activation_candidate,composition_underfilled,False,0.0438649241014279
NGC3992,mature_or_control,1.0,0.9882550689333227,0.5293286213325998,clean_high_activation_candidate,composition_underfilled,False,0.0015305984912925
NGC4100,mature_or_control,1.0,0.9882550689333227,0.5293286213325998,clean_high_activation_candidate,composition_underfilled,False,0.0470522513938085
NGC4183,mature_or_control,1.0,0.9882550689333227,0.5293286213325998,clean_high_activation_candidate,composition_underfilled,False,0.032840471583085
NGC4217,mature_or_control,1.0,0.9882550689333227,0.5293286213325998,clean_high_activation_candidate,composition_underfilled,False,0.0475847471305848
NGC5033,mature_or_control,1.0,0.9882550689333227,0.5293286213325998,clean_high_activation_candidate,composition_underfilled,False,0.0043111761455451
NGC6503,mature_or_control,1.0,0.9882550689333227,0.5293286213325998,clean_high_activation_candidate,composition_underfilled,False,0.0047904128483258
NGC6674,mature_or_control,1.0,0.9882550689333227,0.5293286213325998,clean_high_activation_candidate,composition_underfilled,False,0.0322623904351289
NGC6946,true_falsifier_candidate,1.0,0.9882550689333227,0.5293286213325998,clean_high_activation_candidate,composition_underfilled,False,0.0338262899432106
NGC7331,disturbed_or_measurement_contaminated,1.0,0.9882550689333227,0.5293286213325998,clean_high_activation_candidate,composition_underfilled,False,0.0340777514417192
UGC03205,mature_or_control,1.0,0.9882550689333227,0.5293286213325998,clean_high_activation_candidate,composition_underfilled,False,0.0092392657479627
UGC06786,mature_or_control,1.0,0.9882550689333227,0.5293286213325998,clean_high_activation_candidate,composition_underfilled,False,0.0179761972208674
UGC06917,mature_or_control,1.0,0.9882550689333227,0.5293286213325998,clean_high_activation_candidate,composition_underfilled,False,0.0178180630954004
UGC11455,mature_or_control,1.0,0.9882550689333227,0.5293286213325998,clean_high_activation_candidate,composition_underfilled,False,0.0023634280502215
NGC0024,mature_or_control,0.9876886417791898,0.9882550689333227,0.4985839359007458,clean_underoccupied_followup,radial_scale_mismatch,False,0.0886622993703862
UGC04325,mature_or_control,0.9876719419955308,0.9882550689333227,0.49854218678643836,clean_underoccupied_followup,low_surface_density,False,0.0708740648707405
NGC3953,mature_or_control,0.9874954244106047,0.9882550689333227,0.4981008978256588,clean_underoccupied_followup,composition_underfilled,False,0.0048166982518404
NGC5985,mature_or_control,0.9871326449563146,0.9882550689333227,0.4971939695168933,clean_underoccupied_followup,radial_scale_mismatch,False,0.0750502755722731
NGC4088,true_falsifier_candidate,0.9863689150019554,0.9882550689333227,0.49528475496113356,clean_underoccupied_followup,low_surface_density,False,0.0721205113385047
UGC07151,mature_or_control,0.9841143764892772,0.9882550689333227,0.48964974766873276,clean_underoccupied_followup,radial_scale_mismatch,False,0.0309531016509037
NGC7814,mature_or_control,0.9838564258746125,0.9882550689333227,0.4890051650355197,clean_underoccupied_followup,composition_underfilled,False,0.0244286313153802
NGC4559,true_falsifier_candidate,0.98303561854236,0.9882550689333227,0.4869543355433993,clean_underoccupied_followup,HI_overextended,False,0.0617213353931001
UGC06399,mature_or_control,0.9827627258744244,0.9882550689333227,0.48627259300141434,clean_underoccupied_followup,low_surface_density,False,0.0307608199797454
UGC06930,mature_or_control,0.9826361354673674,0.9882550689333227,0.48595636107046697,clean_underoccupied_followup,composition_underfilled,False,0.0241100184232918
ESO563-G021,mature_or_control,0.9763973934866648,0.9882550689333227,0.47039049682605644,clean_underoccupied_followup,HI_overextended,False,0.0732446998489913
NGC0891,mature_or_control,0.9729229411959247,0.9882550689333227,0.4617445917888329,clean_underoccupied_followup,low_surface_density,False,0.0254962081605126
