object_name,taxonomy_stage,radial_footprint_score,HI_extent_footprint_score,surface_density_footprint_score,concentration_footprint_score,composition_footprint_score,F_occ,F_crit,A_footprint_candidate,m56_hi_structural_score,gas_fraction_only_score,stellar_fraction_only_score,rhi_over_rd_only_score,quality_only_score,underfilled_stellar_footprint,overextended_HI_footprint,low_surface_density_footprint,low_concentration_footprint,radial_scale_outside_footprint,measurement_limited,quality_quarantined,quality_used_as_footprint_component,dominant_failure_mode,claim_boundary,abs_log10_error_no_governor,A_inferred,organization_label_settled,organization_label_score
DDO064,juvenile_forming,0.8093725178713265,1.0,1.0,1.0,0.21265145692403653,0.8044047949590727,0.9882550689333227,0.13722846715326303,0.2303995702876561,0.2185837997382563,0.2185837997382563,0.8011708887100801,0.7,True,False,False,False,True,False,False,False,composition_underfilled,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0490504596709066,0.7313883056240699,0,0.5049400129158044
DDO161,failed_stalled,0.914614773629865,1.0,1.0,1.0,0.0,0.782922954725973,0.9882550689333227,0.11371722825622058,0.398713780353277,0.1300587637772103,0.1300587637772103,0.6150091016560829,1.0,True,False,False,False,True,False,False,False,composition_underfilled,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0921411828030931,0.5612513207542514,0,0.3492760403991559
ESO079-G014,mature_or_control,1.0,0.9826913097253492,1.0,0.9585840349412641,1.0,0.9882550689333227,0.9882550689333227,0.5,0.7028146916616903,0.8609911892073615,0.8609911892073615,0.8805553392057646,1.0,False,False,False,False,False,False,False,False,low_concentration,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.030472395093818,1.0,1,0.8029659200645272
ESO116-G012,mature_or_control,0.9722001588562351,1.0,1.0,1.0,1.0,0.9944400317712472,0.9882550689333227,0.5154574798522245,0.5917494870147482,0.5983732945942856,0.5983732945942857,0.7365225237408978,1.0,False,False,False,False,True,False,False,False,radial_scale_mismatch,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0712237279408208,1.0,1,0.6999053372079475
ESO563-G021,mature_or_control,1.0,0.9180749968220525,1.0,0.9639119706112722,1.0,0.9763973934866648,0.9882550689333227,0.47039049682605644,0.7557621057330977,0.8280175220606345,0.8280175220606345,0.5416503223011305,1.0,False,True,False,True,False,False,False,False,HI_overextended,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0732446998489913,1.0,1,0.5870690582416639
F563-1,juvenile_forming,1.0,1.0,0.8574042949107362,1.0,0.12267259081207349,0.7960153771445619,0.9882550689333227,0.12759451717956483,0.2087803852646976,0.1827172347575612,0.1827172347575612,0.7202778724546035,0.7,True,False,True,False,False,False,False,False,composition_underfilled,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0343972706855351,1.0,0,0.3601938963593776
F563-V2,juvenile_forming,1.0,1.0,1.0,1.0,0.5198617900710525,0.9039723580142105,0.9882550689333227,0.3009396964157616,0.2588492722077967,0.341041215047844,0.341041215047844,0.8202155569736935,0.7,True,False,False,False,False,False,False,False,composition_underfilled,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.08336072170972,1.0,0,0.5139999488833488
F568-V1,juvenile_forming,1.0,1.0,1.0,1.0,0.5824550681059495,0.9164910136211899,0.9882550689333227,0.32791276066285896,0.2600080175283913,0.3659915836288376,0.3659915836288376,0.8017918919826689,0.7,True,False,False,False,False,False,False,False,composition_underfilled,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0476065183363852,1.0,0,0.5512645885929354
F571-8,mature_or_control,1.0,1.0,0.9869148345686753,1.0,1.0,0.9973829669137351,0.9882550689333227,0.5228039139126601,0.7191738915354035,0.6819590824550527,0.6819590824550528,0.708796867269455,1.0,False,False,True,False,False,False,False,False,low_surface_density,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.1016359820825215,1.0,1,0.5939048188945589
F574-1,mature_or_control,1.0,1.0,0.8382657203416163,1.0,0.6949968444568763,0.9066525129596986,0.9882550689333227,0.3066079739288792,0.2847082119710827,0.4108519726174104,0.4108519726174105,0.8729316966240367,1.0,True,False,True,False,False,False,False,False,composition_underfilled,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0514949059259186,0.7162899142484588,1,0.6927799831897397
