object_name,M_baryon_Msun,F_occ,footprint_occupied_mass_Msun,off_footprint_mass_Msun,off_footprint_mass_fraction,dominant_failure_mode,underfilled_stellar_footprint,overextended_HI_footprint,low_surface_density_footprint,low_concentration_footprint,quality_quarantined
DDO064,359130000.0,0.8044047949590727,288885894.0136518,70244105.98634823,0.1955952050409273,composition_underfilled,True,False,False,False,False
DDO161,2106740000.0,0.782922954725973,1649415105.6393962,457324894.36060375,0.21707704527402705,composition_underfilled,True,False,False,False,False
ESO079-G014,30042700000.0,0.9882550689333227,29689850559.443134,352849440.5568658,0.011744931066677289,low_concentration,False,False,False,False,False
ESO116-G012,3586390000.0,0.9944400317712472,3566449785.544083,19940214.45591683,0.005559968228752821,radial_scale_mismatch,False,False,False,False,False
ESO563-G021,187904840000.0,0.9763973934866648,183469795999.52878,4435044000.471215,0.023602606513335234,HI_overextended,False,True,False,True,False
F563-1,5207500000.0,0.7960153771445619,4145250076.480306,1062249923.5196937,0.20398462285543806,composition_underfilled,True,False,True,False,False
F563-V2,4377770000.0,0.9039723580142105,3957383069.7438703,420386930.2561297,0.0960276419857895,composition_underfilled,True,False,False,False,False
F568-V1,5225530000.0,0.9164910136211899,4789151286.407936,436378713.59206355,0.0835089863788101,composition_underfilled,True,False,False,False,False
F571-8,7452060000.0,0.9973829669137351,7432557712.419168,19502287.58083144,0.0026170330862649305,low_surface_density,False,False,True,False,False
F574-1,7955420000.000001,0.9066525129596986,7212801534.649846,742618465.3501545,0.09334748704030138,composition_underfilled,True,False,True,False,False
F579-V1,8909850000.0,1.0,8909850000.0,0.0,0.0,composition_underfilled,False,False,False,False,False
F583-1,3320580000.0,0.8058013225241994,2675727755.547406,644852244.4525938,0.19419867747580055,composition_underfilled,True,False,True,False,False
IC4202,106268080000.0,1.0,106268080000.0,0.0,0.0,composition_underfilled,False,False,False,False,False
NGC0024,2843580000.0,0.9876886417791898,2808571667.9904685,35008332.00953146,0.012311358220810198,radial_scale_mismatch,False,False,False,False,False
NGC0100,4262700000.0,0.9162508441390695,3905702473.3116117,356997526.6883883,0.08374915586093046,composition_underfilled,True,True,False,True,False
NGC0801,187142330000.0,0.9192216044479746,172025272842.73233,15117057157.267664,0.08077839555202537,radial_scale_mismatch,False,False,False,False,False
NGC0891,75104460000.0,0.9729229411959247,73070852120.13168,2033607879.8683207,0.027077058804075294,low_surface_density,False,False,False,False,False
NGC1003,11230400000.0,0.607292533159996,6820138064.400019,4410261935.599981,0.392707466840004,HI_overextended,True,True,False,True,False
NGC1090,47703890000.0,1.0,47703890000.0,0.0,0.0,composition_underfilled,False,False,False,False,False
NGC2403,9275170000.0,0.9371127294538706,8691879874.848658,583290125.1513431,0.06288727054612941,HI_overextended,False,True,False,True,False
NGC2841,107061250000.0,0.8823163097735941,94461887019.7482,12599362980.251799,0.1176836902264059,HI_overextended,False,True,False,True,False
NGC2903,44325660000.0,0.9996793096109663,44311445186.850426,14214813.149575803,0.0003206903890337065,low_surface_density,False,False,False,False,False
NGC2998,106640830000.0,1.0,106640830000.0,0.0,0.0,composition_underfilled,False,False,False,False,False
NGC3109,731410000.0,0.742040033884132,542735501.183193,188674498.81680703,0.257959966115868,composition_underfilled,True,False,True,False,False
NGC3198,33595270000.0,0.9262653817145109,31118135590.352055,2477134409.6479435,0.0737346182854891,HI_overextended,False,True,False,True,False
NGC3521,47942820000.0,0.9981948475755686,47856275902.24293,86544097.75707608,0.0018051524244313555,low_surface_density,False,False,False,False,False
