architecture_id,ablated_component,organization_auc_like,delta_auc_vs_full
quantile_box_mean,radial,0.7902494331065759,0.030895691609977294
quantile_box_mean,HI_extent,0.7287414965986394,-0.030612244897959218
quantile_box_mean,surface_density,0.770124716553288,0.010770975056689336
quantile_box_mean,concentration,0.7570861678004536,-0.0022675736961450532
quantile_box_mean,composition,0.6145124716553289,-0.14484126984126977
product_intersection,architecture_specific_gate,0.7593537414965986,0.0
minimum_gate,architecture_specific_gate,0.7593537414965986,0.0
two_stage_composition_geometry,architecture_specific_gate,0.7593537414965986,0.0
mahalanobis_mature_manifold,architecture_specific_gate,0.7593537414965986,0.0
nearest_neighbor_mature_template,architecture_specific_gate,0.7593537414965986,0.0
exponential_disk_profile,architecture_specific_gate,0.7593537414965986,0.0
hi_compactness_modifier,architecture_specific_gate,0.7593537414965986,0.0
organization_label_weighted,architecture_specific_gate,0.7593537414965986,0.0
multi_regime_mature_footprint,architecture_specific_gate,0.7593537414965986,0.0
