architecture_id,component,weight,weight_source,uses_endpoint_residuals_for_training,uses_A_inferred_for_training
quantile_box_mean,radial,0.2,equal_mean,False,False
quantile_box_mean,HI_extent,0.2,equal_mean,False,False
quantile_box_mean,surface_density,0.2,equal_mean,False,False
quantile_box_mean,concentration,0.2,equal_mean,False,False
quantile_box_mean,composition,0.2,equal_mean,False,False
product_intersection,radial,0.2,equal_geometric_mean_exponents,False,False
product_intersection,HI_extent,0.2,equal_geometric_mean_exponents,False,False
product_intersection,surface_density,0.2,equal_geometric_mean_exponents,False,False
product_intersection,concentration,0.2,equal_geometric_mean_exponents,False,False
product_intersection,composition,0.2,equal_geometric_mean_exponents,False,False
minimum_gate,radial,0.2,weakest_axis_gate_no_linear_weight,False,False
minimum_gate,HI_extent,0.2,weakest_axis_gate_no_linear_weight,False,False
minimum_gate,surface_density,0.2,weakest_axis_gate_no_linear_weight,False,False
minimum_gate,concentration,0.2,weakest_axis_gate_no_linear_weight,False,False
minimum_gate,composition,0.2,weakest_axis_gate_no_linear_weight,False,False
two_stage_composition_geometry,radial,0.125,composition_gate_times_geometry_mean,False,False
two_stage_composition_geometry,HI_extent,0.125,composition_gate_times_geometry_mean,False,False
two_stage_composition_geometry,surface_density,0.125,composition_gate_times_geometry_mean,False,False
two_stage_composition_geometry,concentration,0.125,composition_gate_times_geometry_mean,False,False
two_stage_composition_geometry,composition,0.5,composition_gate_times_geometry_mean,False,False
mahalanobis_mature_manifold,radial,0.2,mature_covariance_metric,False,False
mahalanobis_mature_manifold,HI_extent,0.2,mature_covariance_metric,False,False
mahalanobis_mature_manifold,surface_density,0.2,mature_covariance_metric,False,False
mahalanobis_mature_manifold,concentration,0.2,mature_covariance_metric,False,False
mahalanobis_mature_manifold,composition,0.2,mature_covariance_metric,False,False
nearest_neighbor_mature_template,radial,0.2,nearest_mature_template_distance,False,False
nearest_neighbor_mature_template,HI_extent,0.2,nearest_mature_template_distance,False,False
nearest_neighbor_mature_template,surface_density,0.2,nearest_mature_template_distance,False,False
nearest_neighbor_mature_template,concentration,0.2,nearest_mature_template_distance,False,False
nearest_neighbor_mature_template,composition,0.2,nearest_mature_template_distance,False,False
exponential_disk_profile,radial,0.25,proxy_exponential_disk_profile,False,False
exponential_disk_profile,HI_extent,0.2,proxy_exponential_disk_profile,False,False
exponential_disk_profile,surface_density,0.4,proxy_exponential_disk_profile,False,False
exponential_disk_profile,concentration,0.0,proxy_exponential_disk_profile,False,False
exponential_disk_profile,composition,0.15,proxy_exponential_disk_profile,False,False
hi_compactness_modifier,radial,0.0,composition_backbone_hi_compactness_modifier,False,False
hi_compactness_modifier,HI_extent,0.25,composition_backbone_hi_compactness_modifier,False,False
hi_compactness_modifier,surface_density,0.0,composition_backbone_hi_compactness_modifier,False,False
hi_compactness_modifier,concentration,0.25,composition_backbone_hi_compactness_modifier,False,False
hi_compactness_modifier,composition,0.5,composition_backbone_hi_compactness_modifier,False,False
organization_label_weighted,radial,0.08312318650254201,organization_label_only_residual_blind,False,False
organization_label_weighted,HI_extent,0.21928920845929595,organization_label_only_residual_blind,False,False
organization_label_weighted,surface_density,0.027923413788369506,organization_label_only_residual_blind,False,False
organization_label_weighted,concentration,0.18623264609180376,organization_label_only_residual_blind,False,False
organization_label_weighted,composition,0.4834315451579887,organization_label_only_residual_blind,False,False
multi_regime_mature_footprint,radial,0.2,max_over_mature_regime_templates,False,False
multi_regime_mature_footprint,HI_extent,0.2,max_over_mature_regime_templates,False,False
multi_regime_mature_footprint,surface_density,0.2,max_over_mature_regime_templates,False,False
multi_regime_mature_footprint,concentration,0.2,max_over_mature_regime_templates,False,False
multi_regime_mature_footprint,composition,0.2,max_over_mature_regime_templates,False,False
