galaxy_name,Q,T,Vflat,e_Vflat,L36,MHI,Rdisk,RHI,Reff,SBeff,SBdisk,D,Inc,Ref,_Vflat,_L36,_MHI,_Rdisk,_T,M_star_Msun,M_gas_Msun,M_baryon_Msun,star_frac,gas_frac,r_over_Rdisk_eval,H_halo,S_star_gas,S_internal,S_struct,Q_eff,v_m5_bdvr_km_s,v_flat_obs_km_s,velocity_ratio_pred_over_obs,log10_velocity_error,abs_log10_velocity_error,log10_SBeff,log10_SBdisk,stellar_to_gas_ratio,log10_M_baryon_Msun
D631-7,1.0,10.0,57.7,2.7,0.196,0.29,0.7,0.0,1.22,20.93,115.04,7.72,59.0,"Tr09,dB01",57.7,0.196,0.29,0.7,10.0,98000000.0,385700000.0,483700000.0,0.20260492040520983,0.7973950795947902,1.5,1.1377142691005784,1.0,1.0,1.0,1.0242267142793506,53.31735230904176,57.7,0.9240442341255071,-0.034307238545256635,0.034307238545256635,1.3207692283386865,2.0608488730388075,0.2540834845735027,8.684576087388455
DDO064,1.0,10.0,46.1,3.9,0.157,0.211,0.69,3.49,1.2,17.41,151.65,6.8,60.0,"dB02,Sw02",46.1,0.157,0.211,0.69,10.0,78500000.0,280630000.0,359130000.0,0.21858379973825634,0.7814162002617436,3.3985507246376816,1.2372601544216606,1.0,1.0,1.0,1.1138428488498027,51.61208276794634,46.1,1.119567955920745,0.049050459670906654,0.049050459670906654,1.2407987711173312,2.1808424146466825,0.279727755407476,8.555251685522226
DDO161,1.0,10.0,66.3,1.9,0.548,1.378,1.22,10.69,2.04,20.74,169.37,7.5,70.0,Co00,66.3,0.548,1.378,1.22,10.0,274000000.0,1832740000.0,2106740000.0,0.1300587637772103,0.8699412362227897,5.217213114754099,1.288510765160399,1.0,1.0,1.0,1.1599811860996694,81.96995774448564,66.3,1.236349287247144,0.0921411828030931,0.0921411828030931,1.316808752053022,2.228836487527934,0.1495029300391763,9.32361094114549
ESO079-G014,1.0,4.0,175.0,3.5,51.733,3.14,5.08,17.67,7.23,157.34,2295.25,28.7,79.0,Ge04,175.0,51.733,3.14,5.08,4.0,25866500000.0,4176200000.0000005,30042700000.0,0.8609911892073615,0.1390088107926385,2.4507874015748037,1.195374816009664,1.027895912459201,1.1,1.1306855037051213,1.2167709155139315,163.14195171426232,175.0,0.932239724081499,-0.030472395093818046,0.030472395093818046,2.196839145833112,3.3608299960638286,6.1937886116565295,10.477738961035453
ESO116-G012,1.0,7.0,109.1,3.1,4.292,1.083,1.51,9.58,2.75,90.54,1320.78,13.0,74.0,Ge04,109.1,4.292,1.083,1.51,7.0,2146000000.0,1440390000.0,3586390000.0,0.5983732945942856,0.4016267054057144,4.082781456953643,1.260251976740183,1.0,1.0,1.0,1.1345412256462997,92.59787549913531,109.1,0.8487431301478947,-0.07122372794082085,0.07122372794082085,1.9568404901592336,3.1208304839711203,1.489874270162942,9.554657514907793
ESO563-G021,1.0,4.0,314.6,11.7,311.177,24.298,5.45,55.71,10.59,429.37,6558.89,60.8,83.0,SG06,314.6,311.177,24.298,5.45,4.0,155588500000.0,32316339999.999996,187904840000.0,0.8280175220606345,0.17198247793936547,6.08256880733945,1.3039185621748468,1.0,1.1,1.1,1.291237252608236,265.77493367224196,314.6,0.8448027135163444,-0.0732446998489913,0.0732446998489913,2.6328316970876364,3.8168303473536884,4.814545830375594,11.273937966679668
F563-1,1.0,9.0,109.9,12.5,1.903,3.2,3.52,23.47,4.61,14.22,41.77,48.9,25.0,"KN08,dB96",109.9,1.903,3.2,3.52,9.0,951500000.0,4256000000.0,5207500000.0,0.18271723475756121,0.8172827652424388,3.9886363636363633,1.2573908730529677,1.0,1.0,1.0,1.1319655184513062,101.53141101041533,109.9,0.9238526934523688,-0.0343972706855351,0.0343972706855351,1.1528995963937474,1.6208644752651211,0.22356672932330826,9.716629278619784
F563-V2,1.0,10.0,116.6,9.4,2.986,2.169,2.43,11.37,4.49,23.6,146.16,59.7,29.0,"dB01,dB96",116.6,2.986,2.169,2.43,10.0,1493000000.0,2884770000.0,4377770000.0,0.341041215047844,0.658958784952156,3.2633744855967075,1.2320640525006583,1.0,1.0,1.0,1.109165060636936,96.2360587736013,116.6,0.8253521335643337,-0.08336072170972002,0.08336072170972002,1.3729120029701067,2.1648285343444815,0.5175455928895545,9.641252940796383
F568-V1,1.0,7.0,112.3,15.8,3.825,2.491,2.85,14.38,4.4,31.39,90.54,80.6,40.0,"dB01,dB96",112.3,3.825,2.491,2.85,7.0,1912500000.0,3313030000.0000005,5225530000.0,0.36599158362883766,0.6340084163711625,3.294736842105263,1.2332905467822552,1.0,1.0,1.0,1.1102692115140413,100.64060478195164,112.3,0.8961763560280644,-0.04760651833638526,0.04760651833638526,1.4967913157000425,1.9568404901592336,0.57726612798556,9.718130345386383
F571-8,1.0,5.0,139.7,4.3,10.164,1.782,3.56,24.55,1.4,825.71,87.26,53.3,85.0,"dB01,dB96",139.7,10.164,1.782,3.56,5.0,5082000000.0,2370060000.0,7452060000.0,0.6819590824550527,0.3180409175449473,3.6446629213483144,1.2461398259701846,1.0,1.0,1.0,1.1218367688181392,110.55042691224978,139.7,0.7913416385987816,-0.10163598208252156,0.10163598208252156,2.916827544276814,1.9408152086508013,2.1442495126705654,9.872276342945087
