column,dtype,n_rows,n_nonnull,n_missing,n_numeric,min,p05,median,mean,p95,max,n_positive,n_zero,n_negative
galaxy_name,str,87,87,0,0,,,,,,,,,
v_flat_obs_km_s,float64,87,87,0,87,46.1,57.14,121.2,148.22758620689655,287.11,332.0,87.0,0.0,0.0
v_m5_bdvr_km_s,float64,87,87,0,87,49.39173079144892,57.00095591401711,119.9515871542582,150.7863726349278,267.93419807870833,344.4562886831093,87.0,0.0,0.0
velocity_ratio_pred_over_obs,float64,87,87,0,87,0.7168396044649121,0.8423492349935318,1.0215021046046753,1.0240243854681477,1.2406768589639188,1.7066329637039772,87.0,0.0,0.0
log10_velocity_error,float64,87,87,0,87,-0.144578008472295,-0.07450860285528857,0.0092392657479627,0.006454327518614367,0.09365754809041096,0.2321401297980161,46.0,0.0,41.0
abs_log10_velocity_error,float64,87,87,0,87,0.0015305984912925,0.0049301855864050505,0.0416138994693549,0.04572143797277062,0.09930838116077916,0.2321401297980161,87.0,0.0,0.0
M_baryon_Msun,float64,87,87,0,87,256060000.0,528620000.0,10081980000.0,48068192298.85058,187676087000.0,268868290000.0,87.0,0.0,0.0
M_star_Msun,float64,87,87,0,87,14000000.0,111950000.0,5924000000.0,39606166666.666664,166023050000.00003,244977500000.0,87.0,0.0,0.0
M_gas_Msun,float64,87,87,0,87,242060000.0,383838000.0,3766560000.0,8462025632.183908,31090080000.0,53299750000.00001,87.0,0.0,0.0
star_frac,float64,87,87,0,87,0.0546746856205576,0.15395263960754266,0.5983732945942856,0.5870966141865759,0.9318779368989041,0.98449977846327,87.0,0.0,0.0
gas_frac,float64,87,87,0,87,0.0155002215367299,0.06812206310109603,0.4016267054057144,0.4129033858134242,0.8460473603924574,0.9453253143794424,87.0,0.0,0.0
stellar_to_gas_ratio,float64,87,87,0,87,0.0578368999421631,0.18208385049844578,1.489874270162942,4.783272459152564,13.72406205932657,63.51520693625957,87.0,0.0,0.0
T,float64,87,87,0,87,0.0,2.0,6.0,5.827586206896552,10.0,10.0,85.0,2.0,0.0
Rdisk,float64,87,87,0,87,0.2,0.676,2.63,3.399770114942529,7.755000000000001,13.94,87.0,0.0,0.0
r_over_Rdisk_eval,float64,87,87,0,87,1.5,1.9346927234158664,3.7338403041825097,4.114750050741292,6.869761768082664,11.3,87.0,0.0,0.0
H_halo,float64,87,87,0,87,1.1377142691005784,1.1659747459435172,1.2491817168389316,1.2478699402212665,1.3145203712782543,1.3419048389023345,87.0,0.0,0.0
S_star_gas,float64,87,87,0,87,1.0,1.0,1.0,1.0249111762669587,1.131329734950091,1.331172313914355,87.0,0.0,0.0
S_internal,float64,87,87,0,87,1.0,1.0,1.0,1.0689655172413792,1.3,1.5,87.0,0.0,0.0
S_struct,float64,87,87,0,87,1.0,1.0,1.0,1.0989631076370476,1.4937901656096544,1.7305240080886617,87.0,0.0,0.0
Q_eff,float64,87,87,0,87,1.0242267142793506,1.0701120218940712,1.154099655081875,1.2336931248167393,1.6741864831546964,1.869093619266172,87.0,0.0,0.0
RHI,float64,87,87,0,87,0.0,4.37,16.36,20.4632183908046,48.55000000000002,74.24,85.0,2.0,0.0
Reff,float64,87,87,0,87,0.32,1.158,3.92,4.395862068965517,9.933000000000002,12.2,87.0,0.0,0.0
SBeff,float64,87,87,0,87,7.6,13.947000000000001,157.34,483.0579310344829,2173.7620000000006,2709.13,87.0,0.0,0.0
SBdisk,float64,87,87,0,87,41.77,73.29499999999999,913.76,1771.2834482758617,8020.070000000007,23813.87,87.0,0.0,0.0
log10_SBeff,float64,87,87,0,87,0.8808135922807914,1.1444454049946415,2.196839145833112,2.207680575112651,3.336829950013795,3.432829845538161,87.0,0.0,0.0
log10_SBdisk,float64,87,87,0,87,1.6208644752651211,1.8636476732080893,2.9608321428206965,2.80552082615687,3.900829962702016,4.376829978482175,87.0,0.0,0.0
log10_M_baryon_Msun,float64,87,87,0,87,8.408341741154654,8.723141479275743,10.003545831576814,10.114202467362126,11.27340818637229,11.429539585079066,87.0,0.0,0.0
