variable,n,pearson_r,spearman_rho,linear_slope,linear_intercept,abs_pearson_r,abs_spearman_rho
M_gas_Msun,87,0.1876781753650998,0.33017724519528335,9.826288659188982e-13,-0.0018607031317151555,0.1876781753650998,0.33017724519528335
RHI,87,0.2265959609164126,0.3198461735271609,0.0008746398046024084,-0.011443617816255353,0.2265959609164126,0.3198461735271609
H_halo,87,0.1960811373229809,0.20268657009495059,0.24408984059800556,-0.29813804727703735,0.1960811373229809,0.20268657009495059
r_over_Rdisk_eval,87,0.14198738238425518,0.20268657009495059,0.004451180402917455,-0.01186116727014888,0.14198738238425518,0.20268657009495059
v_m5_bdvr_km_s,87,0.1579759001158518,0.2008638915214697,0.00012186744258193318,-0.011921622090610687,0.1579759001158518,0.2008638915214697
Reff,87,0.11756779211230776,0.19548269220946177,0.0024987011595632262,-0.004529618130389769,0.11756779211230776,0.19548269220946177
log10_M_baryon_Msun,87,0.17871024426096607,0.19370124662827146,0.012450860604755112,-0.11947619753078169,0.17871024426096607,0.19370124662827146
M_baryon_Msun,87,0.1056265052338159,0.19370124662827146,9.229720130375007e-14,0.002017767897700003,0.1056265052338159,0.19370124662827146
Q_eff,87,0.09727156708070486,0.16866240183602185,0.029800041352435382,-0.030309778617139706,0.09727156708070486,0.16866240183602185
Rdisk,87,0.10829470655653863,0.12940265184844957,0.0025679442751463605,-0.002276092684865981,0.10829470655653863,0.12940265184844957
S_internal,87,0.11391721611003057,0.12085816805608528,0.054902424465642856,-0.0522344710481073,0.11391721611003057,0.12085816805608528
M_star_Msun,87,0.08610140068074028,0.12023401618429684,8.718116388490361e-14,0.003001415811594893,0.08610140068074028,0.12023401618429684
S_struct,87,0.047115979878768234,0.11094691732656732,0.015935427185008455,-0.011058119062146404,0.047115979878768234,0.11094691732656732
v_flat_obs_km_s,87,-0.08631471917446562,-0.07246482467011736,-6.740576943159177e-05,0.01644572201787783,0.08631471917446562,0.07246482467011736
T,87,-0.015054776402567685,-0.045566713479893134,-0.0003346502582356717,0.008404530747642936,0.015054776402567685,0.045566713479893134
stellar_to_gas_ratio,87,-0.11861744716353916,-0.04414230516876867,-0.0007256354371389662,0.009925239520466315,0.11861744716353916,0.04414230516876867
star_frac,87,-0.07477475548935754,-0.04414230516876867,-0.015673235550619523,0.015656031043731762,0.07477475548935754,0.04414230516876867
gas_frac,87,0.07477475548935751,0.04414230516876867,0.015673235550619547,-1.720450688777369e-05,0.07477475548935751,0.04414230516876867
S_star_gas,87,-0.074906678964514,-0.03375175040797381,-0.06949093323583577,0.07767636164124349,0.074906678964514,0.03375175040797381
SBeff,87,0.013093563520886699,0.01637611293477406,1.128211432621547e-06,0.0059093360382027615,0.013093563520886699,0.01637611293477406
log10_SBeff,87,-0.008638590855187919,0.01637611293477406,-0.0006950891729631213,0.007988862383736164,0.008638590855187919,0.01637611293477406
SBdisk,87,0.04740356225478242,-0.005039482019105513,8.564228390122514e-07,0.0049373599191465485,0.04740356225478242,0.005039482019105513
log10_SBdisk,87,-0.02468944723028328,-0.005039482019105513,-0.002180941310807781,0.012573003786711457,0.02468944723028328,0.005039482019105513
