galaxy_name,v_flat_obs_km_s,v_m5_bdvr_km_s,velocity_ratio_pred_over_obs,log10_velocity_error,abs_log10_velocity_error,M_baryon_Msun,M_star_Msun,M_gas_Msun,star_frac,gas_frac,stellar_to_gas_ratio,T,Rdisk,r_over_Rdisk_eval,H_halo,S_star_gas,S_internal,S_struct,Q_eff,RHI,Reff,SBeff,SBdisk,log10_SBeff,log10_SBdisk,log10_M_baryon_Msun
UGC07125,65.2,111.27246923349932,1.7066329637039772,0.2321401297980161,0.2321401297980161,7512569999.999999,1356000000.0,6156569999.999999,0.1804974862131068,0.8195025137868931,0.2202525107324371,9.0,3.38,3.9881656804733727,1.2573763420608173,1.0,1.0,1.0,1.13195243693273,23.04,3.92,28.11,103.0,1.4488608456074408,2.012837224705172,9.875788531662657
UGC07399,103.0,73.83447925988595,0.7168396044649121,-0.144578008472295,0.144578008472295,1568850000.0,578000000.0,990850000.0,0.3684227300251776,0.6315772699748223,0.5833375384770652,8.0,1.64,2.780487804878049,1.2114676480840527,1.0,1.0,1.0,1.0906231576349938,7.85,1.27,113.98,135.78,2.056828652637812,2.1328358043383724,9.19558142205319
NGC5371,209.5,268.0821211003315,1.2796282630087423,0.1070838237324706,0.1070838237324706,185065900000.0,170196500000.0,14869400000.0,0.919653485596212,0.080346514403788,11.446090629077164,4.0,7.44,2.676747311827957,1.206593385898856,1.1079061527859402,1.1,1.2186967680645342,1.3237912124150844,30.03,9.8,560.83,1395.82,2.7488312369236176,3.144829416820822,11.267326403592811
F571-8,139.7,110.55042691224978,0.7913416385987816,-0.1016359820825215,0.1016359820825215,7452060000.0,5082000000.0,2370060000.0,0.6819590824550527,0.3180409175449473,2.1442495126705654,5.0,3.56,3.6446629213483135,1.2461398259701846,1.0,1.0,1.0,1.1218367688181392,24.55,1.4,825.71,87.26,2.916827544276814,1.9408152086508013,9.872276342945087
UGC09133,226.8,285.3114381478149,1.2579869406870148,0.099676132669659,0.099676132669659,185922240000.0,141463000000.0,44459240000.0,0.7608718569655787,0.2391281430344212,3.1818582593854505,2.0,6.97,4.753945480631277,1.278243053811765,1.0,1.3,1.3,1.495958989174262,60.35,5.92,1284.78,864.63,3.108828767382579,2.9368303001409872,11.269331343142353
UGC06614,199.8,250.63734314036813,1.2544411568586993,0.0984502943067262,0.0984502943067262,91286040000.0,62175000000.0,29111040000.000004,0.6811008561659592,0.3188991438340408,2.135787659939321,1.0,5.1,6.304901960784315,1.3072102251977589,1.0,1.4,1.4,1.64754151219284,60.63,3.68,1461.61,540.54,3.164831505697767,2.732827837302287,10.960404367736713
NGC5055,179.0,222.4131443276712,1.2425315325568222,0.0943074189278329,0.0943074189278329,92051260000.0,76461000000.0,15590260000.0,0.830635017923709,0.1693649820762909,4.904408265160427,4.0,3.2,6.1312500000000005,1.3046602942826642,1.0,1.1,1.1,1.2919717709722296,35.06,4.18,1383.02,3348.34,3.1408284605336303,3.5248295510615684,10.96402973751469
DDO161,66.3,81.96995774448564,1.236349287247144,0.0921411828030931,0.0921411828030931,2106740000.0,274000000.0,1832740000.0,0.1300587637772103,0.8699412362227897,0.1495029300391763,10.0,1.22,5.217213114754099,1.288510765160399,1.0,1.0,1.0,1.1599811860996694,10.69,2.04,20.74,169.37,1.316808752053022,2.228836487527934,9.32361094114549
NGC0024,106.3,86.67043277566295,0.8153380317560014,-0.0886622993703862,0.0886622993703862,2843580000.0,1944500000.0,899080000.0000001,0.6838210987557938,0.3161789012442063,2.1627663834141564,5.0,1.34,3.470149253731343,1.2399189693835069,1.0,1.0,1.0,1.1162364457187262,7.29,2.01,151.65,1182.58,2.1808424146466825,3.072830529860883,9.453865451005566
UGC12632,71.7,87.54914529433222,1.2210480515248563,0.086732754937078,0.086732754937078,2970020000.0000005,650500000.0,2319520000.0000005,0.2190220941273122,0.7809779058726878,0.2804459543353796,9.0,2.42,3.4173553719008263,1.2379646219141702,1.0,1.0,1.0,1.1144770453653656,12.6,3.94,13.09,66.81,1.1169396465507555,1.8248414717537007,9.472759373849332
